Year,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,higher_rank_won,rank_diff,rank_diff_cat,same_handedness
2022,Shapovalov D.,Djere L.,14,51,CAN,2016,76,183,Left,SRB,2013,80,185,Right,Yes,-37,Medium,No
2022,Kwon S.W.,Rune H.,54,99,KOR,2015,72,180,Right,DEN,2020,77,188,Right,Yes,-45,Medium,Yes
2022,Lajovic D.,Fucsovics M.,39,35,SRB,2007,78,183,Right,HUN,2010,82,188,Right,No,4,Low,Yes
2022,Vukic A.,Harris L.,144,33,AUS,2018,85,188,Right,RSA,2015,80,193,Right,No,111,High,Yes
2022,Garin C.,Bagnis F.,19,72,CHI,2013,85,185,Right,ARG,2008,82,183,Left,Yes,-53,Medium,No
2022,Martinez P.,Delbonis F.,61,38,ESP,2016,76,185,Right,ARG,2007,88,191,Left,No,23,Low,No
2022,Bonzi B.,Gojowczyk P.,63,82,FRA,2015,82,183,Right,GER,2006,83,188,Right,Yes,-19,Low,Yes
2022,Albot R.,Nishioka Y.,124,119,MDA,2008,69,175,Right,JPN,2014,64,170,Left,No,5,Low,No
2022,Alcaraz C.,Tabilo A.,31,135,ESP,2018,72,185,Right,CHI,2015,75,188,Right,Yes,-104,High,Yes
2022,Kozlov S.,Vesely J.,169,78,USA,2013,79,183,Right,CZE,2009,92,198,Left,No,91,High,No
2022,Monfils G.,Coria F.,20,64,FRA,2004,80,193,Right,ARG,2010,73,180,Right,Yes,-44,Medium,Yes
2022,Berrettini M.,Nakashima B.,7,68,ITA,2015,95,196,Right,USA,2019,84,185,Right,Yes,-61,Medium,Yes
2022,Khachanov K.,Kudla D.,30,105,RUS,2013,88,198,Right,USA,2010,75,180,Right,Yes,-75,Medium,Yes
2022,Mannarino A.,Duckworth J.,69,49,FRA,2004,70,180,Left,AUS,2010,82,183,Right,No,20,Low,No
2022,Carreno Busta P.,Etcheverry T.,21,131,ESP,2009,78,188,Right,ARG,2015,82,196,Right,Yes,-110,High,Yes
2022,Bublik A.,Escobedo E.,37,141,KAZ,2014,76,196,Right,USA,2014,82,185,Right,Yes,-104,High,Yes
2022,Nadal R.,Giron M.,5,66,ESP,2001,85,185,Left,USA,2014,77,180,Right,Yes,-61,Medium,No
2022,Korda S.,Norrie C.,43,12,USA,2018,77,196,Right,GBR,2017,80,188,Left,No,31,Medium,No
2022,Hurkacz H.,Gerasimov E.,11,106,ITA,2013,77,188,Right,BLR,2010,84,183,Right,Yes,-95,High,Yes
2022,Koepfer D.,Taberner C.,53,108,GER,2016,79,180,Left,ESP,2015,78,183,Right,Yes,-55,Medium,No
2022,Moutet C.,Pouille L.,100,160,FRA,2016,71,175,Left,FRA,2012,81,185,Right,Yes,-60,Medium,No
2022,Griekspoor T.,Fognini F.,62,32,NED,2015,85,188,Right,ITA,2004,74,178,Right,No,30,Low,Yes
2022,Mcdonald M.,Milojevic N.,55,139,USA,2016,73,178,Right,SRB,2013,76,188,Right,Yes,-84,High,Yes
2022,Kecmanovic M.,Caruso S.,77,146,SRB,2017,75,183,Right,ITA,2010,80,185,Right,Yes,-69,Medium,Yes
2022,Sonego L.,Querrey S.,26,110,ITA,2013,76,191,Right,USA,2006,95,198,Right,Yes,-84,High,Yes
2022,Hanfmann Y.,Kokkinakis T.,126,103,GER,2015,84,193,Right,AUS,2013,82,196,Right,No,23,Low,Yes
2022,Opelka R.,Anderson K.,29,97,USA,2015,100,211,Right,RSA,2007,93,203,Right,Yes,-68,Medium,Yes
2022,Millman J.,Lopez F.,89,109,AUS,2006,79,183,Right,ESP,1997,73,185,Left,Yes,-20,Low,No
2022,Otte O.,Tseng C.H.,96,190,GER,2011,79,183,Right,NA,NA,NA,NA,NA,Yes,-94,High,NA
2022,Karatsev A.,Munar J.,15,71,RUS,2011,85,185,Right,ESP,2014,78,183,Right,Yes,-56,Medium,Yes
2022,Paul T.,Kukushkin M.,41,180,USA,2015,78,185,Right,KAZ,2006,72,183,Right,Yes,-139,High,Yes
2022,Zverev A.,Altmaier D.,3,87,GER,2013,86,198,Right,GER,2014,80,188,Right,Yes,-84,High,Yes
2022,Schwartzman D.,Krajinovic F.,13,36,ARG,2010,64,170,Right,SRB,2008,75,185,Right,Yes,-23,Low,Yes
2022,Van De Zandschulp B.,Struff J.L.,57,52,NED,2018,83,188,Right,GER,2009,87,196,Right,No,5,Low,Yes
2022,Gasquet R.,Humbert U.,81,40,FRA,2002,75,185,Right,FRA,2016,73,188,Left,No,41,Medium,No
2022,O Connell C.,Gaston H.,175,67,AUS,2011,78,183,Right,FRA,2018,68,173,Left,No,108,High,No
2022,Gombos N.,Skatov T.,117,253,SVK,2009,85,196,Right,NA,NA,NA,NA,NA,Yes,-136,High,NA
2022,Cilic M.,Gomez E.,27,153,CRO,2005,89,198,Right,ECU,2013,81,185,Right,Yes,-126,High,Yes
2022,Kohlschreiber P.,Cecchinato M.,134,95,GER,2001,70,178,Right,ITA,2010,78,185,Right,No,39,Medium,Yes
2022,Bautista Agut R.,Travaglia S.,18,98,ESP,2005,76,183,Right,ITA,2008,80,185,Right,Yes,-80,High,Yes
2022,Berankis R.,Carballes Baena R.,93,75,LTU,2007,70,175,Right,ESP,2011,76,180,Right,No,18,Low,Yes
2022,Rublev A.,Mager G.,6,65,RUS,2014,68,188,Right,POL,2015,81,96,Right,Yes,-59,Medium,Yes
2022,Dimitrov G.,Lehecka J.,28,142,BUL,2008,80,191,Right,NA,NA,NA,NA,NA,Yes,-114,High,NA
2022,Johnson S.,Thompson J.,104,73,USA,2012,86,188,Right,AUS,2013,73,183,Right,No,31,Medium,Yes
2022,Sinner J.,Sousa J.,10,140,ITA,2018,76,188,Right,POR,2008,74,185,Right,Yes,-130,High,Yes
2022,Paire B.,Monteiro T.,56,79,FRA,2007,80,196,Right,BRA,2011,78,183,Left,Yes,-23,Low,No
2022,Cressy M.,Isner J.,70,25,USA,2019,91,198,Right,USA,2007,108,208,Right,No,45,Medium,Yes
2022,Medvedev D.,Laaksonen H.,2,91,RUS,2014,81,198,Right,SUI,2009,78,185,Right,Yes,-89,High,Yes
2022,Murray A.,Basilashvili N.,113,23,GBR,2005,84,191,Right,GEO,2008,79,185,Right,No,90,High,Yes
2022,Auger-Aliassime F.,Ruusuvuori E.,9,90,CAN,2016,84,188,Right,FIN,2018,79,188,Right,Yes,-81,High,Yes
2022,Machac T.,Cerundolo J.M.,132,80,CZE,2017,74,183,Right,ARG,2018,71,183,Left,No,52,Medium,No
2022,Daniel T.,Barrios M.,120,147,JPN,2010,76,191,Right,CHI,2019,88,191,Right,Yes,-27,Low,Yes
2022,Molcan A.,Safiullin R.,74,149,SVK,2018,73,178,Right,RUS,2015,75,185,Right,Yes,-75,Medium,Yes
2022,Andujar P.,Dzumhur D.,83,161,ESP,2003,76,180,Right,BIH,2011,70,175,Right,Yes,-78,High,Yes
2022,Evans D.,Goffin D.,24,45,GBR,2006,75,175,Right,BEL,2009,68,180,Right,Yes,-21,Low,Yes
2022,Fritz T.,Marterer M.,22,228,USA,2015,84,193,Right,GER,2015,84,191,Left,Yes,-206,High,No
2022,Davidovich Fokina A.,Bolt A.,50,152,ESP,2017,80,183,Right,AUS,2011,84,183,Left,Yes,-102,High,No
2022,Baez S.,Ramos-Vinolas A.,88,44,ARG,2018,70,70,Right,ESP,2007,80,188,Left,No,44,Medium,No
