Year,Round,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,rank_diff,rank_diff_cat,higher_rank_won
2022,Quarterfinals,Nadal R.,Shapovalov D.,5,14,ESP,2001,85,185,Left,CAN,2016,76,183,Left,-9,Low,Yes
2022,Quarterfinals,Berrettini M.,Monfils G.,7,20,ITA,2015,95,196,Right,FRA,2004,80,193,Right,-13,Low,Yes
2022,Quarterfinals,Tsitsipas S.,Sinner J.,4,10,GRE,2016,83,193,Right,ITA,2018,76,188,Right,-6,Low,Yes
2022,Quarterfinals,Medvedev D.,Auger-Aliassime F.,2,9,RUS,2014,81,198,Right,CAN,2016,84,188,Right,-7,Low,Yes
2022,Semifinals,Nadal R.,Berrettini M.,5,7,ESP,2001,85,185,Left,ITA,2015,95,196,Right,-2,Low,Yes
2022,Semifinals,Medvedev D.,Tsitsipas S.,2,4,RUS,2014,81,198,Right,GRE,2016,83,193,Right,-2,Low,Yes
2022,The Final,Nadal R.,Medvedev D.,5,2,ESP,2001,85,185,Left,RUS,2014,81,198,Right,3,Low,No
2021,Quarterfinals,Karatsev A.,Dimitrov G.,114,21,RUS,2011,85,185,Right,BUL,2008,80,191,Right,93,High,No
2021,Quarterfinals,Djokovic N.,Zverev A.,1,7,SRB,2003,77,188,Right,GER,2013,86,198,Right,-6,Low,Yes
2021,Quarterfinals,Medvedev D.,Rublev A.,4,8,RUS,2014,81,198,Right,RUS,2014,68,188,Right,-4,Low,Yes
2021,Quarterfinals,Tsitsipas S.,Nadal R.,6,2,GRE,2016,83,193,Right,ESP,2001,85,185,Left,4,Low,No
2021,Semifinals,Djokovic N.,Karatsev A.,1,114,SRB,2003,77,188,Right,RUS,2011,85,185,Right,-113,High,Yes
2021,Semifinals,Medvedev D.,Tsitsipas S.,4,6,RUS,2014,81,198,Right,GRE,2016,83,193,Right,-2,Low,Yes
2021,The Final,Djokovic N.,Medvedev D.,1,4,SRB,2003,77,188,Right,RUS,2014,81,198,Right,-3,Low,Yes
2020,Quarterfinals,Federer R.,Sandgren T.,3,100,SUI,1998,85,185,Right,USA,2011,87,188,Right,-97,High,Yes
2020,Quarterfinals,Djokovic N.,Raonic M.,2,35,SRB,2003,77,188,Right,CAN,2008,98,196,Right,-33,Medium,Yes
2020,Quarterfinals,Zverev A.,Wawrinka S.,7,15,GER,2013,86,198,Right,SUI,2002,81,183,Right,-8,Low,Yes
2020,Quarterfinals,Thiem D.,Nadal R.,5,1,AUT,2011,82,185,Right,ESP,2001,85,185,Left,4,Low,No
2020,Semifinals,Djokovic N.,Federer R.,2,3,SRB,2003,77,188,Right,SUI,1998,85,185,Right,-1,Low,Yes
2020,Semifinals,Thiem D.,Zverev A.,5,7,AUT,2011,82,185,Right,GER,2013,86,198,Right,-2,Low,Yes
2020,The Final,Djokovic N.,Thiem D.,2,5,SRB,2003,77,188,Right,AUT,2011,82,185,Right,-3,Low,Yes
2019,Quarterfinals,Tsitsipas S.,Bautista Agut R.,15,24,GRE,2016,83,193,Right,ESP,2005,76,183,Right,-9,Low,Yes
2019,Quarterfinals,Nadal R.,Tiafoe F.,2,39,ESP,2001,85,185,Left,USA,2015,77,188,Right,-37,Medium,Yes
2019,Quarterfinals,Pouille L.,Raonic M.,31,17,FRA,2012,81,185,Right,CAN,2008,98,196,Right,14,Low,No
2019,Quarterfinals,Djokovic N.,Nishikori K.,1,9,SRB,2003,77,188,Right,JPN,2007,75,178,Right,-8,Low,Yes
2019,Semifinals,Nadal R.,Tsitsipas S.,2,15,ESP,2001,85,185,Left,GRE,2016,83,193,Right,-13,Low,Yes
2019,Semifinals,Djokovic N.,Pouille L.,1,31,SRB,2003,77,188,Right,FRA,2012,81,185,Right,-30,Low,Yes
2019,The Final,Djokovic N.,Nadal R.,1,2,SRB,2003,77,188,Right,ESP,2001,85,185,Left,-1,Low,Yes
2018,Quarterfinals,Edmund K.,Dimitrov G.,49,3,GBR,2012,83,188,Right,BUL,2008,80,191,Right,46,Medium,No
2018,Quarterfinals,Cilic M.,Nadal R.,6,1,CRO,2005,89,198,Right,ESP,2001,85,185,Left,5,Low,No
2018,Quarterfinals,Chung H.,Sandgren T.,58,97,KOR,2014,87,188,Right,USA,2011,87,188,Right,-39,Medium,Yes
2018,Quarterfinals,Federer R.,Berdych T.,2,20,SUI,1998,85,185,Right,CZE,2002,91,196,Right,-18,Low,Yes
2018,Semifinals,Cilic M.,Edmund K.,6,49,CRO,2005,89,198,Right,GBR,2012,83,188,Right,-43,Medium,Yes
2018,Semifinals,Federer R.,Chung H.,2,58,SUI,1998,85,185,Right,KOR,2014,87,188,Right,-56,Medium,Yes
2018,The Final,Federer R.,Cilic M.,2,6,SUI,1998,85,185,Right,CRO,2005,89,198,Right,-4,Low,Yes
2017,Quarterfinals,Wawrinka S.,Tsonga J.W.,4,12,SUI,2002,81,183,Right,FRA,2004,91,188,Right,-8,Low,Yes
2017,Quarterfinals,Federer R.,Zverev M.,17,50,SUI,1998,85,185,Right,GER,2005,88,191,Left,-33,Medium,Yes
