Bull,World Champ Avg Score,Events,Ridden,Outs,Rides,Buckoffs,Avg BullScore,Highest BullScore,Avg Buckoff Time,45Pt Rides
Doolin Dalton,46,1,0,1,0,1,46,46,5.13,1
Zip Tie,46,1,0,1,0,1,46,46,1.94,1
Don Juan,46,1,0,1,0,1,46,46,2.53,1
Silent Hello,46,1,0,1,0,1,46,46,4.22,1
UR 23F,45.5,1,0,1,0,1,45.5,45.5,1.85,1
Big Hawk,45.5,1,0,1,0,1,45.5,45.5,1.88,1
Kingsman,45.5,1,0,1,0,1,45.5,45.5,7.15,1
Side Yard Shimmer,45.5,1,0,1,0,1,45.5,45.5,2.85,1
Sucker Punch,45.5,1,0,1,0,1,45.5,45.5,3.73,1
Hard Candy,45,1,0,1,0,1,45,45,1.8,1
Dirty Deeds,45,1,0,1,0,1,45,45,3.68,1
Marquis Metal Coriolis Effect,45,1,0,1,0,1,45,45,5.05,1
Hard Rock,45,2,0,2,0,2,45,45.5,2.61,1
Firetime,45,1,0,1,0,1,45,45,1.26,1
Juicy,45,2,0,2,0,2,45,45.5,2.37,1
Stand Off,45,1,0,1,0,1,45,45,2.33,1
Oakes 035,45,1,0,1,0,1,45,45,3.24,1
Boo Ray,45,1,0,1,0,1,45,45,2.37,1
UR -17,44.75,2,1,2,1,1,44.75,45,3.29,1
Shameless,44.75,2,0,2,0,2,44.75,45,2.2,1
Crazy Party,44.5,1,0,1,0,1,44.5,44.5,2.82,0
Big Chew,44.5,1,0,1,0,1,44.5,44.5,1.72,0
Fastfire,44.5,1,0,1,0,1,44.5,44.5,2.47,0
Let's Go Brandon,44.5,1,0,1,0,1,44.5,44.5,2.03,0
GT- 54H,44.5,1,0,1,0,1,44.5,44.5,2.76,0
Buck Norris,44.5,1,0,1,0,1,44.5,44.5,2.52,0
Big Pokey,44.5,2,0,2,0,2,44.5,45,3.52,1
Highwire,44.5,1,0,1,0,1,44.5,44.5,2.26,0
Black Jack,44.5,1,0,1,0,1,44.5,44.5,1.73,0
Rafter H 849,44.5,1,0,1,0,1,44.5,44.5,7.3,0
Grey Goose,44.5,1,0,1,0,1,44.5,44.5,2.88,0
Shazam,44.25,2,1,2,1,1,44.25,44.5,1.93,0
God Bless America,44.25,1,0,1,0,1,44.25,44.25,3.05,0
Ground Assault,44.25,2,0,2,0,2,44.25,45.5,4.01,1
Listen Linda,44,2,1,2,1,1,44,44,2,0
Curly Bill,44,1,0,1,0,1,44,44,3.15,0
Ridin' Solo,44,1,0,1,0,1,44,44,5.06,0
Zero Time,44,1,0,1,0,1,44,44,4.02,0
Cuttin Torch,44,1,0,1,0,1,44,44,2.75,0
Dr. X,44,1,0,1,0,1,44,44,6.11,0
Sea Smoke,44,1,0,1,0,1,44,44,5.07,0
Inky,44,1,0,1,0,1,44,44,1.46,0
Trucker Bill,44,1,0,1,0,1,44,44,3.38,0
Flapjack,44,2,0,2,0,2,44,44.5,3.45,0
Dr. Kittleson,44,1,0,1,0,1,44,44,2.34,0
Quick Wick,44,1,0,1,0,1,44,44,2.34,0
Buster Brown,44,1,0,1,0,1,44,44,3.33,0
Dan Post,44,1,0,1,0,1,44,44,4.06,0
John 14:6,44,2,0,2,0,2,44,44.5,3.06,0
Swagger,44,1,0,1,0,1,44,44,7.04,0
