"","player","birdie_avg","bogey_avg","PKD","C1R","C2R","FWY","SCR","OB/18","C1X","C2P","tot_SG:TG","tot_SG:P","events","rounds","wins","podiums","top_10s","top_20s","avg_place","top_10%","top_20%","total_earnings","total_strokes"
"1","Gannon Buhr",8.73,1.73,10.95,44.88,68.9,79.59,51.69,1.34,87.93,34.86,97.15,48.09,10,33,2,4,9,10,5.1,90,100,49029,1927
"2","Richard Wysocki",8.4,2.03,9.58,42.91,64.56,77.8,55.45,1.76,86.42,36.3,82.75,40.56,9,30,0,4,7,9,6.78,77.78,100,29571,1788
"3","Anthony Barela",8.3,2.42,13.46,44.93,67.48,77.14,44.04,2.33,85,34.83,107.75,37.84,10,33,3,3,7,9,10.4,70,90,41943,1963
"4","Niklas Anttila",8.21,2.45,10.98,40.99,66.72,79.91,37.5,1.45,87.46,27.62,78.39,26.46,10,33,1,4,7,7,18.3,70,70,36743,1965
"5","Calvin Heimburg",8.07,2.14,12.52,45.28,67.44,78.62,45.88,1.6,85.95,23.65,97.03,23.88,9,29,2,4,7,7,10.11,77.78,77.78,41409,1733
"6","Simon Lizotte",7.83,2.39,9.47,41.75,63.51,74.83,47.46,1.71,83.72,24.71,30.9,9.79,6,18,1,1,2,4,23.67,33.33,66.67,14825,1059
"7","Ezra Robinson",7.73,2.58,10.28,42.38,65.78,79.61,43.43,1.69,82.4,32.35,72.57,21.55,10,33,0,1,3,9,13.7,30,90,16683,1994
"8","Chris Dickerson",7.61,1.96,12.04,41.18,66.95,79.8,47.89,1.41,86.02,32.73,40.3,24.75,7,23,0,1,6,6,9.43,85.71,85.71,14532,1388
"9","Jakub Semerád",7.52,2.7,10.94,44.53,65.65,78.45,43.04,1.83,82.59,12.5,58.28,-6.99,7,23,0,0,0,6,17.71,0,85.71,6714,1401
"10","Kyle Klein",7.46,2.29,12.03,42.09,68.15,80.69,48.61,1.72,81.95,26.06,76.82,1.84,9,28,0,1,5,7,10.44,55.56,77.78,16255,1623
"11","Matthew Orum",7.31,2.62,8.35,36.33,60.13,76.42,48.42,2.03,81.71,32.65,49.5,19.97,9,29,0,0,4,5,23.33,44.44,55.56,12463,1779
"12","Ezra Aderhold",7.27,2.79,11.18,39.11,65.32,78.28,37.86,2.05,85.17,30.98,45.57,28.31,10,33,0,2,3,4,26.8,30,40,14408,2027
"13","Corey Ellis",7.12,2.12,9.47,37.89,64.91,77.89,44.44,2.08,88.2,31.31,20.28,18.29,5,17,0,0,2,2,24.33,33.33,33.33,4533,996
"14","Gregg Barsby",7.06,2.47,10.1,37.71,58.25,77.47,43.33,1.7,80.24,28.77,29.06,2.37,5,17,0,0,1,2,23.6,20,40,5176,1029
"15","Gavin Babcock",7.03,2.84,10.34,37.93,60.54,76.99,34.04,1.79,82.35,27.16,40.69,11.33,10,31,0,0,3,4,29.2,30,40,9942,1909
"16","Isaac Robinson",7.03,2.44,7.16,38.39,63.87,79.53,38.3,1.92,85.43,28.06,50.66,26.65,10,32,0,0,4,5,23.3,40,50,11994,1961
"17","Joseph Anderson",6.94,2.33,7.55,40.57,64.15,80.51,41.1,1.6,77.49,26.92,67.46,-4.91,10,33,0,0,3,4,24,30,40,11833,2020
"18","Joel Freeman",6.9,2.65,10.83,45.13,64.98,79.74,41.67,2.47,78.26,25,47.69,-4.42,6,20,0,0,2,3,25.17,33.33,50,6935,1239
"19","Aaron Gossage",6.88,2.42,9.68,42.27,67.97,77.44,46.53,1.41,76.22,18.71,89.74,-23.34,10,33,0,1,2,6,21.4,20,60,14021,2021
"20","James Proctor",6.78,2.57,7.22,33.69,57.75,73.02,43.42,2.36,86.51,37.4,9.95,32.55,7,23,0,0,0,1,30.14,0,14.29,4385,1402
"21","Gavin Rathbun",6.71,2.32,9.11,36.44,60.87,76.02,49.48,1.6,83.83,31.13,36.11,24.74,10,31,0,2,4,6,26.6,40,60,17914,1901
"22","Jesse Nieminen",6.71,3.52,10.07,34.23,58.17,73.57,31.11,2.05,84.42,30.28,12.12,16.92,10,31,1,1,2,3,45.2,20,30,12601,1932
"23","Paul McBeth",6.69,2.55,7.88,37.76,63.07,78.62,29.21,2.09,84.56,21.09,53.04,8.42,9,29,0,1,3,4,28.78,33.33,44.44,13080,1795
"24","Jake Hebenheimer",6.68,3.26,9.2,39.62,58.02,72.82,40,2.93,76.58,23.28,58.78,-14.41,10,31,0,0,0,3,36.6,0,30,5465,1933
"25","Cole Redalen",6.67,2.57,9.69,38.57,66.28,76.88,48.45,2.06,81.37,23.2,78.14,-1.75,9,30,0,1,2,5,15.89,22.22,55.56,14387,1643
"26","Benjamin Callaway",6.57,3.21,9.09,36.83,59.44,75.26,39.13,2.35,81.89,28.78,31.87,12.33,9,28,0,1,2,4,38.11,22.22,44.44,7730,1746
"27","Adam Hammes",6.52,2.97,9.98,36.96,57.82,73.08,46.23,2.33,81.3,35.29,37.75,16.3,9,29,0,0,1,4,31,11.11,44.44,6966,1792
"28","Hjalte Jensen",6.5,2.83,10.9,45.49,67.67,78.29,42.86,1.96,70.59,24.32,24.82,-20.56,6,18,0,0,1,1,57.17,16.67,16.67,1761,1095
"29","Randon Latta",6.48,2.72,9.07,44.56,61.92,72.6,53.62,1.73,68.8,23.91,57.34,-33.88,8,25,0,1,1,2,36.5,12.5,25,6923,1524
"30","Paul Ulibarri",6.44,2.36,7.75,30.23,55.66,73.98,50,1.81,93.02,27.88,-1.37,58.09,11,36,0,0,2,5,30.91,18.18,45.45,8257,2220
"31","Jeremy Koling",6.43,3.04,9.6,36.8,55.47,73.77,41.46,1.97,82.76,31.87,25.85,12.63,7,23,0,0,1,1,31.86,14.29,14.29,5620,1423
"32","Andrew Marwede",6.42,2.18,5.76,33.33,57.24,77.8,50,1.7,91.76,28.16,15.75,50.97,10,33,0,0,3,5,22.3,30,50,10451,2023
"33","Casey White",6.41,2.33,5.38,35.05,58.71,78.32,50,1.63,80.95,35.51,28.51,14.67,8,27,0,0,1,3,27,12.5,37.5,6814,1667
"34","Calvin Lonnquist",6.38,3.47,8.92,39,57.68,75.52,33.68,2.5,77.34,22.4,43.78,-16.61,10,32,0,0,0,2,44.8,0,20,4050,2015
"35","Andrew Presnell",6.3,1.87,9.3,34.67,56.66,78.2,53.52,1.37,84.42,29.01,35.45,14.11,9,30,1,1,2,5,22.56,22.22,55.56,21674,1830
"36","Bradley Williams",6.28,2.17,6.83,33.88,60.93,76.96,41.82,1.43,88.04,25.64,15.38,18.71,9,27,0,0,0,3,23.89,0,33.33,5396,1569
"37","Austin Turner",6.28,2.83,8.48,40.15,63.34,76.64,35.38,1.8,76.42,13.91,38.93,-19.42,9,29,0,0,0,1,42.44,0,11.11,3644,1795
"38","Mason Ford",6.25,2,10.93,36.27,59.47,75.49,48.21,1.01,83.5,17.14,31.91,-2.28,7,24,0,0,3,4,19.29,42.86,57.14,8632,1456
"39","Emerson Keith",6.24,2.86,9.52,37.87,60.77,77.51,30.68,1.84,83.01,23.48,26.59,2.81,9,29,0,0,0,1,36.33,0,11.11,4348,1802
"40","Silver Lätt",6.24,3.77,11.51,30.95,55.16,69.42,38.89,2.5,76.61,34.12,1.87,6.02,7,20,0,0,0,1,47.14,0,14.29,698,1204
"41","Luke Humphries",6.18,2.55,8.94,32.59,54.56,72.2,50,1.78,86.52,35.76,7.85,35.58,10,33,0,1,1,4,28.2,10,40,11920,2048
"42","Andrew Miranda",6.13,3.38,10.21,37.68,61.62,79.41,34.55,2.03,73.94,22.62,14.5,-17.25,5,16,0,0,0,0,54.8,0,0,1594,985
"43","Alden Harris",6.06,2.82,9.6,37.87,57.42,74.33,43.8,2.17,82.18,13.73,48.98,-12.69,10,33,0,0,0,2,33.1,0,20,4329,2067
