Name,Role,KDA,WRate,PickRate,RolePerc,BanPerc
Aatrox,TOP,1.92,51.36,11.93,89.03,27.06
Ahri,MID,2.57,50.120000000000005,4.75,91.8,2.04
Akali,MID,2.36,49.27,9.34,74.31,14.25
Akshan,MID,2.38,53.54,2.4,64.75,4.45
Alistar,SUPPORT,2.48,50.55,2.9499999999999997,94.86,0.72
Amumu,SUPPORT,2.04,50.290000000000006,3.56,78.72,4.359999999999999
Anivia,MID,2.92,53.86,2.32,72.77,2.29
Annie,MID,2.42,50.809999999999995,1.08,76.31,0.37
Aphelios,ADC,1.96,47.51,5.91,97.86999999999999,0.63
Ashe,ADC,2.36,52.07,7.52,57.47,2.62
Aurelion Sol,MID,2.79,52.260000000000005,0.92,86.5,0.37
Azir,MID,2.12,47.260000000000005,3.32,91.88,0.99
Bard,SUPPORT,3.08,51.65,4.46,97.35,0.59
Bel'Veth,JUNGLE,2.79,53.41,4.35,86.01,22.73
Blitzcrank,SUPPORT,2.48,50.83,7.02,95.89,21.03
Brand,SUPPORT,1.86,50.71,2.9299999999999997,74.64,1.98
Braum,SUPPORT,2.7,52.27,1.94,97.97,0.27
Caitlyn,ADC,2.26,51.61,17.25,98.53,18.16
Camille,TOP,2.05,53.309999999999995,7.6,83.91000000000001,3.84
Cassiopeia,MID,2.14,53.3,2.14,68.88,1.73
Cho'Gath,TOP,1.98,48.65,3.13,65.14,1.6500000000000001
Corki,MID,2.32,49.83,1.51,89.51,0.26
Darius,TOP,1.95,52.65,7.28,92.34,25.479999999999997
Diana,JUNGLE,2.7,51.09,4.76,76.41000000000001,3.46
Dr. Mundo,TOP,1.99,50.83,3.44,52.160000000000004,2.15
Draven,ADC,2.09,51.949999999999996,7.1899999999999995,95.84,26.84
Ekko,JUNGLE,3.19,54.44,7.58,75.71000000000001,6.75
Elise,JUNGLE,3.29,55.42,3.4099999999999997,92.23,3.79
Evelynn,JUNGLE,3.45,53.849999999999994,5.33,97.84,10.28
Ezreal,ADC,2.39,49.68,21.2,93.78,3.52
Fiddlesticks,JUNGLE,3.18,56.7,2.3699999999999997,80.83,3.3299999999999996
Fiora,TOP,1.76,54.6,11,97.49000000000001,36.160000000000004
Fizz,MID,2.52,51.720000000000006,2.48,92.52,2.88
Galio,MID,2.87,53.52,2.36,84.34,0.4
Gangplank,TOP,2.03,51.99,6.78,85.6,4.88
Garen,TOP,2.04,49.120000000000005,3.4299999999999997,78.97,1.44
Gnar,TOP,1.81,48.879999999999995,2.17,95.11,0.42000000000000004
Gragas,TOP,2.1,47.690000000000005,2.3,48.97,0.5700000000000001
Graves,JUNGLE,2.95,51.54,10.2,83.53,15.209999999999999
Gwen,TOP,1.82,52.71,2.68,67.95,0.88
Hecarim,JUNGLE,3.03,53.93,11.49,98.48,41.13
Heimerdinger,SUPPORT,2.08,50.36,4.51,76.86,8.4
Illaoi,TOP,1.58,53.02,3.02,89.27,2.58
Irelia,TOP,1.68,51.730000000000004,5.13,50.36,11.94
Ivern,JUNGLE,3.79,53.06,0.98,67.44000000000001,0.37
