Name,Nation,TP,SP,FS,Year
Yuzuru Hanyu, Japan,317.85,111.68,206.17,2018
Shoma Uno, Japan,306.9,104.17,202.73,2018
Javier Fernández, Spain,305.24,107.58,197.66,2018
Jin Boyang, China,297.77,103.32,194.45,2018
Nathan Chen, United States,297.35,82.27,215.08,2018
Vincent Zhou, United States,276.69,84.53,192.16,2018
Dmitri Aliev, Olympic Athletes from Russia,267.51,98.98,168.53,2018
Mikhail Kolyada, Olympic Athletes from Russia,264.25,86.69,177.56,2018
Patrick Chan, Canada,263.43,90.01,173.42,2018
Adam Rippon, United States,259.36,87.95,171.41,2018
Alexei Bychenko, Israel,257.01,84.13,172.88,2018
Keegan Messing, Canada,255.43,85.11,170.32,2018
Daniel Samohin, Israel,251.44,80.69,170.75,2018
Jorik Hendrickx, Belgium,248.95,84.74,164.21,2018
Cha Jun-hwan, South Korea,248.59,83.43,165.16,2018
Michal B?ezina, Czech Republic,246.07,85.15,160.92,2018
Misha Ge, Uzbekistan,244.94,83.9,161.04,2018
Keiji Tanaka, Japan,244.83,80.05,164.78,2018
Deniss Vasi?jevs, Latvia,234.58,79.52,155.06,2018
Brendan Kerry, Australia,233.81,83.06,150.75,2018
Matteo Rizzo, Italy,232.41,75.63,156.78,2018
Paul Fentz, Germany,214.55,74.73,139.82,2018
Yan Han, China,213.01,80.63,132.38,2018
Moris Kvitelashvili, Georgia,204.57,76.56,128.01,2018
Yuzuru Hanyu, Japan,280.09,101.45,178.64,2014
Patrick Chan, Canada,275.62,97.52,178.1,2014
Denis Ten, Kazakhstan,255.1,84.06,171.04,2014
Javier Fernández, Spain,253.92,86.98,166.94,2014
Tatsuki Machida, Japan,253.42,83.48,169.94,2014
Daisuke Takahashi, Japan,250.67,86.4,164.27,2014
Yan Han, China,246.2,85.66,160.54,2014
Peter Liebers, Germany,239.87,86.04,153.83,2014
Jason Brown, United States,238.37,86,152.37,2014
Michal B?ezina, Czech Republic,233.62,81.95,151.67,2014
Tomáš Verner, Czech Republic,232.99,81.09,151.9,2014
Jeremy Abbott, United States,232.7,72.58,160.12,2014
Brian Joubert, France,231.77,85.84,145.93,2014
Alexander Majorov, Sweden,224.86,83.81,141.05,2014
Kevin Reynolds, Canada,222.23,68.76,153.47,2014
Jorik Hendrickx, Belgium,214.04,72.52,141.52,2014
Misha Ge, Uzbekistan,203.26,68.07,135.19,2014
Florent Amodio, France,198.64,75.58,123.06,2014
Michael Christian Martinez, Philippines,184.25,64.81,119.44,2014
Yakov Godorozha, Ukraine,182.19,62.65,119.54,2014
Alexei Bychenko, Israel,177.06,62.44,114.62,2014
Abzal Rakimgaliev, Kazakhstan,174.4,64.18,110.22,2014
Zoltán Kelemen, Romania,158.76,60.41,98.35,2014
Viktor Romanenkov, Estonia,139.99,61.55,78.44,2014
Evan Lysacek, United States,257.67,90.3,167.37,2010
Evgeni Plushenko, Russia,256.36,90.85,165.51,2010
Daisuke Takahashi, Japan,247.23,90.25,156.98,2010
Stéphane Lambiel, Switzerland,246.72,84.63,162.09,2010
Patrick Chan, Canada,241.42,81.12,160.3,2010
Johnny Weir, United States,238.87,82.1,156.77,2010
Nobunari Oda, Japan,238.54,84.85,153.69,2010
Takahiko Kozuka, Japan,231.19,79.59,151.6,2010
Jeremy Abbott, United States,218.96,69.4,149.56,2010
Michal B?ezina, Czech Republic,216.73,78.8,137.93,2010
Denis Ten, Kazakhstan,211.25,76.24,135.01,2010
Florent Amodio, France,210.3,75.35,134.95,2010
Artem Borodulin, Russia,210.16,72.24,137.92,2010
Javier Fernández, Spain,206.68,68.69,137.99,2010
Adrian Schultheiss, Sweden,200.44,63.13,137.31,2010
Brian Joubert, France,200.22,68,132.22,2010
Kevin van der Perren, Belgium,189.84,72.9,116.94,2010
Samuel Contesti, Italy,187.5,70.6,116.9,2010
Tomáš Verner, Czech Republic,184.74,65.32,119.42,2010
Paolo Bacchini, Italy,177.21,64.42,112.79,2010
Viktor Pfeifer, Austria,175.93,60.88,115.05,2010
Stefan Lindemann, Germany,171.98,68.5,103.48,2010
Vaughn Chipeur, Canada,170.92,57.22,113.7,2010
Anton Kovalevski, Ukraine,165.9,63.81,102.09,2010
Evgeni Plushenko, Russia,258.33,90.66,167.67,2006
Stéphane Lambiel, Switzerland,231.21,79.04,152.17,2006
Jeffrey Buttle, Canada,227.59,73.29,154.3,2006
Evan Lysacek, United States,220.13,67.55,152.58,2006
Johnny Weir, United States,216.63,80,136.63,2006
Brian Joubert, France,212.89,77.77,135.12,2006
Matthew Savoie, United States,206.67,69.15,137.52,2006
Daisuke Takahashi, Japan,204.89,73.77,131.12,2006
Kevin van der Perren, Belgium,197.39,65.36,132.03,2006
