FavScore,Favorite,Pts,Underdog,DogScore,FavCover,FavDiff,FavWin,HomeDog,HomeScore,AwayScore,HomePts,HomeCover,HomeDiff,HomeWin,Week,Year
20,Kansas City,6.5,Detroit,21,0,-1,0,0,20,21,6.5,0,-1,0,1,2023
24,Atlanta,2.5,Carolina,10,1,14,1,0,24,10,2.5,1,14,1,1,2023
3,Cincinnati,2.5,Cleveland,24,0,-21,0,1,24,3,-2.5,1,21,1,1,2023
31,Jacksonville,4.5,Indianapolis,21,1,10,1,1,21,31,-4.5,0,-10,0,1,2023
20,Minnesota,6.5,Tampa Bay,17,0,3,1,0,20,17,6.5,0,3,1,1,2023
16,New Orleans,3.5,Tennessee,15,0,1,1,0,16,15,3.5,0,1,1,1,2023
30,San Francisco,3.5,Pittsburgh,7,1,23,1,1,7,30,-3.5,0,-23,0,1,2023
20,Washington,5.5,Arizona,16,0,4,1,0,20,16,5.5,0,4,1,1,2023
25,Baltimore,9.5,Houston,9,1,16,1,0,25,9,9.5,1,16,1,1,2023
20,Chicago,1.5,Green Bay,38,0,-18,0,0,20,38,1.5,0,-18,0,1,2023
16,Denver,3.5,Las Vegas,17,0,-1,0,0,16,17,3.5,0,-1,0,1,2023
25,Philadelphia,4.5,New England,20,1,5,1,1,20,25,-4.5,0,-5,0,1,2023
34,LA Chargers,1.5,Miami,36,0,-2,0,0,34,36,1.5,0,-2,0,1,2023
13,Seattle,4.5,LA Rams,30,0,-17,0,0,13,30,4.5,0,-17,0,1,2023
40,Dallas,2.5,NY Giants,0,1,40,1,1,0,40,-2.5,0,-40,0,1,2023
16,Buffalo,1.5,NY Jets,22,0,-6,0,1,22,16,-1.5,1,6,1,1,2023
20,Kansas City,6.5,Detroit,21,0,-1,0,0,20,21,6.5,0,-1,0,2,2023
24,Atlanta,2.5,Carolina,10,1,14,1,0,24,10,2.5,1,14,1,2,2023
3,Cincinnati,2.5,Cleveland,24,0,-21,0,1,24,3,-2.5,1,21,1,2,2023
31,Jacksonville,4.5,Indianapolis,21,1,10,1,1,21,31,-4.5,0,-10,0,2,2023
20,Minnesota,6.5,Tampa Bay,17,0,3,1,0,20,17,6.5,0,3,1,2,2023
16,New Orleans,3.5,Tennessee,15,0,1,1,0,16,15,3.5,0,1,1,2,2023
30,San Francisco,3.5,Pittsburgh,7,1,23,1,1,7,30,-3.5,0,-23,0,2,2023
20,Washington,5.5,Arizona,16,0,4,1,0,20,16,5.5,0,4,1,2,2023
25,Baltimore,9.5,Houston,9,1,16,1,0,25,9,9.5,1,16,1,2,2023
20,Chicago,1.5,Green Bay,38,0,-18,0,0,20,38,1.5,0,-18,0,2,2023
16,Denver,3.5,Las Vegas,17,0,-1,0,0,16,17,3.5,0,-1,0,2,2023
25,Philadelphia,4.5,New England,20,1,5,1,1,20,25,-4.5,0,-5,0,2,2023
34,LA Chargers,1.5,Miami,36,0,-2,0,0,34,36,1.5,0,-2,0,2,2023
13,Seattle,4.5,LA Rams,30,0,-17,0,0,13,30,4.5,0,-17,0,2,2023
40,Dallas,2.5,NY Giants,0,1,40,1,1,0,40,-2.5,0,-40,0,2,2023
16,Buffalo,1.5,NY Jets,22,0,-6,0,1,22,16,-1.5,1,6,1,2,2023
30,San Francisco,10.5,NY Giants,12,1,18,1,0,30,12,10.5,1,18,1,3,2023
27,Cleveland,3.5,Tennessee,3,1,24,1,1,3,27,-3.5,0,-24,0,3,2023
20,Detroit,3.5,Atlanta,6,1,14,1,0,20,6,3.5,1,14,1,3,2023
18,Green Bay,2.5,New Orleans,17,0,1,1,0,18,17,2.5,0,1,1,3,2023
70,Miami,6.5,Denver,20,1,50,1,0,70,20,6.5,1,50,1,3,2023
24,Minnesota,0.5,LA Chargers,28,0,-4,0,1,28,24,-0.5,1,4,1,3,2023
15,New England,2.5,NY Jets,10,1,5,1,0,15,10,2.5,1,5,1,3,2023
37,Buffalo,6.5,Washington,3,1,34,1,1,3,37,-6.5,0,-34,0,3,2023
17,Jacksonville,9.5,Houston,37,0,-20,0,1,37,17,-9.5,1,20,1,3,2023
19,Baltimore,7.5,Indianapolis,22,0,-3,0,1,22,19,-7.5,1,3,1,3,2023
37,Seattle,6.5,Carolina,27,1,10,1,1,27,37,-6.5,0,-10,0,3,2023
41,Kansas City,13.5,Chicago,10,1,31,1,0,41,10,13.5,1,31,1,3,2023
16,Dallas,12.5,Arizona,28,0,-12,0,0,16,28,12.5,0,-12,0,3,2023
18,Las Vegas,1.5,Pittsburgh,23,0,-5,0,1,23,18,-1.5,1,5,1,3,2023
22,Philadelphia,5.5,Tampa Bay,11,1,11,1,1,11,22,-5.5,0,-11,0,3,2023
19,Cincinnati,2.5,LA Rams,16,1,3,1,1,16,19,-2.5,0,-3,0,3,2023
34,Detroit,0.5,Green Bay,20,1,14,1,1,20,34,-0.5,0,-14,0,4,2023
23,Jacksonville,3.5,Atlanta,7,1,16,1,0,23,7,3.5,1,16,1,4,2023
48,Buffalo,2.5,Miami,20,1,28,1,0,48,20,2.5,1,28,1,4,2023
31,Denver,3.5,Chicago,28,0,3,1,1,28,31,-3.5,1,-3,0,4,2023
3,Cleveland,2.5,Baltimore,28,0,-25,0,0,3,28,2.5,0,-25,0,4,2023
3,Cincinnati,2.5,Tennessee,27,0,-24,0,1,27,3,-2.5,1,24,1,4,2023
23,Indianapolis,1.5,LA Rams,29,0,-6,0,0,23,29,1.5,0,-6,0,4,2023
9,New Orleans,3.5,Tampa Bay,26,0,-17,0,0,9,26,3.5,0,-17,0,4,2023
34,Phildelphia,8.5,Washington,31,0,3,1,0,34,31,8.5,0,3,1,4,2023
21,Minnesota,3.5,Carolina,13,1,8,1,1,13,21,-3.5,0,-8,0,4,2023
6,Pittsburgh,3.5,Houston,30,0,-24,0,1,30,6,-3.5,1,24,1,4,2023
24,LA Chargers,5.5,Las Vegas,17,1,7,1,0,24,17,5.5,1,7,1,4,2023
38,Dallas,6.5,New England,3,1,35,1,0,38,3,6.5,1,35,1,4,2023
