"","team","IceTime","SOG_per_2min","hits_per_2min","play_continued_inzone_per2min","takeaways_for_per2min","faceoffs_won_per2min","goal_differential","goals_per_2min","Conference"
"1","CGY",412.55,1.92946309538238,0.189067991758575,0.974427342140347,0.150284813961944,1.21197430614471,43,0.237546964004363,"Western"
"2","EDM",385.3,2.20607318972229,0.166104334284973,1.1575395795484,0.155722813392162,1.29769011160135,76,0.425642356605243,"Western"
"3","CHI",374.516666666667,1.6394463975791,0.117484758132704,0.849094388322727,0.106804325575186,1.23893017667216,26,0.176227137199057,"Western"
"4","ANA",366.833333333333,1.80463425715584,0.0926851431167651,1.06860517946388,0.0708768741481145,1.10676965015902,29,0.190822353475693,"Western"
"5","PIT",441.466666666667,1.78042887345213,0.217456961643008,0.874358199939595,0.167623074599819,1.18242222893386,47,0.235578375113259,"Eastern"
"6","WSH",384.2,1.61374284226965,0.192608016657991,0.989068193649141,0.145757418011452,1.04633003643935,35,0.218636127017179,"Eastern"
"7","BOS",410.016666666667,1.92187309458965,0.160969066298118,0.956058696800943,0.0780456079021178,1.39506524125036,49,0.273159627657412,"Eastern"
"8","FLA",443.466666666667,2.15123271196633,0.144317498496693,1.06885147324113,0.076668671076368,1.21767889356584,52,0.266085387853277,"Eastern"
"9","NSH",397.366666666667,1.66596762016609,0.125828370103179,0.905964264742891,0.0855632916701619,1.00662696082543,32,0.191259122556832,"Western"
"10","NJD",342.683333333333,1.87344973493507,0.122562132192014,1.13807694178299,0.0583629200914352,1.24896648995671,33,0.233451680365741,"Eastern"
"11","BUF",417.383333333333,1.73461645968933,0.0958351635187478,0.795431857205606,0.0527093399353113,0.996685700594977,51,0.268338457852494,"Eastern"
"12","MTL",394.4,1.36409736308316,0.172413793103448,0.573022312373225,0.0557809330628803,0.933062880324544,30,0.162271805273834,"Eastern"
"13","OTT",466.15,1.98219457256248,0.158747184382709,1.02971146626622,0.0943902177410705,1.22278236619114,57,0.287461117665987,"Eastern"
"14","NYI",369.716666666667,1.74728395618266,0.129829148447009,0.952080421944733,0.0811432177793806,1.23878645809854,24,0.16769598341072,"Eastern"
"15","TOR",394.15,1.97386781682101,0.131929468476468,0.984396803247495,0.0659647342382342,1.13154890270202,53,0.309526829887099,"Eastern"
"16","DAL",394.4,2.10953346855984,0.111561866125761,1.0395537525355,0.126774847870183,1.25760649087221,58,0.31947261663286,"Western"
"17","SEA",389.35,1.62835495055862,0.107872094516502,0.832156157698729,0.174650057788622,0.914344420187492,36,0.220880955438551,"Western"
"18","NYR",385.583333333333,2.09033931272963,0.1089258698941,1.3693537929544,0.119299762264967,1.2293062459477,45,0.254160363086233,"Eastern"
"19","SJS",359.9,1.73937204779105,0.127813281467074,0.800222283967769,0.111141983884412,1.25590441789386,26,0.205612670186163,"Western"
"20","CAR",403.266666666667,1.839973549347,0.119027938502232,1.16052240039676,0.0892709538766738,1.22995536452306,38,0.213258389816499,"Eastern"
"21","MIN",381.816666666667,2.05334148151382,0.141429132655288,0.942860884368589,0.0785717403640491,1.16286175738793,47,0.256667685189227,"Western"
"22","CBJ",354.4,1.77200902934537,0.152370203160271,0.919864559819413,0.0620767494356659,1.17381489841986,31,0.220090293453725,"Eastern"
"23","PHI",364.416666666667,1.47633203750286,0.181111365195518,0.790304139034987,0.120740910130345,0.99885662016922,28,0.181111365195518,"Eastern"
"24","ARI",390.433333333333,1.46503884572697,0.153675403397934,0.742764449756681,0.0461026210193802,0.947664987620592,37,0.215145564757107,"Western"
"25","LAK",400.116666666667,1.81447077935602,0.154954804848586,0.879743408172616,0.0349897946432291,1.37459907526971,55,0.314908151789062,"Western"
"26","TBL",407.166666666667,1.80270159639787,0.216127711829718,0.943102742529677,0.18174375767499,1.14940646745804,55,0.30945558739255,"Eastern"
"27","DET",418.416666666667,1.7733519219279,0.172077275443139,0.908185620394344,0.129057956582354,1.25712009559849,41,0.243776140211113,"Eastern"
"28","COL",415.066666666667,1.83103115965307,0.120462576292965,0.901060070671378,0.0867330549309348,0.867330549309348,53,0.27465467394796,"Western"
"29","VGK",335.633333333333,1.98430827291687,0.184725394776045,0.947462508690039,0.0953421392392492,1.459926507101,35,0.226437580693217,"Western"
"30","STL",391.883333333333,1.53617147960703,0.142899672521584,0.77063751966997,0.0765533959937056,1.12278314124102,33,0.234763747714031,"Western"
"31","VAN",428.766666666667,1.79584855787919,0.083961750757988,1.03552825934852,0.0792972090492109,1.32939438700148,45,0.265878877400295,"Western"
"32","WPG",420.366666666667,1.6842439140433,0.176036793275712,1.04194750614543,0.0951550233922766,0.999127745618904,36,0.195067797954167,"Western"
