"","fighter_name","Height","Weight","Reach","Stance","Birthyear","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
"1","Shamil Abdurakhimov",75,235,76,"Orthodox",1981,2.45,44,2.45,58,1.23,24,47,0.2
"2","Daichi Abe",71,170,71,"Orthodox",1991,3.8,33,4.49,56,0.33,50,0,0
"3","Klidson Abreu",72,205,74,"Orthodox",1992,2.05,40,2.9,55,0.64,20,80,0
"4","Juan Adams",77,265,80,"Orthodox",1992,7.09,55,4.06,34,0.91,66,57,0
"5","Anthony Adams",73,185,76,"Orthodox",1988,3.17,41,5.93,44,0,0,0,0
"6","Israel Adesanya",76,185,80,"Switch",1989,3.95,49,2.63,61,0,0,82,0.3
"7","Zarrukh Adashev",65,125,65,"Southpaw",1992,1.93,23,3.35,60,0,0,0,0
"8","Mariya Agapova",66,125,68,"Southpaw",1997,3.7,50,4.15,47,1.23,66,33,0.6
"9","Jessica Aguilar",63,115,63,"Orthodox",1982,4.93,50,7.19,53,0.94,25,50,0.2
"10","Kevin Aguilar",67,155,73,"Orthodox",1988,3.69,37,4.47,53,0.19,25,87,0
"11","Christian Aguilera",69,170,72,"Switch",1991,3.35,41,4.89,46,0,0,0,0
"12","Rostem Akman",70,170,72,"Switch",1991,1.8,25,3.97,57,1,40,87,0
"13","Omari Akhmedov",72,185,73,"Orthodox",1987,2.95,35,2.59,57,2.63,49,65,0.3
"14","Yoshihiro Akiyama",70,170,75,"Orthodox",1975,3.1,41,3.62,57,2.29,67,92,1
"15","Herdem Alacabek",74,205,75,"Orthodox",1991,3.84,65,6.66,23,2.06,50,42,0
"16","Mostapha Al-Turk",74,245,77,"Orthodox",1973,1.36,19,3.61,53,0,0,0,0
"17","Heili Alateng",65,135,66,"Orthodox",1991,2.87,32,5.82,57,2.33,35,100,0
"18","Amir Albazi",65,125,68,"Orthodox",1993,4.06,40,3.15,58,2.28,75,66,0.8
"19","John Albert",68,135,68,"Orthodox",1986,3.05,49,2.82,35,0,0,50,6.1
"20","Aleksandra Albu",62,115,63,"Orthodox",1990,4.83,47,5.56,38,2.27,50,77,0.4
"21","Junior Albini",75,264,74,"Orthodox",1991,3.98,51,6.08,52,1.54,37,100,0
"22","Ildemar Alcantara",74,185,78,"Orthodox",1982,1.93,38,2.63,50,2,68,81,0.9
"23","Iuri Alcantara",69,135,71,"Southpaw",1980,2.72,45,2.79,49,1.44,62,60,0.8
"24","Hector Aldana",71,170,72,"Orthodox",1988,3.59,38,5.08,59,0.93,100,0,0
"25","Irene Aldana",69,135,68,"Orthodox",1988,5.52,38,5.97,61,0.23,50,84,0.1
"26","JJ Aldrich",65,125,67,"Southpaw",1992,3.76,41,4.55,61,0.8,40,57,0
"27","Jose Aldo",67,135,70,"Orthodox",1986,3.45,45,3.52,61,0.57,56,91,0.1
"28","Jim Alers",69,145,71,"Orthodox",1986,2.9,40,4.38,56,2.26,41,80,0.3
"29","Houston Alexander",72,205,72,"Orthodox",1972,3.06,54,3.2,52,1.19,57,33,0
"30","John Alessio",70,155,72,"Orthodox",1979,2.1,39,2.91,54,1.85,38,70,1.2
"31","Marcio Alexandre Junior",72,185,75,"Southpaw",1989,1.61,45,2.89,42,0.35,20,66,0.7
"32","Bill Algeo",72,145,73,"Switch",1989,6.8,56,5.31,38,0.67,33,62,0
"33","Sultan Aliev",71,170,74,"Orthodox",1984,1.41,45,2.2,56,1.76,38,100,0
"34","John Allan",73,205,75,"Orthodox",1993,2.95,43,4.01,52,1.94,71,50,1.2
"35","Arnold Allen",68,145,70,"Southpaw",1994,3.19,41,2,67,1.36,52,76,0.5
"36","Ben Alloway",71,170,76,"Orthodox",1981,1.28,49,1.9,59,0.62,50,26,0
"37","Brendan Allen",74,185,75,"Orthodox",1995,3.55,59,4.57,39,1.17,37,50,2
