"Bib","Name","NSA","Rank1","Time1","Diff1","Dist1","Rank2","Time2","Diff2","Dist2","Rank3","Time3","Diff3","Dist3","Rank4","Time4","Diff4","Dist4","event"
36,"CARL Victoria","GER",1,4.648,NA,2,1,10.518,NA,5.2,1,20.595,NA,7.5,1,28.227,NA,11,2257
38,"BRENNAN Rosie","USA",3,4.697,2.9,2,4,10.747,13.7,5.2,3,20.872,16.6,7.5,2,28.553,19.6,11,2257
44,"ANDERSSON Ebba","SWE",2,4.675,1.6,2,7,10.807,17.3,5.2,2,20.765,10.2,7.5,3,28.587,21.6,11,2257
56,"DIGGINS Jessie","USA",6,4.822,10.4,2,3,10.695,10.6,5.2,4,20.973,22.7,7.5,4,28.698,28.3,11,2257
40,"NISKANEN Kerttu","FIN",7,4.847,11.9,2,9,10.863,20.7,5.2,5,21.145,33,7.5,5,28.928,42.1,11,2257
32,"SLIND Astrid Oeyre","NOR",4,4.748,6,2,2,10.645,7.6,5.2,6,21.157,33.7,7.5,6,29.013,47.2,11,2257
23,"FINK Pia","GER",14,4.903,15.3,2,8,10.858,20.4,5.2,7,21.308,42.8,7.5,7,29.163,56.2,11,2257
50,"RIBOM Emma","SWE",11,4.872,13.4,2,5,10.76,14.5,5.2,9,21.343,44.9,7.5,8,29.192,57.9,11,2257
54,"WENG Heidi","NOR",9,4.86,12.7,2,14,10.983,27.9,5.2,10,21.35,45.3,7.5,9,29.238,NA,11,2257
30,"BERGANE Margrethe","NOR",10,4.867,13.1,2,16,11.01,29.5,5.2,8,21.315,43.2,7.5,10,29.282,NA,11,2257
60,"SVAHN Linn","SWE",5,4.758,6.6,2,6,10.772,15.2,5.2,11,21.395,48,7.5,11,29.283,NA,11,2257
48,"STADLOBER Teresa","AUT",29,5.027,22.7,2,26,11.133,36.9,5.2,12,21.462,52,7.5,12,29.335,NA,11,2257
52,"ILAR Moa","SWE",11,4.872,13.4,2,11,10.932,24.8,5.2,13,21.468,52.4,7.5,13,29.368,NA,11,2257
6,"HENRIKSSON Sofia","SWE",8,4.855,12.4,2,12,10.947,25.7,5.2,14,21.492,53.8,7.5,14,29.475,NA,11,2257
16,"GANZ Caterina","ITA",17,4.942,17.6,2,17,11.027,30.5,5.2,15,21.645,NA,7.5,15,29.68,NA,11,2257
