Player,Surface,ReturnPointsWonPercentage,DoubleFaultPercentage,WinPercentage
Jannik Sinner,Clay,0.4146,0.01801,0.7
Jannik Sinner,Grass,0.39279,0.02715,0.72727
Jannik Sinner,Hard,0.39944,0.023,0.89286
Carlos Alcaraz,Clay,0.45818,0.02736,0.71429
Carlos Alcaraz,Grass,0.4049,0.03491,1
Carlos Alcaraz,Hard,0.4078,0.02657,0.7561
Novak Djokovic,Clay,0.46047,0.02907,0.8125
Novak Djokovic,Grass,0.35488,0.01385,0.85714
Novak Djokovic,Hard,0.39925,0.03264,0.86111
Daniil Medvedev,Clay,0.39024,0.05917,0.6
Daniil Medvedev,Grass,0.37648,0.04474,0.7
Daniil Medvedev,Hard,0.40064,0.05728,0.7451
Alexander Zverev,Clay,0.41078,0.03974,0.81481
Alexander Zverev,Grass,0.32028,0.03273,0.71429
Alexander Zverev,Hard,0.36707,0.02178,0.72727
Grigor Dimitrov,Clay,0.40641,0.05335,0.63636
Grigor Dimitrov,Grass,0.40957,0.05282,0.71429
Grigor Dimitrov,Hard,0.3663,0.03692,0.75
Alex De Minaur,Clay,0.42135,0.04208,0.58333
Alex De Minaur,Grass,0.38875,0.03641,0.66667
Alex De Minaur,Hard,0.41467,0.02866,0.70968
Andrey Rublev,Clay,0.39583,0.03212,0.73684
Andrey Rublev,Grass,0.36302,0.01836,0.8
Andrey Rublev,Hard,0.37685,0.02188,0.65957
Casper Ruud,Clay,0.41808,0.0255,0.8
Casper Ruud,Hard,0.35537,0.02663,0.66667
Hubert Hurkacz,Clay,0.37081,0.0138,0.76471
Hubert Hurkacz,Grass,0.31399,0.02241,0.66667
Hubert Hurkacz,Hard,0.34266,0.01821,0.68627
Stefanos Tsitsipas,Clay,0.39186,0.04284,0.80952
Stefanos Tsitsipas,Grass,0.29393,0.02225,0.5
Stefanos Tsitsipas,Hard,0.35077,0.02806,0.61364
Taylor Fritz,Clay,0.37509,0.01592,0.66667
Taylor Fritz,Grass,0.33437,0.02987,0.42857
Taylor Fritz,Hard,0.38533,0.02775,0.70455
Tomas Machac,Clay,0.39856,0.03665,0.66667
Tomas Machac,Hard,0.37313,0.02527,0.65217
Karen Khachanov,Clay,0.40042,0.01649,0.73333
Karen Khachanov,Hard,0.3654,0.02312,0.63889
Tommy Paul,Clay,0.41176,0.02706,0.66667
Tommy Paul,Grass,0.373,0.03923,0.58333
Tommy Paul,Hard,0.39889,0.02775,0.6383
Holger Rune,Clay,0.36378,0.04282,0.66667
Holger Rune,Grass,0.34308,0.04757,0.77778
Holger Rune,Hard,0.34467,0.03742,0.53846
Ugo Humbert,Clay,0.39077,0.01938,0.5
Ugo Humbert,Grass,0.37138,0.05225,0.42857
Ugo Humbert,Hard,0.3729,0.02047,0.69811
Jiri Lehecka,Clay,0.35656,0.02479,0.66667
Jiri Lehecka,Grass,0.34665,0.02857,0.625
Jiri Lehecka,Hard,0.3555,0.03082,0.56098
Ben Shelton,Clay,0.34793,0.06036,0.6
Ben Shelton,Grass,0.32995,0.05,0.4
Ben Shelton,Hard,0.3447,0.04695,0.63415
Tallon Griekspoor,Clay,0.33746,0.04188,0.5
Tallon Griekspoor,Grass,0.3415,0.02432,0.77778
Tallon Griekspoor,Hard,0.31887,0.03986,0.54762
Nicolas Jarry,Clay,0.3581,0.02382,0.6
Nicolas Jarry,Grass,0.36193,0.02568,0.57143
Nicolas Jarry,Hard,0.34362,0.02501,0.6
Jakub Mensik,Hard,0.33751,0.03125,0.6875
Felix Auger Aliassime,Clay,0.38049,0.05447,0.66667
Felix Auger Aliassime,Hard,0.36418,0.06026,0.51515
Alexander Bublik,Clay,0.3542,0.08355,0.54545
Alexander Bublik,Grass,0.3692,0.09169,0.81818
Alexander Bublik,Hard,0.36988,0.09644,0.57143
Jan Lennard Struff,Clay,0.41674,0.03842,0.69231
Jan Lennard Struff,Grass,0.33821,0.05751,0.71429
Jan Lennard Struff,Hard,0.34447,0.03329,0.4
Hamad Medjedovic,Clay,0.35821,0.06235,0.54545
Hamad Medjedovic,Hard,0.32842,0.02394,0.8
Sebastian Korda,Clay,0.37926,0.01606,0.44444
Sebastian Korda,Grass,0.3392,0.04278,0.6
Sebastian Korda,Hard,0.36566,0.0269,0.57143
Matteo Arnaldi,Clay,0.38501,0.0453,0.58824
Matteo Arnaldi,Hard,0.35802,0.03329,0.58333
Jack Draper,Clay,0.34367,0.03121,0.4
Jack Draper,Hard,0.38753,0.03483,0.62069
Sebastian Baez,Clay,0.43411,0.02334,0.71429
Sebastian Baez,Hard,0.37643,0.01838,0.5
Cameron Norrie,Clay,0.40675,0.0316,0.5625
Cameron Norrie,Grass,0.3766,0.03233,0.6
Cameron Norrie,Hard,0.3505,0.02795,0.39286
Matteo Berrettini,Clay,0.40093,0.02519,0.83333
Matteo Berrettini,Grass,0.28571,0.02016,0.6
Matteo Berrettini,Hard,0.34228,0.01584,0.33333
Marton Fucsovics,Clay,0.41733,0.03444,0.72727
Marton Fucsovics,Grass,0.36842,0.05183,0.71429
Marton Fucsovics,Hard,0.35022,0.02881,0.43478
Flavio Cobolli,Clay,0.38007,0.03262,0.53333
Flavio Cobolli,Hard,0.36439,0.03761,0.5
Gael Monfils,Clay,0.3643,0.03541,0.375
Gael Monfils,Hard,0.37003,0.05531,0.61538
Fabian Marozsan,Clay,0.37728,0.01779,0.375
Fabian Marozsan,Hard,0.38171,0.02878,0.58065
Alejandro Tabilo,Clay,0.37461,0.02611,0.61111
Alejandro Tabilo,Hard,0.34653,0.03137,0.64286
Adrian Mannarino,Grass,0.39123,0.04248,0.75
Adrian Mannarino,Hard,0.37268,0.02709,0.60465
Frances Tiafoe,Clay,0.36417,0.02053,0.54545
Frances Tiafoe,Grass,0.34749,0.03836,0.77778
Frances Tiafoe,Hard,0.35175,0.03068,0.48485
Tomas Martin Etcheverry,Clay,0.4,0.01946,0.61765
Tomas Martin Etcheverry,Hard,0.35166,0.01387,0.40909
Emil Ruusuvuori,Clay,0.41225,0.02941,0.28571
Emil Ruusuvuori,Grass,0.33391,0.04223,0.42857
Emil Ruusuvuori,Hard,0.38087,0.03231,0.58065
Alejandro Davidovich Fokina,Clay,0.4053,0.02213,0.41667
Alejandro Davidovich Fokina,Grass,0.37094,0.01866,0.4
Alejandro Davidovich Fokina,Hard,0.38524,0.02258,0.54545
Jordan Thompson,Clay,0.33632,0.01408,0.375
Jordan Thompson,Grass,0.3624,0.01306,0.64286
Jordan Thompson,Hard,0.36476,0.01397,0.55263
Francisco Cerundolo,Clay,0.4167,0.03475,0.55172
Francisco Cerundolo,Grass,0.39774,0.05165,0.75
Francisco Cerundolo,Hard,0.34967,0.03698,0.42857
Mariano Navone,Clay,0.43945,0.02334,0.63158
Lukas Klein,Hard,0.3365,0.04248,0.375
Rafael Nadal,Clay,0.40112,0.02515,0.625
Roman Safiullin,Clay,0.32781,0.04872,0.2
Roman Safiullin,Grass,0.37353,0.04743,0.625
Roman Safiullin,Hard,0.36667,0.04369,0.5
Giovanni Mpetshi Perricard,Clay,0.37205,0.04957,0.83333
Luciano Darderi,Clay,0.39719,0.0223,0.70833
Alexei Popyrin,Clay,0.35191,0.03784,0.58333
Alexei Popyrin,Hard,0.34853,0.03349,0.52
Pavel Kotov,Clay,0.40616,0.03173,0.6
Pavel Kotov,Hard,0.3559,0.03627,0.5
Thiago Seyboth Wild,Clay,0.38229,0.04444,0.5
Thiago Seyboth Wild,Hard,0.30975,0.03939,0.35714
Roberto Bautista Agut,Clay,0.40694,0.0216,0.5
Roberto Bautista Agut,Grass,0.36017,0.01591,0.6
Roberto Bautista Agut,Hard,0.34733,0.01806,0.375
Milos Raonic,Hard,0.31341,0.06422,0.54545
