"","Player","Category","Matches","Wins","Losses","pts_for","pts_agst","win_pct","shot_pct"
"1","Aaron CHIA","Doubles",17,14,3,781,658,0.823529411764706,0.542738012508687
"2","Adnan MAULANA","Doubles",1,1,0,62,54,1,0.53448275862069
"3","Akane YAMAGUCHI","Singles",78,54,24,3732,3337,0.692307692307692,0.527938888102985
"4","Akira KOGA","Doubles",7,5,2,355,327,0.714285714285714,0.520527859237537
"5","Alex LANIER","Singles",3,2,1,171,171,0.666666666666667,0.5
"6","Alexander DUNN","Doubles",1,0,1,63,63,0,0.5
"7","Alexandra BØJE","Doubles",3,2,1,164,148,0.666666666666667,0.525641025641026
"8","Anastasiia AKCHURINA","Doubles",2,2,0,109,95,1,0.534313725490196
"9","Anders ANTONSEN","Singles",20,17,3,947,838,0.85,0.530532212885154
"10","Anthony Sinisuka GINTING","Singles",33,24,9,1513,1335,0.727272727272727,0.53125
"11","Apriyani RAHAYU","Doubles",4,3,1,187,186,0.75,0.501340482573727
"12","Ashwini PONNAPPA","Doubles",3,1,2,126,120,0.333333333333333,0.51219512195122
"13","BAEK Ha Na","Doubles",11,9,2,536,486,0.818181818181818,0.524461839530333
"14","Benyapa AIMSAARD","Doubles",9,7,2,376,302,0.777777777777778,0.554572271386431
"15","Brice LEVERDEZ","Singles",1,1,0,63,54,1,0.538461538461538
"16","Busanan ONGBAMRUNGPHAN","Singles",10,8,2,472,415,0.8,0.532130777903044
"17","CAI Yanyan","Singles",4,2,2,190,182,0.5,0.510752688172043
"18","CHAN Peng Soon","Doubles",5,2,3,289,277,0.4,0.510600706713781
"19","CHANG Ye Na","Doubles",10,6,4,497,455,0.6,0.522058823529412
"20","CHEAM June Wei","Singles",3,1,2,154,139,0.333333333333333,0.525597269624573
"21","CHEN Hung Ling","Doubles",4,2,2,171,165,0.5,0.508928571428571
"22","CHEN Qingchen","Doubles",67,53,14,3096,2627,0.791044776119403,0.540975013105015
"23","CHEN Yufei","Singles",91,72,19,4411,3739,0.791208791208791,0.541226993865031
"24","CHOI SolGyu","Doubles",7,6,1,374,345,0.857142857142857,0.520166898470097
"25","CHOU Tien Chen","Singles",45,30,15,2301,2059,0.666666666666667,0.527752293577982
"26","Carolina MARIN","Singles",28,19,9,1300,1059,0.678571428571429,0.551080966511234
"27","Chisato HOSHI","Doubles",2,2,0,103,91,1,0.530927835051546
"28","Chloe BIRCH","Doubles",2,2,0,104,74,1,0.584269662921348
"29","Chris ADCOCK","Doubles",1,1,0,62,57,1,0.521008403361345
"30","DU Yue","Doubles",12,9,3,557,478,0.75,0.538164251207729
"31","Dechapol PUAVARANUKROH","Doubles",80,66,14,3853,3219,0.825,0.544824660633484
"32","Evgeniya KOSETSKAYA","Singles",2,2,0,103,80,1,0.562841530054645
"33","FENG Yanzhe","Doubles",19,16,3,932,788,0.842105263157895,0.541860465116279
"34","Fajar ALFIAN","Doubles",44,34,10,2067,1832,0.772727272727273,0.530135932290331
"35","Febriana Dwipuji KUSUMA","Doubles",4,3,1,169,150,0.75,0.529780564263323
"36","GOH Soon Huat","Doubles",6,6,0,320,293,1,0.522022838499184
"37","GOH V Shem","Doubles",6,6,0,268,208,1,0.563025210084034
"38","Gabriela STOEVA","Doubles",9,9,0,378,215,1,0.63743676222597
"39","Gianmarco BAILETTI","Doubles",1,1,0,63,52,1,0.547826086956522
"40","Giovanni TOTI","Singles",1,1,0,63,55,1,0.533898305084746
"41","Gregoria Mariska TUNJUNG","Singles",14,9,5,665,594,0.642857142857143,0.528196981731533
"42","Gregory MAIRS","Doubles",1,1,0,64,61,1,0.512
"43","Greysia POLII","Doubles",26,22,4,1320,1139,0.846153846153846,0.536803578690525
"44","HAN Yue","Singles",10,8,2,493,433,0.8,0.532397408207343
"45","HE Bingjiao","Singles",24,18,6,1088,952,0.75,0.533333333333333
"46","HE Jiting","Doubles",3,3,0,163,145,1,0.529220779220779
"47","HEE Yong Kai Terry","Doubles",3,2,1,163,149,0.666666666666667,0.522435897435897
"48","HSU Ya Ching","Doubles",2,2,0,105,94,1,0.527638190954774
"49","HUANG Yuxiang","Singles",2,2,0,98,92,1,0.515789473684211
"50","Hafiz FAIZAL","Doubles",4,3,1,212,190,0.75,0.527363184079602
"51","Hans-Kristian Solberg VITTINGHUS","Singles",4,4,0,215,201,1,0.516826923076923
