game_date,inning,outs_when_up,pitch_number,pitch_name,p_throws,description,events,launch_speed,launch_angle,hit_distance_sc,launch_speed_angle,zone,release_speed,release_spin_rate
2024-09-29,4,1,1,4-Seam Fastball,R,hit_into_play,field_out,91.3,3,76,4,11,94.9,2353
2024-09-29,1,1,2,Slider,R,hit_into_play,field_out,65.4,59,154,3,1,89,2464
2024-09-29,1,1,1,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,3,93.3,2293
2024-09-28,5,0,5,4-Seam Fastball,R,hit_into_play,field_out,98.4,23,379,5,5,94.7,2197
2024-09-28,5,0,4,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,6,93.4,2162
2024-09-28,5,0,3,Slider,R,ball,,NA,NA,NA,NA,11,87.6,2157
2024-09-28,5,0,2,4-Seam Fastball,R,ball,,NA,NA,NA,NA,14,94.3,2205
2024-09-28,5,0,1,4-Seam Fastball,R,ball,,NA,NA,NA,NA,14,93.5,2161
2024-09-28,3,0,1,Slider,R,hit_into_play,double,102.6,22,394,6,9,85.4,2311
2024-09-28,1,0,7,4-Seam Fastball,R,hit_into_play,double_play,86.6,78,65,3,1,95.3,2224
2024-09-28,1,0,6,4-Seam Fastball,R,foul,,74.1,-44,2,NA,9,94.5,2166
2024-09-28,1,0,5,Slider,R,ball,,NA,NA,NA,NA,3,85.1,2218
2024-09-28,1,0,4,Slider,R,ball,,NA,NA,NA,NA,14,85,2240
2024-09-28,1,0,3,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,8,93.2,2031
2024-09-28,1,0,2,4-Seam Fastball,R,ball,,NA,NA,NA,NA,14,94.8,2104
2024-09-28,1,0,1,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,8,94.5,2039
2024-09-27,2,1,6,Cutter,R,hit_into_play,field_out,96.8,-6,23,2,3,85.6,2407
2024-09-27,2,1,5,Curveball,R,blocked_ball,,NA,NA,NA,NA,14,78,2395
2024-09-27,2,1,4,4-Seam Fastball,R,ball,,NA,NA,NA,NA,12,94.7,2170
2024-09-27,2,1,3,Split-Finger,R,called_strike,,NA,NA,NA,NA,2,87.6,949
2024-09-27,2,1,2,Cutter,R,ball,,NA,NA,NA,NA,14,87.4,2397
2024-09-27,2,1,1,Cutter,R,foul,,50.2,-33,3,NA,8,86,2261
2024-09-27,4,1,4,Changeup,R,hit_into_play,field_out,75.8,38,281,3,8,86.7,1897
2024-09-27,4,1,3,Slider,R,foul,,NA,NA,NA,NA,2,89.3,1956
2024-09-27,4,1,2,Slider,R,swinging_strike,,NA,NA,NA,NA,14,90.3,1963
2024-09-27,4,1,1,4-Seam Fastball,R,foul,,94.3,24,321,NA,6,96.3,2188
2024-09-27,1,1,2,4-Seam Fastball,R,hit_into_play,field_out,84.3,69,146,3,2,94.2,2329
2024-09-27,1,1,1,4-Seam Fastball,R,ball,,NA,NA,NA,NA,11,93.9,2308
2024-09-26,6,0,1,Cutter,R,hit_into_play,field_out,84.6,-37,2,2,9,90.5,2747
2024-09-26,4,0,4,Sweeper,R,hit_into_play,field_out,70.6,65,123,3,9,84.7,3021
2024-09-26,4,0,3,4-Seam Fastball,R,ball,,NA,NA,NA,NA,11,93.6,2804
2024-09-26,4,0,2,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,8,93,2627
2024-09-26,4,0,1,Curveball,R,called_strike,,NA,NA,NA,NA,6,82.2,3065
2024-09-26,7,1,3,Slider,L,hit_into_play,single,93.8,11,226,4,6,88.1,2788
2024-09-26,7,1,2,4-Seam Fastball,L,ball,,NA,NA,NA,NA,14,97.4,2636
2024-09-26,7,1,1,4-Seam Fastball,L,called_strike,,NA,NA,NA,NA,3,97.7,2583
2024-09-26,1,1,4,4-Seam Fastball,R,hit_into_play,single,102.2,12,269,4,3,94.9,2743
2024-09-26,1,1,3,Cutter,R,swinging_strike,,NA,NA,NA,NA,8,87.2,2875
2024-09-26,1,1,2,Curveball,R,ball,,NA,NA,NA,NA,14,82.2,2885
2024-09-26,1,1,1,Cutter,R,ball,,NA,NA,NA,NA,12,89.9,2840
2024-09-25,4,2,1,Slider,R,hit_into_play,field_out,83.3,71,113,3,6,89.5,2686
2024-09-25,3,1,6,Slider,R,hit_into_play,field_out,80.9,77,60,3,8,89.1,2771
2024-09-25,3,1,5,Slider,R,ball,,NA,NA,NA,NA,14,91.1,2593
2024-09-25,3,1,4,4-Seam Fastball,R,foul,,80,18,202,NA,6,98.2,2756
2024-09-25,3,1,3,4-Seam Fastball,R,ball,,NA,NA,NA,NA,14,98.7,2758
2024-09-25,3,1,2,4-Seam Fastball,R,ball,,NA,NA,NA,NA,11,98.4,2702
2024-09-25,3,1,1,Slider,R,swinging_strike,,NA,NA,NA,NA,14,89.3,2888
2024-09-25,6,2,6,Slider,L,hit_into_play,field_out,80,62,157,3,8,85.3,2681
2024-09-25,6,2,5,Knuckleball,L,blocked_ball,,NA,NA,NA,NA,13,85.2,861
2024-09-25,6,2,4,Slider,L,ball,,NA,NA,NA,NA,14,86.5,2807
2024-09-25,6,2,3,Slider,L,foul,,36.8,-46,2,NA,7,86.1,2771
2024-09-25,6,2,2,Knuckleball,L,called_strike,,NA,NA,NA,NA,11,84.2,941
2024-09-25,1,0,3,Slider,R,hit_into_play,field_out,91.4,57,208,3,3,88.8,2656
2024-09-25,6,2,1,Sinker,L,foul,,76.1,66,177,NA,3,96.3,2414
2024-09-25,1,0,2,4-Seam Fastball,R,foul,,77.1,34,262,NA,12,97.7,2556
2024-09-25,1,0,1,Slider,R,swinging_strike,,NA,NA,NA,NA,14,88.8,2674
2024-09-24,5,2,8,Sinker,R,hit_into_play,field_out,101.5,25,391,6,2,93.8,2324
2024-09-24,5,2,7,Changeup,R,foul,,73.4,75,142,NA,13,88.3,2055
2024-09-24,5,2,6,4-Seam Fastball,R,foul,,88.1,-11,15,NA,2,94.9,2461
2024-09-24,5,2,5,Sinker,R,called_strike,,NA,NA,NA,NA,3,93.6,2224
2024-09-24,5,2,4,Changeup,R,ball,,NA,NA,NA,NA,14,87.8,2117
2024-09-24,5,2,3,Sweeper,R,ball,,NA,NA,NA,NA,14,84.3,2785
2024-09-24,5,2,2,4-Seam Fastball,R,foul,,NA,NA,NA,NA,3,95.2,2463
2024-09-24,5,2,1,Changeup,R,ball,,NA,NA,NA,NA,8,87,2159
2024-09-24,2,2,6,Sweeper,R,swinging_strike,strikeout,NA,NA,NA,NA,14,85.1,2902
2024-09-24,2,2,5,Sinker,R,foul,,78.3,-18,3,NA,13,94.6,2424
2024-09-24,2,2,4,4-Seam Fastball,R,foul,,74.2,60,195,NA,12,93.8,2380
2024-09-24,2,2,3,Sweeper,R,called_strike,,NA,NA,NA,NA,1,85,2826
2024-09-24,2,2,2,4-Seam Fastball,R,ball,,NA,NA,NA,NA,12,94,2411
2024-09-24,2,2,1,Sinker,R,called_strike,,NA,NA,NA,NA,9,93.4,2411
2024-09-24,8,0,6,Sweeper,R,hit_into_play,field_out,76.8,25,244,4,14,77.4,2604
2024-09-24,1,0,4,Sinker,R,hit_into_play,field_error,98.9,-11,8,2,8,93.1,2212
2024-09-24,8,0,5,Changeup,R,foul,,67.8,-43,2,NA,5,88.7,2170
2024-09-24,8,0,4,Sweeper,R,ball,,NA,NA,NA,NA,14,77.7,2584
2024-09-24,1,0,3,4-Seam Fastball,R,ball,,NA,NA,NA,NA,11,94.1,2261
2024-09-24,1,0,2,Sweeper,R,ball,,NA,NA,NA,NA,14,83.6,2801
2024-09-24,8,0,3,Sweeper,R,swinging_strike,,NA,NA,NA,NA,14,77.4,2612
2024-09-24,1,0,1,Sweeper,R,swinging_strike,,NA,NA,NA,NA,14,83.5,2823
2024-09-24,8,0,2,4-Seam Fastball,R,foul,,79.4,62,205,NA,11,94.6,2602
2024-09-24,8,0,1,Slider,R,ball,,NA,NA,NA,NA,14,82,2685
2024-09-22,3,1,5,Slider,R,blocked_ball,walk,NA,NA,NA,NA,14,88.7,2155
2024-09-22,3,1,4,Slider,R,ball,,NA,NA,NA,NA,14,87.4,2154
2024-09-22,3,1,3,4-Seam Fastball,R,foul,,83.1,72,177,NA,2,95.6,2186
2024-09-22,3,1,2,4-Seam Fastball,R,ball,,NA,NA,NA,NA,14,94.7,2124
2024-09-22,3,1,1,4-Seam Fastball,R,ball,,NA,NA,NA,NA,12,95.3,2107
2024-09-22,7,1,5,Sinker,R,swinging_strike,strikeout,NA,NA,NA,NA,12,97.2,2098
2024-09-22,7,1,4,Changeup,R,called_strike,,NA,NA,NA,NA,4,84.7,1710
2024-09-22,7,1,3,Changeup,R,blocked_ball,,NA,NA,NA,NA,14,86.3,1833
2024-09-22,7,1,2,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,3,96.6,2209
2024-09-22,7,1,1,4-Seam Fastball,R,ball,,NA,NA,NA,NA,12,95.9,2175
2024-09-22,1,0,2,Slider,R,hit_into_play,single,81.1,25,294,3,9,85.7,2167
2024-09-22,1,0,1,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,2,94.3,2036
2024-09-22,9,0,3,4-Seam Fastball,R,hit_into_play,home_run,99.2,36,382,5,1,100.6,2271
2024-09-22,9,0,2,4-Seam Fastball,R,foul,,73.4,42,219,NA,5,99.9,2184
2024-09-22,9,0,1,Slider,R,swinging_strike,,NA,NA,NA,NA,8,88.3,2378
2024-09-22,6,0,3,Slider,R,hit_into_play,field_out,93.3,31,362,3,6,87.3,2337
2024-09-22,6,0,2,Slider,R,ball,,NA,NA,NA,NA,12,88.5,2353
2024-09-22,6,0,1,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,4,94.2,2123
2024-09-21,5,0,1,4-Seam Fastball,R,hit_into_play,single,81.5,15,208,4,4,94.5,2187
2024-09-21,3,2,1,4-Seam Fastball,R,hit_into_play,home_run,99.2,29,391,6,5,93.1,2173
2024-09-21,1,1,4,4-Seam Fastball,R,called_strike,strikeout,NA,NA,NA,NA,9,93.6,2173
2024-09-21,1,1,3,4-Seam Fastball,R,swinging_strike,,NA,NA,NA,NA,11,93.8,2222
2024-09-21,1,1,2,Cutter,R,called_strike,,NA,NA,NA,NA,7,86.9,2364
2024-09-21,1,1,1,4-Seam Fastball,R,ball,,NA,NA,NA,NA,11,93.6,2215
2024-09-21,9,0,3,Split-Finger,R,hit_into_play,field_out,92.2,31,314,3,6,88.9,1681
2024-09-21,9,0,2,Split-Finger,R,ball,,NA,NA,NA,NA,12,89.3,1637
2024-09-21,9,0,1,4-Seam Fastball,R,ball,,NA,NA,NA,NA,8,98.4,2135
2024-09-21,6,1,1,Changeup,R,hit_into_play,grounded_into_double_play,100.7,3,72,4,5,88.1,1749
2024-09-20,5,2,5,Sinker,L,hit_into_play,field_out,77.5,62,162,3,6,91,2181
