,,,,,,,,,,,,,,,,,,,
,DATE,LOCATION,OPP,RESULT,SCORE,MIN,PTS,REB,AST,STL,BLK,TO,FG,FG%,3PT,3P%,FT,FT%,PF
,Thu 9/19,AWAY,WAS,"L
",92-91,20,8,5,8,1,0,3,2-5,40.0,2-3,66.7,2-2,100.0,0
,Sun 9/15,HOME,DAL,W,110-109,36,35,2,8,3,0,5,10-22,45.5,6-14,42.9,9-9,100.0,1
,Fri 9/13,HOME,LV,L,78-74,34,18,8,9,1,0,6,7-18,38.9,2-8,25.0,2-4,50.0,4
,Wed 9/11,HOME,LV,L,86-75,38,16,3,6,0,0,5,6-22,27.3,1-10,10.0,3-3,100.0,3
,Sun 9/8,HOME,ATL,W,104-100,45,26,5,12,0,0,9,7-17,41.2,4-13,30.8,8-8,100.0,3
,Fri 9/6,HOME,MIN,L,99-88,36,25,8,8,0,1,7,8-21,38.1,5-10,50.0,4-4,100.0,2
,Wed 9/4,HOME,LA,W,93-86,40,24,10,10,3,0,7,8-17,47.1,4-10,40.0,4-4,100.0,1
,Sun 9/1,AWAY,DAL,W,100-93,37,28,4,12,1,0,7,10-19,52.6,5-11,45.5,3-4,75.0,3
,Fri 8/30,AWAY,CHI,W,100-81,32,31,4,12,1,0,3,8-14,57.1,5-9,55.6,10-11,90.9,3
,Wed 8/28,HOME,CONN,W,84-80,38,19,5,5,1,1,7,7-17,41.2,3-12,25.0,2-2,100.0,2
,Mon 8/26,AWAY,ATL,W,84-79,37,19,7,7,2,1,2,6-14,42.9,4-9,44.4,3-3,100.0,4
,Sat 8/24,AWAY,MIN,L,90-80,38,23,5,8,1,0,7,8-18,44.4,3-8,37.5,4-4,100.0,4
,Sun 8/18,HOME,SEA,W,92-75,36,23,5,9,1,2,5,9-19,47.4,3-10,30.0,2-2,100.0,3
,Fri 8/16,HOME,PHX,W,98-89,36,29,5,10,0,0,5,8-16,50.0,4-11,36.4,9-10,90.0,2
,Wed 7/17,AWAY,DAL,L,101-93,40,24,6,19,0,0,6,10-19,52.6,2-9,22.2,2-3,66.7,1
,Sun 7/14,AWAY,MIN,W,81-74,37,17,3,6,2,0,6,5-17,29.4,2-11,18.2,5-5,100.0,3
,Fri 7/12,HOME,PHX,W,95-86,38,20,6,13,1,2,6,8-16,50.0,2-7,28.6,2-2,100.0,2
,Wed 7/10,HOME,WSH,L,89-84,38,29,5,13,5,3,5,7-14,50.0,5-9,55.6,10-11,90.9,5
,Sat 7/6,HOME,NY,W,83-78,38,19,12,13,2,0,4,7-17,41.2,3-12,25.0,2-2,100.0,3
,Tue 7/2,AWAY,LV,L,88-69,38,13,6,11,1,0,6,4-12,33.3,1-7,14.3,4-4,100.0,5
,Sun 6/30,AWAY,PHX,W,88-82,39,15,9,12,0,0,6,4-14,28.6,2-10,20.0,5-6,83.3,3
,Thu 6/27,AWAY,SEA,L,89-77,38,15,6,7,0,1,6,4-9,44.4,3-7,42.9,4-5,80.0,1
,Sun 6/23,AWAY,CHI,L,88-77,40,17,6,13,4,0,5,5-11,45.5,5-9,55.6,2-3,66.7,4
,Fri 6/21,AWAY,ATL,W,91-79,35,16,4,7,0,1,7,6-12,50.0,4-8,50.0,0-1,0.0,4
,Wed 6/19,HOME,WSH,W,88-81,37,18,12,6,4,0,6,6-12,50.0,2-6,33.3,4-4,100.0,2
,Sun 6/16,HOME,CHI,W,91-83,37,23,8,9,0,2,5,7-11,63.6,3-7,42.9,6-6,100.0,3
,Thu 6/13,HOME,ATL,W,91-84,35,7,4,6,0,2,7,3-11,27.3,1-6,16.7,0-0,0.0,1
,Mon 6/10,AWAY,CONN,L,89-72,22,10,0,2,1,0,3,3-8,37.5,2-5,40.0,2-2,100.0,4
,Fri 6/7,AWAY,WSH,W,85-83,39,30,8,6,4,0,8,8-15,53.3,7-13,53.8,7-8,87.5,3
,Sun 6/2,AWAY,NY,L,104-68,29,3,2,5,2,1,3,1-10,10.0,1-7,14.3,0-0,0.0,2
,Sat 6/1,HOME,CHI,W,71-70,37,11,8,6,1,0,5,4-11,36.4,2-9,22.2,1-1,100.0,2
,Thu 5/30,HOME,SEA,L,103-88,40,20,3,9,0,1,7,6-17,35.3,3-8,37.5,5-5,100.0,2
,Tue 5/28,HOME,LA,L,88-82,34,30,5,6,3,3,7,7-16,43.8,3-10,30.0,13-15,86.7,5
,Sat 5/25,AWAY,LV,L,99-80,29,8,5,7,1,0,6,2-8,25.0,2-5,40.0,2-2,100.0,2
,Fri 5/24,AWAY,LA,W,78-73,37,11,10,8,4,1,2,4-14,28.6,2-9,22.2,1-2,50.0,2
,Wed 5/22,AWAY,SEA,L,85-83,33,21,7,7,0,2,3,6-16,37.5,2-8,25.0,7-9,77.8,0
,Mon 5/20,HOME,CONN,L,88-84,27,17,3,5,0,2,5,5-11,45.5,3-7,42.9,4-4,100.0,5
,Sat 5/18,AWAY,NY,L,91-80,34,22,6,8,1,0,8,9-17,52.9,4-10,40.0,0-0,0.0,3
,Thu 5/16,HOME,NY,L,102-66,30,9,7,6,0,1,3,2-8,25.0,1-7,14.3,4-4,100.0,5
,Tue 5/14,AWAY,CONN,L,92-71,32,20,0,3,2,0,10,5-15,33.3,4-11,36.4,6-6,100.0,4
