Team,Opponent,Host,Year,Toss,Selection,Run Scored,Fours,Sixes,Extras Scored,Highest Score,Result,Given Extras
Pakistan,Sri Lanka,Sharjah,1984,0,0,187,9,3,21,47,0,26
Sri Lanka,Pakistan,Sharjah,1984,1,1,190,11,1,26,57,1,21
India,Sri Lanka,Sharjah,1984,1,1,97,9,0,14,51,1,8
Sri Lanka,India,Sharjah,1984,0,0,96,7,0,8,38,0,14
India,Pakistan,Sharjah,1984,1,0,188,13,3,17,56,1,5
Pakistan,India,Sharjah,1984,0,1,134,5,0,5,35,0,17
Sri Lanka,Pakistan,Colombo(PSS),1986,1,1,116,10,0,14,34,0,15
Pakistan,Sri Lanka,Colombo(PSS),1986,0,0,197,14,3,15,39,1,14
Bangladesh,Pakistan,Moratuwa,1986,0,0,94,0,0,9,37,0,5
Pakistan,Bangladesh,Moratuwa,1986,1,1,98,4,0,5,47,1,9
Sri Lanka,Bangladesh,Kandy,1986,0,1,132,0,0,19,44,0,10
Bangladesh,Sri Lanka,Kandy,1986,0,0,131,0,0,10,40,0,19
Sri Lanka,Pakistan,Colombo(SSC),1986,1,1,195,15,1,9,57,1,14
Pakistan,Sri Lanka,Colombo(SSC),1986,0,0,191,11,4,14,67,0,9
Pakistan,Sri Lanka,Dhaka,1988,0,0,194,5,0,7,54,0,18
Sri Lanka,Pakistan,Dhaka,1988,1,1,195,10,0,18,55,1,7
Bangladesh,India,Chattogram,1988,0,0,99,5,0,13,22,0,7
India,Bangladesh,Chattogram,1988,1,1,100,7,1,7,50,1,13
India,Sri Lanka,Dhaka,1988,1,1,254,14,4,5,50,0,13
Sri Lanka,India,Dhaka,1988,0,0,271,12,2,13,69,1,5
Bangladesh,Pakistan,Chattogram,1988,0,1,111,0,0,15,22,0,23
Pakistan,Bangladesh,Chattogram,1988,1,0,284,9,4,23,124,1,15
India,Pakistan,Dhaka,1988,1,1,143,8,0,19,74,1,17
Pakistan,India,Dhaka,1988,0,0,142,7,0,17,38,0,19
Bangladesh,Sri Lanka,Dhaka,1988,0,0,118,0,0,12,30,0,7
Sri Lanka,Bangladesh,Dhaka,1988,1,1,120,0,0,7,58,1,12
India,Sri Lanka,Dhaka,1988,1,1,180,10,3,12,76,1,18
Sri Lanka,India,Dhaka,1988,0,0,176,8,1,18,36,0,12
India,Bangladesh,Chandigarh,1990,0,1,171,12,3,12,104,1,29
Bangladesh,India,Chandigarh,1990,1,0,170,11,0,29,57,0,12
India,Sri Lanka,Cuttack,1990,0,1,178,9,0,13,40,0,32
Sri Lanka,India,Cuttack,1990,1,0,214,2,1,32,53,1,13
Bangladesh,Sri Lanka,Kolkata,1990,0,1,178,0,0,20,78,0,15
Sri Lanka,Bangladesh,Kolkata,1990,1,0,249,0,0,15,89,1,20
India,Sri Lanka,Kolkata,1991,1,1,205,7,1,2,75,1,21
Sri Lanka,India,Kolkata,1991,0,0,204,3,0,21,49,0,2
Bangladesh,India,Sharjah,1995,1,0,163,12,1,11,30,0,7
India,Bangladesh,Sharjah,1995,0,1,164,21,1,7,56,1,11
Bangladesh,Sri Lanka,Sharjah,1995,1,1,126,8,0,12,26,0,10
Sri Lanka,Bangladesh,Sharjah,1995,0,0,233,15,1,10,71,1,12
India,Pakistan,Sharjah,1995,0,1,169,11,2,26,54,0,16
Pakistan,India,Sharjah,1995,1,0,266,21,5,16,88,1,26
Bangladesh,Pakistan,Sharjah,1995,1,0,151,7,0,14,44,0,7
Pakistan,Bangladesh,Sharjah,1995,0,1,152,15,2,7,38,1,14
India,Sri Lanka,Sharjah,1995,0,1,206,24,1,17,112,1,29
Sri Lanka,India,Sharjah,1995,1,0,202,15,2,29,48,0,17
Pakistan,Sri Lanka,Sharjah,1995,0,0,178,5,3,22,73,0,17
Sri Lanka,Pakistan,Sharjah,1995,1,1,180,16,2,17,48,1,22
India,Sri Lanka,Sharjah,1995,1,1,233,15,2,9,90,1,37
Sri Lanka,India,Sharjah,1995,0,0,230,12,3,37,85,0,9
Sri Lanka,Pakistan,Colombo(RPS),1997,0,0,239,9,1,12,80,1,15
Pakistan,Sri Lanka,Colombo(RPS),1997,1,1,224,11,3,15,57,0,12
Bangladesh,Pakistan,Colombo(RPS),1997,0,1,210,15,1,18,82,0,13
Pakistan,Bangladesh,Colombo(RPS),1997,1,0,319,28,3,13,90,1,18
Sri Lanka,India,Colombo(RPS),1997,1,1,231,23,0,21,131,1,4
India,Sri Lanka,Colombo(RPS),1997,0,0,227,19,2,4,81,0,21
Sri Lanka,Bangladesh,Colombo(SSC),1997,0,0,296,31,4,13,108,1,23
Bangladesh,Sri Lanka,Colombo(SSC),1997,1,1,193,15,1,23,47,0,13
Bangladesh,India,Colombo(SSC),1997,0,0,130,10,0,19,33,0,8
India,Bangladesh,Colombo(SSC),1997,1,1,132,16,2,8,73,1,19
Sri Lanka,India,Colombo(RPS),1997,0,1,240,19,6,25,84,1,15
India,Sri Lanka,Colombo(RPS),1997,1,0,239,11,2,15,81,0,25
Bangladesh,Sri Lanka,Dhaka,2000,0,0,175,8,1,12,85,0,13
Sri Lanka,Bangladesh,Dhaka,2000,1,1,178,20,4,13,96,1,12
Bangladesh,India,Dhaka,2000,1,0,249,17,4,17,64,0,11
India,Bangladesh,Dhaka,2000,0,1,252,17,9,11,135,1,17
India,Sri Lanka,Dhaka,2000,0,1,205,18,2,17,93,0,23
Sri Lanka,India,Dhaka,2000,1,0,276,21,2,23,105,1,17
Bangladesh,Pakistan,Dhaka,2000,0,1,87,7,0,22,23,0,9
Pakistan,Bangladesh,Dhaka,2000,1,0,320,33,6,9,80,1,22
India,Pakistan,Dhaka,2000,0,1,251,19,4,38,93,0,16
Pakistan,India,Dhaka,2000,1,0,295,29,3,16,100,1,38
Pakistan,Sri Lanka,Dhaka,2000,0,1,193,14,3,15,90,1,12
