away_team,away_score,home_team,home_score,date
Misericordia,2,Susquehanna,0,2022-09-01
Catholic,1,Johns Hopkins,6,2022-09-01
Messiah,3,Stevens,2,2022-09-01
Capital,2,Case Western Reserve,4,2022-09-01
Calvin,2,Heidelberg,0,2022-09-01
St. Norbert,1,Loras,6,2022-09-01
William Smith,8,St. Joseph (Conn.),0,2022-09-01
UW-La Crosse,1,Cal Lutheran,0,2022-09-01
UW-Whitewater,0,Mary Hardin-Baylor,3,2022-09-01
Emory,5,Berry,0,2022-09-01
Alvernia,0,Montclair State,1,2022-09-01
Piedmont,0,Pacific Lutheran,3,2022-09-01
Wartburg,1,St. Olaf,0,2022-09-01
SUNY Delhi,0,Cortland State,8,2022-09-01
Lesley,1,Wentworth,2,2022-09-01
Monmouth,2,Rockford,1,2022-09-01
Fitchburg State,3,Dean,0,2022-09-01
FDU-Florham,2,Ramapo,1,2022-09-01
St. Thomas (Texas),2,Howard Payne,1,2022-09-01
Smith,1,Mass-Boston,1,2022-09-01
Sul Ross State,1,Belhaven,3,2022-09-01
UW-River Falls,3,Finlandia,0,2022-09-01
MCLA,1,Nichols,5,2022-09-01
Augsburg,2,UW-Superior,1,2022-09-01
Stockton,1,St. Joseph's (L.I.),0,2022-09-01
Oglethorpe,6,Agnes Scott,1,2022-09-01
St. Catherine,2,UW-Stevens Point,0,2022-09-01
Lawrence,0,Concordia (Wis.),3,2022-09-01
Albion,3,Manchester,0,2022-09-01
Rochester,2,Geneseo State,0,2022-09-01
Knox,0,Transylvania,2,2022-09-01
Northwestern (Minn.),1,Bethel,4,2022-09-01
Ursinus,1,Eastern,0,2022-09-01
Curry,4,Rhode Island College,1,2022-09-01
Penn State-Altoona,1,Lycoming,3,2022-09-01
Potsdam State,3,SUNY Canton,0,2022-09-01
DePauw,1,Otterbein,1,2022-09-01
Southern Virginia,2,Bridgewater (Va.),1,2022-09-01
Lebanon Valley,1,Moravian,1,2022-09-01
Johnson and Wales,1,Babson,3,2022-09-01
Averett,1,Pfeiffer,0,2022-09-01
Brockport State,0,Alfred,1,2022-09-01
Plymouth State,3,New England College,1,2022-09-01
Immaculata,2,Cedar Crest,5,2022-09-01
Oswego State,7,Cazenovia,0,2022-09-01
Randolph,1,Eastern Mennonite,1,2022-09-01
Penn State-Abington,7,Gwynedd-Mercy,0,2022-09-01
Rutgers-Newark,0,Union,2,2022-09-01
Buffalo State,8,Pitt-Bradford,1,2022-09-01
Farmingdale State,0,Salisbury,1,2022-09-01
Plattsburgh State,2,Castleton,0,2022-09-01
Keuka,2,Hilbert,2,2022-09-01
Clarks Summit,2,Wells,2,2022-09-01
Simmons,0,Wellesley,2,2022-09-01
Neumann,0,DeSales,5,2022-09-01
William Paterson,2,Centenary (N.J.),2,2022-09-01
Ithaca,3,Elmira,0,2022-09-01
Earlham,0,Adrian,0,2022-09-01
Waynesburg,0,Lancaster Bible,2,2022-09-01
UW-Platteville,3,Edgewood,1,2022-09-01
Ferrum,0,Mary Baldwin,1,2022-09-01
Endicott,3,Lasell,0,2022-09-01
King's,3,Penn College,2,2022-09-01
Bryn Mawr,1,Cabrini,2,2022-09-01
Bluffton,0,Oberlin,5,2022-09-01
Roger Williams,2,Framingham State,0,2022-09-01
Vassar,1,Mount St. Vincent,2,2022-09-01
Grove City,3,Pitt-Greensburg,2,2022-09-01
Westminster (Pa.),2,John Carroll,2,2022-09-01
Colby-Sawyer,2,Maine Maritime,2,2022-09-01
Anna Maria,0,Bard,1,2022-09-01
Asbury,0,Hanover,6,2022-09-01
Worcester State,1,Wheaton (Mass.),4,2022-09-01
Bryn Athyn,0,Albright,1,2022-09-01
Elmhurst,0,Dominican,6,2022-09-01
Luther,1,Carleton,2,2022-09-01
