LastName,Country,Age,TotalPoints,DiveNum,DiveName,Difficulty,Judge1,Judge2,Judge3,Judge4,Judge5,Judge6,Judge7,Points
Fung,CAN,18,374.7,1,103B,1.7,7,6.5,7.5,7.5,7,7,7,35.7
Fung,CAN,18,374.7,2,201B,1.6,6.5,6,6.5,7,6.5,6.5,6,31.2
Fung,CAN,18,374.7,3,5233D,2.5,6.5,6.5,6.5,6.5,6.5,6.5,6,48.75
Fung,CAN,18,374.7,4,301B,1.7,6,6.5,6,6.5,6.5,7.5,6.5,33.15
Fung,CAN,18,374.7,5,401B,1.5,7,7,7,7.5,7,6.5,7,31.5
Fung,CAN,18,374.7,6,403B,2.4,6.5,6.5,6.5,7,7,7,7,49.2
Fung,CAN,18,374.7,7,105B,2.6,7,7,7.5,7,6.5,6.5,7,54.6
Fung,CAN,18,374.7,8,203B,2.3,5.5,5.5,6.5,6.5,6.5,5,6,41.4
Fung,CAN,18,374.7,9,303B,2.4,6,6.5,7,7,6.5,7,7,49.2
Brown,GBR,17,373.5,1,401B,1.5,6.5,6.5,7,7,7.5,7,6,30.75
Brown,GBR,17,373.5,2,103B,1.7,7,7.5,7,7,7,7.5,7,35.7
Brown,GBR,17,373.5,3,201B,1.6,7,7.5,7,7,7,7,6.5,33.6
Brown,GBR,17,373.5,4,301B,1.7,7.5,7.5,8,7.5,7.5,7.5,7.5,38.25
Brown,GBR,17,373.5,5,5132D,2.2,6.5,7,6.5,6,6.5,6,7,42.9
Brown,GBR,17,373.5,6,403B,2.4,6.5,7,6.5,6.5,7,6.5,6.5,46.8
Brown,GBR,17,373.5,7,105B,2.6,6.5,7,7,7,7,7,7,54.6
Brown,GBR,17,373.5,8,5134D,2.6,5.5,5.5,5.5,5.5,5.5,5,4.5,42.9
Brown,GBR,17,373.5,9,303B,2.4,6.5,6,7,7,6.5,7.5,6.5,48
Monroy Manriquez,MEX,17,371.35,1,103B,1.7,6.5,6.5,6.5,6.5,6,6,6.5,33.15
Monroy Manriquez,MEX,17,371.35,2,401B,1.5,6.5,7,7,7,6.5,7,6.5,30.75
Monroy Manriquez,MEX,17,371.35,3,201B,1.6,7,7,7,7,6,7,6.5,33.6
Monroy Manriquez,MEX,17,371.35,4,301B,1.7,7,7.5,7,7,7,7,7.5,35.7
Monroy Manriquez,MEX,17,371.35,5,5132D,2.2,6.5,6,6,6.5,6.5,5.5,6.5,41.8
Monroy Manriquez,MEX,17,371.35,6,105B,2.6,6.5,6.5,6.5,6.5,6.5,6.5,7,50.7
Monroy Manriquez,MEX,17,371.35,7,203B,2.3,6,6.5,6.5,6.5,7,6.5,6,44.85
Monroy Manriquez,MEX,17,371.35,8,305C,3,6,6,6,6,6.5,6,7,54
Monroy Manriquez,MEX,17,371.35,9,403B,2.4,6.5,7,6,6,6.5,6.5,6.5,46.8
Hubert,GER,18,370.2,1,103B,1.7,6.5,7,7.5,7.5,6.5,7,7,35.7
Hubert,GER,18,370.2,2,201A,1.7,7,7,7,7,7,7,6.5,35.7
Hubert,GER,18,370.2,3,301B,1.7,7.5,8.5,8,8,8,8,8,40.8
Hubert,GER,18,370.2,4,401B,1.5,7.5,7,7.5,7,7,7,7,31.5
Hubert,GER,18,370.2,5,5331D,2.2,6,6.5,6.5,6.5,7,6,6.5,42.9
Hubert,GER,18,370.2,6,5333D,2.6,6.5,6,6,6.5,6.5,6.5,7,50.7
Hubert,GER,18,370.2,7,403B,2.4,7,7,6.5,7,7,7,7.5,50.4
Hubert,GER,18,370.2,8,105B,2.6,5.5,5,5.5,5.5,6,5.5,4,42.9
Hubert,GER,18,370.2,9,303B,2.4,5,5.5,5.5,6,5.5,5.5,4.5,39.6
Palkhivala,CAN,17,365.3,1,401B,1.5,7,7,7,7.5,7,7.5,7,31.5
Palkhivala,CAN,17,365.3,2,103B,1.7,7,6.5,7.5,7,7,7,7.5,35.7
Palkhivala,CAN,17,365.3,3,201B,1.6,7.5,6.5,7.5,8,7.5,7,7,35.2
Palkhivala,CAN,17,365.3,4,301B,1.7,7.5,7,7.5,8,7.5,7,8,38.25
Palkhivala,CAN,17,365.3,5,5132D,2.2,6.5,7.5,7,7,7,7,6.5,46.2
Palkhivala,CAN,17,365.3,6,403B,2.4,7,6.5,7,7,7,7,8,50.4
Palkhivala,CAN,17,365.3,7,303B,2.4,5,5,5,4.5,4,4.5,5,34.8
Palkhivala,CAN,17,365.3,8,105B,2.6,6.5,6.5,6.5,7,6,6.5,6.5,50.7
Palkhivala,CAN,17,365.3,9,203B,2.3,6,6,6.5,6.5,5,6,6.5,42.55
Milligan,AUS,18,357.3,1,401A,1.8,6.5,6,5,6.5,6.5,6.5,6,34.2
Milligan,AUS,18,357.3,2,103B,1.7,6.5,6.5,6.5,6.5,6.5,7,6.5,33.15
Milligan,AUS,18,357.3,3,201B,1.6,7.5,7,7,7.5,7,7,7,33.6
Milligan,AUS,18,357.3,4,301B,1.7,7,7,7,7,6.5,6.5,6.5,34.85
Milligan,AUS,18,357.3,5,5132D,2.2,6,5.5,5.5,5.5,5.5,5.5,6.5,36.3
Milligan,AUS,18,357.3,6,403B,2.4,7,6,6,6.5,6.5,6.5,6,45.6
Milligan,AUS,18,357.3,7,105B,2.6,6,5,5.5,6,6,5,6,45.5
Milligan,AUS,18,357.3,8,203B,2.3,6.5,6,6.5,6.5,6.5,5.5,6,43.7
Milligan,AUS,18,357.3,9,303B,2.4,7,7,7,7.5,7,6.5,7,50.4
Widerstrom,SWE,18,357.15,1,201B,1.6,7,6,6.5,7,7,6.5,6.5,32
Widerstrom,SWE,18,357.15,2,301B,1.7,7,7,7.5,7.5,7,7,7.5,36.55
Widerstrom,SWE,18,357.15,3,103B,1.7,7.5,6.5,7,6.5,7,7,7,35.7
Widerstrom,SWE,18,357.15,4,401A,1.8,6,6,6,6,6.5,5.5,6,32.4
Widerstrom,SWE,18,357.15,5,5331D,2.2,5.5,5,5.5,6,6,6,4.5,37.4
Widerstrom,SWE,18,357.15,6,5333D,2.6,7,6.5,6,6,6,5.5,6.5,48.1
Widerstrom,SWE,18,357.15,7,203B,2.3,6,5,6,5,5.5,5.5,6,39.1
Widerstrom,SWE,18,357.15,8,105B,2.6,6,5.5,6,6,6,5,5.5,45.5
Widerstrom,SWE,18,357.15,9,403B,2.4,7.5,7.5,7,7,7,6,7,50.4
Arnautova,UKR,18,348.3,1,401A,1.8,6,6,6,6.5,7,6.5,6.5,34.2
Arnautova,UKR,18,348.3,2,103B,1.7,7,6.5,7,6.5,6.5,7,6.5,34
Arnautova,UKR,18,348.3,3,201B,1.6,6,6,6,6,6,6,5.5,28.8
Arnautova,UKR,18,348.3,4,301B,1.7,5.5,5.5,6,6,6,6.5,6,30.6
Arnautova,UKR,18,348.3,5,5132D,2.2,6,6.5,6,6,5,6,6.5,39.6
Arnautova,UKR,18,348.3,6,403B,2.4,6,6.5,6.5,6,6,6,6,43.2
Arnautova,UKR,18,348.3,7,105B,2.6,6.5,6.5,6.5,6,6,6.5,6,49.4
Arnautova,UKR,18,348.3,8,303B,2.4,6,6,6.5,6,6.5,7,6.5,45.6
Arnautova,UKR,18,348.3,9,5333D,2.6,5.5,5.5,5.5,6,5.5,6,5.5,42.9
Pizzini,ITA,17,335.55,1,401B,1.5,6.5,6.5,6,6.5,6.5,7,6,29.25
Pizzini,ITA,17,335.55,2,103B,1.7,7,6,6.5,6.5,6,6.5,6.5,33.15
Pizzini,ITA,17,335.55,3,201B,1.6,7,6.5,6.5,6.5,6.5,7.5,6.5,31.2
Pizzini,ITA,17,335.55,4,301B,1.7,6.5,6.5,6.5,6,6.5,7,6,33.15
Pizzini,ITA,17,335.55,5,5331D,2.2,5.5,5,5.5,5.5,6,6,6,37.4
Pizzini,ITA,17,335.55,6,403B,2.4,6.5,6,6,5.5,6,6,6,43.2
Pizzini,ITA,17,335.55,7,105B,2.6,6,6.5,6,6,6.5,6,6,46.8
Pizzini,ITA,17,335.55,8,203B,2.3,4.5,4.5,5,4.5,5.5,5,4.5,32.2
Pizzini,ITA,17,335.55,9,303B,2.4,6.5,6.5,7,7,7,7,6.5,49.2
Shurda,UKR,18,335.45,1,401A,1.8,6,5.5,7,6.5,6.5,7,6.5,35.1
Shurda,UKR,18,335.45,2,103B,1.7,7,6.5,7,6.5,6.5,6.5,6.5,33.15
Shurda,UKR,18,335.45,3,201B,1.6,7,6.5,6.5,6.5,7,7,6.5,32
Shurda,UKR,18,335.45,4,301B,1.7,7,7,7,7,6,8,7,35.7
Shurda,UKR,18,335.45,5,5132D,2.2,6,6,6,6,5.5,6,6,39.6
Shurda,UKR,18,335.45,6,105B,2.6,6,5,6,5,5.5,6.5,6,45.5
Shurda,UKR,18,335.45,7,203B,2.3,6.5,5.5,6,5.5,6,5,5.5,39.1
Shurda,UKR,18,335.45,8,303B,2.4,4.5,5.5,4,4.5,4.5,5,4.5,32.4
Shurda,UKR,18,335.45,9,5333D,2.6,5.5,5.5,4.5,5.5,5.5,6,5.5,42.9
Rollinson,GBR,18,334.65,1,103B,1.7,3,2,1,2,2.5,2.5,2,11.05
Rollinson,GBR,18,334.65,2,201B,1.6,5.5,4.5,5.5,6.5,6,6,6,28
Rollinson,GBR,18,334.65,3,301B,1.7,7,6.5,7,6.5,6,6,6.5,33.15
Rollinson,GBR,18,334.65,4,401A,1.8,6,6,6.5,6.5,6.5,6,6,33.3
