Goal,Split,Rate,Time,Date,Sex,Trial,ID,Piece
02:03:00,02:04:00,32,08:16:00,29-Jan,0,1,10207,2k test
02:00:00,01:59:00,36,07:57:00,12-Feb,0,2,10207,2k test
01:57:00,01:58:00,35,07:52:00,6-Mar,0,3,10207,2k test
01:57:00,01:57:00,35,07:49:00,17-Mar,0,4,10207,2k test
02:00:00,01:59:00,35,07:58:00,29-Jan,0,1,10459,2k test
01:58:00,01:59:00,35,07:56:00,12-Feb,0,2,10459,2k test
01:55:00,01:56:00,35,07:47:00,6-Mar,0,3,10459,2k test
01:55:00,01:54:00,35,07:39:00,17-Mar,0,4,10459,2k test
01:56:00,01:57:00,36,07:49:00,29-Jan,0,1,10875,2k test
01:55:00,01:57:00,36,07:48:00,12-Feb,0,2,10875,2k test
01:55:00,01:55:00,36,07:43:00,6-Mar,0,3,10875,2k test
01:54:00,01:54:00,36,07:38:00,17-Mar,0,4,10875,2k test
01:38:00,01:38:00,34,06:33:00,18-Mar,1,2,11334,2k test
01:37:00,01:36:00,34,06:27:00,16-Feb,1,1,11334,2k test
01:45:00,01:46:00,34,07:06:00,18-Mar,1,2,11507,2k test
01:47:00,01:47:00,35,07:09:00,16-Feb,1,1,11507,2k test
02:10:00,02:10:00,33,08:41:00,29-Jan,0,1,11935,2k test
02:10:00,02:07:00,35,08:30:00,12-Feb,0,2,11935,2k test
02:05:00,02:08:00,35,08:33:00,6-Mar,0,3,11935,2k test
02:07:00,02:11:00,34,08:47:00,17-Mar,0,4,11935,2k test
01:57:00,01:59:00,36,07:57:00,29-Jan,0,1,12357,2k test
01:57:00,02:01:00,34,08:04:00,12-Feb,0,2,12357,2k test
01:57:00,01:57:00,36,07:49:00,6-Mar,0,3,12357,2k test
01:56:00,01:56:00,36,07:45:00,17-Mar,0,4,12357,2k test
02:02:00,02:03:00,34,08:13:00,29-Jan,0,1,12641,2k test
02:00:00,02:00:00,35,08:02:00,12-Feb,0,2,12641,2k test
02:00:00,01:59:00,35,07:58:00,6-Mar,0,3,12641,2k test
01:58:00,01:59:00,35,07:56:00,17-Mar,0,4,12641,2k test
01:50:00,01:53:00,36,07:33:00,18-Mar,1,2,13384,2k test
01:55:00,01:55:00,36,07:40:00,16-Feb,1,1,13384,2k test
01:46:00,01:46:00,38,07:05:00,18-Mar,1,2,13414,2k test
01:48:00,01:47:00,36,07:10:00,16-Feb,1,1,13414,2k test
01:50:00,01:52:00,37,07:31:00,18-Mar,1,2,15732,2k test
02:15:00,02:13:00,35,08:55:00,29-Jan,0,1,15752,2k test
02:12:00,02:13:00,36,08:52:00,12-Feb,0,2,15752,2k test
02:10:00,02:11:00,35,08:46:00,6-Mar,0,3,15752,2k test
02:10:00,02:10:00,34,08:41:00,17-Mar,0,4,15752,2k test
02:06:00,02:10:00,32,08:43:00,29-Jan,0,1,16302,2k test
02:03:00,02:07:00,34,08:28:00,12-Feb,0,2,16302,2k test
02:00:00,02:05:00,35,08:21:00,6-Mar,0,3,16302,2k test
02:02:00,02:04:00,35,08:16:00,17-Mar,0,4,16302,2k test
02:15:00,02:07:00,34,08:31:00,29-Jan,0,1,16410,2k test
02:06:00,02:07:00,37,08:31:00,12-Feb,0,2,16410,2k test
02:06:00,02:05:00,36,08:21:00,6-Mar,0,3,16410,2k test
02:05:00,02:05:00,36,08:21:00,17-Mar,0,4,16410,2k test
01:33:00,01:32:00,35,06:11:00,18-Mar,1,2,16818,2k test
01:34:00,01:34:00,34,06:16:00,16-Feb,1,1,16818,2k test
01:40:00,01:39:00,36,06:39:00,18-Mar,1,2,17021,2k test
01:41:00,01:40:00,34,06:42:00,16-Feb,1,1,17021,2k test
01:57:00,01:55:00,36,07:40:00,29-Jan,0,1,17508,2k test
01:55:00,01:57:00,35,07:51:00,12-Feb,0,2,17508,2k test
01:55:00,01:54:00,35,07:38:00,6-Mar,0,3,17508,2k test
01:53:00,01:53:00,36,07:34:00,17-Mar,0,4,17508,2k test
01:45:00,01:44:00,37,06:59:00,18-Mar,1,2,17920,2k test
01:46:00,01:46:00,34,07:04:00,16-Feb,1,1,17920,2k test
02:00:00,01:56:00,32,07:47:00,29-Jan,0,1,17941,2k test
02:00:00,01:54:00,32,07:38:00,12-Feb,0,2,17941,2k test
02:00:00,01:54:00,34,07:37:00,6-Mar,0,3,17941,2k test
01:53:00,01:52:00,33,07:28:00,17-Mar,0,4,17941,2k test
02:00:00,02:01:00,36,08:05:00,29-Jan,0,1,18618,2k test
02:00:00,02:00:00,36,08:00:00,12-Feb,0,2,18618,2k test
01:58:00,02:00:00,36,08:02:00,6-Mar,0,3,18618,2k test
01:58:00,01:59:00,35,07:56:00,17-Mar,0,4,18618,2k test
02:03:00,02:06:00,34,08:24:00,29-Jan,0,1,19382,2k test
02:00:00,02:01:00,36,08:04:00,12-Feb,0,2,19382,2k test
02:00:00,01:59:00,36,07:57:00,6-Mar,0,3,19382,2k test
01:58:00,02:00:00,36,08:03:00,17-Mar,0,4,19382,2k test
02:00:00,01:57:00,36,07:48:00,29-Jan,0,1,19968,2k test
01:55:00,01:56:00,36,07:47:00,12-Feb,0,2,19968,2k test
01:55:00,01:56:00,36,07:45:00,6-Mar,0,3,19968,2k test
01:55:00,01:57:00,35,07:49:00,17-Mar,0,4,19968,2k test
02:16:00,02:16:00,29,27:17:00,30-Jan,0,1,10207,6k SS
02:15:00,02:12:00,29,26:26:00,6-Feb,0,2,10207,6k SS
02:10:00,02:08:00,32,25:40:00,27-Feb,0,3,10207,6k test
02:15:00,02:13:00,28,26:46:00,30-Jan,0,1,10459,6k SS
02:13:00,02:11:00,29,26:18:00,6-Feb,0,2,10459,6k SS
02:12:00,02:08:00,32,25:45:00,27-Feb,0,3,10459,6k test
02:09:00,02:09:00,29,25:49:00,30-Jan,0,1,10875,6k SS
02:09:00,02:08:00,29,25:38:00,6-Feb,0,2,10875,6k SS
02:04:00,02:05:00,32,25:02:00,27-Feb,0,3,10875,6k test
02:30:00,02:24:00,29,28:57:00,30-Jan,0,1,11935,6k SS
02:30:00,02:24:00,29,28:50:00,6-Feb,0,2,11935,6k SS
02:23:00,02:19:00,32,27:50:00,27-Feb,0,3,11935,6k test
02:10:00,02:11:00,29,26:13:00,30-Jan,0,1,12357,6k SS
02:12:00,02:13:00,29,26:40:00,6-Feb,0,2,12357,6k SS
02:10:00,02:08:00,33,25:40:00,27-Feb,0,3,12357,6k test
02:15:00,02:15:00,29,27:05:00,30-Jan,0,1,12641,6k SS
02:14:00,02:14:00,29,26:48:00,6-Feb,0,2,12641,6k SS
02:12:00,02:10:00,32,26:08:00,27-Feb,0,3,12641,6k test
02:30:00,02:27:00,29,29:32:00,30-Jan,0,1,15752,6k SS
02:25:00,02:24:00,29,28:56:00,6-Feb,0,2,15752,6k SS
02:23:00,02:22:00,32,28:28:00,27-Feb,0,3,15752,6k test
02:17:00,02:19:00,28,27:48:00,30-Jan,0,1,16302,6k SS
02:19:00,02:16:00,29,27:12:00,6-Feb,0,2,16302,6k SS
02:14:00,02:14:00,32,26:59:00,27-Feb,0,3,16302,6k test
02:30:00,02:23:00,30,28:37:00,6-Feb,0,2,16410,6k SS
02:08:00,02:08:00,29,25:41:00,30-Jan,0,1,17508,6k SS
02:10:00,02:11:00,28,26:16:00,6-Feb,0,2,17508,6k SS
02:03:00,02:07:00,32,25:29:00,27-Feb,0,3,17508,6k test
02:10:00,02:11:00,28,26:13:00,30-Jan,0,1,17941,6k SS
02:15:00,02:08:00,29,25:39:00,6-Feb,0,2,17941,6k SS
02:05:00,02:03:00,32,24:41:00,27-Feb,0,3,17941,6k test
02:14:00,02:14:00,29,26:48:00,30-Jan,0,1,18618,6k SS
02:13:00,02:10:00,29,26:01:00,6-Feb,0,2,18618,6k SS
02:09:00,02:09:00,32,25:52:00,27-Feb,0,3,18618,6k test
02:15:00,02:14:00,29,26:56:00,30-Jan,0,1,19382,6k SS
02:12:00,02:13:00,29,26:46:00,6-Feb,0,2,19382,6k SS
02:10:00,02:10:00,33,26:10:00,27-Feb,0,3,19382,6k test
02:16:00,02:12:00,29,26:31:00,30-Jan,0,1,19968,6k SS
02:14:00,02:08:00,29,25:42:00,6-Feb,0,2,19968,6k SS
02:08:00,02:05:00,33,25:07:00,27-Feb,0,3,19968,6k test
