NAME,CLUB,POSITION,total_offense,total_penalties,GP,HPI
"Mortensen, Casper Ulrich",HSV,LW,521,26,28,77
"Knorr, Juri",RNL,CB,563,85,29,71
"Steinert, Christoph",HCE,RB,463,39,30,72
"Blohme, Lukas",GUM,RW,424,27,30,74
"Smits, Kay",SCM,RB,441,34,30,74
"Jakobsen, Emil",SGF,LW,380,18,30,74
"Kristjansson, Gisli Thorgeir",SCM,CB,456,72,29,74
"Rubin, Lenny",WET,LB,460,64,30,70
"Kristjánsson, Viggó",LEI,RB,421,70,23,70
"Lindberg, Hans",BER,RW,313,10,24,76
"Schiller, Marcel",FAG,LW,330,6,23,76
"Zehnder, Samuel",TBV,LW,314,8,23,76
"Golla, Johannes",SGF,PV,330,36,29,79
"Köster, Julian",GUM,LB,490,97,30,71
"Versteijnen, Niels Gerardus",TBV,RB,414,70,30,69
"Holm, Jacob",BER,CB,391,43,30,70
"Ekberg, Niclas",THW,RW,287,9,27,74
"Huesmann, Fabian",ASV,LW,305,21,28,70
"Groetzki, Patrick",RNL,RW,303,20,28,75
"Mappes, Dominik",GUM,CB,376,29,20,72
"Arnesson, Linus",BHC,CB,403,61,26,72
"Lassen, Jacob Arenth",HSV,RB,422,64,23,71
"Andersen, Frederik Bo",HSV,RW,272,12,28,75
"Pfattheicher, Sascha",STU,RW,281,19,29,71
"Baijens, Dani",HSV,CB,390,76,29,66
"Gidsel, Mathias",BER,RB,357,43,23,75
"Ahouansou, Philipp",RNL,LB,359,48,28,69
"Hutecek, Lukas",TBV,LB,403,61,30,72
"Darmoul, Mohamed Amine",GWD,CB,303,43,22,70
"Sarac, Josip",FAG,LB,347,50,30,70
"Lönn, Adam",STU,LB,369,80,30,68
"Gerbl, Maximilian",HAN,RW,265,13,30,73
"Ladefoged, Frederik",BHC,PV,267,68,30,73
"Beyer, Noah",BHC,LW,259,18,27,72
"Zerbe, Lukas",TBV,RW,256,16,29,74
"Vidarsson, Ellidi Snaer",GUM,PV,281,51,30,75
"Kohlbacher, Jannik",RNL,PV,267,45,27,76
"Magnusson, Omar Ingi",SCM,RB,307,34,15,75
"Gensheimer, Uwe",RNL,LW,266,12,19,72
"Marsenic, Mijajlo",BER,PV,250,49,29,76
"Savvas, Savvas",ASV,LB,345,52,30,68
"Häfner, Kai",MTM,RB,309,41,26,71
"Korte, Mats",GWD,LW,252,9,30,73
"Bilyk, Nikola",THW,LB,296,29,28,71
"Wiesmach, Patrick",LEI,RW,256,22,29,71
"Casado Marcelo, Agustin",MTM,CB,392,84,28,68
"Hansen, Johan",SGF,RW,254,10,28,70
"Steinhauser, Marius",HAN,RW,224,14,25,73
"Hanusz, Egon",STU,CB,293,55,30,68
"Hornke, Tim",SCM,RW,224,14,28,73
"Reinkind, Harald",THW,RB,346,40,29,71
"Schmidt, David",FAG,RB,281,39,29,69
"Suton, Tim",TBV,CB,304,49,29,69
"Von Boenigk, Jan",ASV,RB,318,69,28,67
"Jeppsson, Simon",HCE,LB,352,63,29,68
"Ivic, Sime",LEI,RB,305,51,29,68
"Andersson, Lasse Bredekjaer",BER,LB,327,40,24,72
"Stutzke, Lukas",BHC,LB,294,50,24,68
"Novak, Domen",WET,RW,227,18,27,71
"Johansson, Eric",THW,LB,290,37,23,72
"Büdel, Nico",HCE,CB,300,74,30,69
"Bissel, Christopher",HCE,LW,263,41,29,71
"Fernandez Jimenez, Daniel",STU,LW,215,11,28,72
"Brozovic, Ilija",HAN,PV,213,30,30,74
"Rød, Magnus Abelvik",SGF,RB,296,44,27,71
"Witzke, Luca",LEI,CB,319,44,23,70
"Vujovic, Branko",HAN,RB,311,48,27,69
"Zechel, Tim",HCE,PV,210,39,29,75
"Urban, Tomas",GWD,RW,276,35,29,68
"Babak, Tomas",BHC,CB,283,54,27,69
"Kulesh, Uladzislau",HAN,LB,283,37,27,68
"Damgaard, Michael",SCM,LB,245,13,30,72
"Olsson, Hampus",HCE,RW,199,13,24,73
"Kirkelokke, Niclas",RNL,RB,269,41,28,70
"Wiencek, Patrick",THW,PV,200,39,29,73
"Orlowski, Marian",ASV,LB,271,46,28,67
"Weller, Niklas",HSV,PV,203,49,28,73
"Mensing, Hans Aaron",SGF,LB,253,14,23,74
"Lagergren, Albin",RNL,RB,296,32,28,70
"Wiede, Fabian",BER,RB,274,58,28,69
"Kneule, Tim",FAG,CB,257,61,30,65
"Binder, Lukas",LEI,LW,199,13,29,71
"Klima, Matej",LEI,LB,241,45,22,69
"Gomes, André",MTM,LB,239,26,29,68
"Saugstrup, Magnus",SCM,PV,184,26,16,79
"Lindenchrone Andersen, Jon",FAG,RB,248,65,30,66
"Bornemann, Andreas",ASV,RB,249,43,30,67
"Vujovic, Milos",BER,LW,174,11,30,72
"Jansen, Tom",GUM,RB,301,46,29,69
"Axmann, Dominik",HSV,LB,254,48,29,69
"Gulliksen, Kevin Maageroe",FAG,RW,189,7,23,70
"Pieczkowski, Niclas",GWD,CB,274,74,26,64
"Guardiola, Gedeon",TBV,PV,191,23,29,74
"Jonsson, Elvar Örn",MTM,CB,244,36,23,70
"Firnhaber, Sebastian",HCE,PV,188,43,30,73
"Freihöfer, Tim",BER,LW,175,1,29,72
"Søgard Johannessen, Gøran",SGF,LB,223,47,30,69
"Drux, Paul",BER,LB,218,36,26,70
"Larsen, Mads Mensah",SGF,CB,262,52,30,69
"Heiny, Lutz",HCE,LB,229,36,30,68
"Kjær Møller, Lasse",SGF,LB,218,25,29,70
"Lærke, Emil Buhl",TBV,LB,250,34,29,67
"Zieker, Patrick",STU,LW,164,15,29,69
"Kozina, Kresimir",FAG,PV,167,57,30,72
"Sagosen, Sander",THW,CB,209,20,16,73
