sex,height,weight,IOCT_Time
F,67,134,203
F,63,121,197
M,72,176,150
F,68,168,235
F,65,149,210
M,74,176,203
F,68,138,220
M,66,163,170
M,68,166,183
F,64,129,231
M,69,150,168
F,63,147,345
M,77,181,171
M,67,151,168
F,73,163,260
M,71,164,186
M,72,177,166
M,73,215,176
F,65,150,213
M,66,155,167
M,69,154,175
F,62,135,248
F,63,124,266
F,63,138,233
M,72,165,172
M,71,189,173
M,69,164,191
F,67,166,299
F,70,175,282
M,76,230,182
F,68,153,347
M,74,195,214
M,65,143,164
M,72,164,188
M,76,175,150
M,73,168,257
M,68,157,180
M,71,164,172
M,67,160,186
M,73,188,152
F,64,135,237
M,72,224,192
F,67,150,299
M,72,171,174
M,69,145,167
M,73,206,198
M,74,167,185
M,72,191,206
M,69,192,186
M,69,175,226
F,64,155,349
M,72,155,187
F,65,171,329
M,68,155,179
M,68,173,236
M,70,199,178
M,73,203,175
M,68,149,147
F,63,137,234
M,71,170,160
M,72,185,152
F,66,140,195
F,69,136,231
M,68,171,166
M,73,180,167
M,67,142,147
M,66,124,149
F,64,121,202
M,66,158,200
M,71,169,165
M,72,182,229
M,70,180,181
M,69,173,179
M,70,157,183
M,68,154,163
F,65,133,356
M,74,213,173
F,66,138,250
M,67,160,185
F,62,127,256
M,71,185,153
M,71,178,179
M,68,138,193
M,72,150,184
F,65,155,278
M,72,192,146
F,66,138,274
M,71,158,175
F,64,140,211
F,66,151,288
M,74,175,159
M,69,191,164
M,70,184,165
M,72,163,177
M,69,169,174
M,69,210,170
M,72,178,250
M,69,154,186
M,70,191,164
M,69,185,193
M,70,177,161
F,65,114,201
F,63,118,213
F,64,135,212
M,68,154,170
F,63,123,248
F,60,122,278
M,67,150,188
M,67,207,184
M,69,175,153
M,71,184,173
M,68,168,206
F,64,168,629
M,73,230,234
M,72,188,157
M,72,264,185
M,68,154,182
M,75,211,208
M,72,196,207
M,68,144,195
M,65,177,207
M,67,179,191
M,69,199,219
M,71,194,155
M,71,134,181
M,71,185,180
M,70,198,186
M,72,163,167
M,68,180,178
M,67,151,180
M,67,149,157
M,68,166,190
M,73,185,159
M,74,215,170
F,65,126,262
F,63,140,311
M,68,187,196
M,73,170,183
M,72,235,278
F,66,137,254
M,68,172,199
F,69,168,206
M,73,190,186
M,70,192,176
M,72,174,166
F,63,147,489
F,64,120,234
M,70,155,173
M,75,176,157
M,71,200,220
M,65,154,151
F,67,157,281
M,68,160,159
M,69,200,193
M,72,165,181
M,71,198,154
M,73,161,184
M,73,162,191
F,66,151,276
M,70,187,175
M,65,153,139
M,75,241,239
F,69,132,207
M,68,184,241
F,62,137,310
M,68,149,180
M,73,215,196
M,72,200,160
M,73,187,171
F,60,124,276
M,76,218,179
M,70,189,205
M,70,166,152
M,69,181,312
M,68,152,190
M,74,201,183
F,64,129,224
M,68,130,215
M,70,199,146
M,72,202,230
M,75,220,159
F,64,134,225
F,72,166,258
M,72,175,158
M,70,205,185
M,70,186,163
M,69,179,184
M,68,155,169
F,68,164,271
F,65,142,292
M,72,142,157
M,68,216,244
M,70,190,201
M,74,162,169
M,73,163,166
F,62,128,360
M,74,170,178
M,67,172,251
M,73,179,170
F,69,150,279
M,65,148,197
F,67,136,440
M,70,184,188
M,71,152,170
F,65,137,244
F,64,153,304
F,69,153,232
M,70,152,157
M,76,194,159
M,68,175,160
M,69,161,168
F,64,129,190
M,71,207,212
M,71,151,167
F,62,116,227
M,71,193,182
M,69,175,172
F,62,117,266
M,70,174,178
M,68,148,157
M,70,184,155
M,67,156,146
M,67,142,186
F,65,166,300
F,68,155,223
M,69,150,195
F,67,134,231
M,72,174,168
M,71,176,158
M,68,153,163
F,61,135,278
M,69,185,191
M,71,191,171
F,67,169,277
M,70,170,167
