game_date,inning,outs_when_up,pitch_number,pitch_name,p_throws,description,events,launch_speed,launch_angle,hit_distance_sc,launch_speed_angle,zone,release_speed,release_spin_rate
2024-09-28,4,1,5,4-Seam Fastball,R,swinging_strike,strikeout,NA,NA,NA,NA,12,94.9,2165
2024-09-28,4,1,4,Changeup,R,ball,,NA,NA,NA,NA,13,86.5,1474
2024-09-28,4,1,3,4-Seam Fastball,R,foul,,68.2,-26,6,NA,4,94.7,2121
2024-09-28,4,1,2,Slider,R,ball,,NA,NA,NA,NA,3,87.5,2292
2024-09-28,4,1,1,Curveball,R,called_strike,,NA,NA,NA,NA,7,79.4,2726
2024-09-28,1,2,5,Sweeper,R,swinging_strike,strikeout,NA,NA,NA,NA,14,86.5,2304
2024-09-28,1,2,4,4-Seam Fastball,R,foul,,77.6,16,177,NA,11,99.5,2229
2024-09-28,1,2,3,4-Seam Fastball,R,ball,,NA,NA,NA,NA,12,100.7,2391
2024-09-28,1,2,2,Slider,R,called_strike,,NA,NA,NA,NA,6,87.1,2371
2024-09-28,1,2,1,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,12,100.8,2413
2024-09-28,6,1,6,4-Seam Fastball,R,foul_tip,strikeout,NA,NA,NA,NA,2,97.4,2295
2024-09-28,9,1,6,Sinker,L,swinging_strike,strikeout,NA,NA,NA,NA,12,100.6,2394
2024-09-28,6,1,5,4-Seam Fastball,R,swinging_strike,,NA,NA,NA,NA,2,97.2,2371
2024-09-28,9,1,5,4-Seam Fastball,L,foul,,86.4,56,232,NA,6,99.9,2526
2024-09-28,8,0,5,Sinker,R,called_strike,strikeout,NA,NA,NA,NA,8,94,2430
2024-09-28,8,0,4,4-Seam Fastball,R,foul,,NA,NA,NA,NA,4,94.5,2510
2024-09-28,9,1,4,Slider,L,ball,,NA,NA,NA,NA,14,89.7,2362
2024-09-28,6,1,4,Split-Finger,R,ball,,NA,NA,NA,NA,14,90.7,1795
2024-09-28,9,1,3,4-Seam Fastball,L,called_strike,,NA,NA,NA,NA,8,99.2,2560
2024-09-28,6,1,3,4-Seam Fastball,R,ball,,NA,NA,NA,NA,12,97.3,2409
2024-09-28,8,0,3,Slider,R,ball,,NA,NA,NA,NA,14,86.8,2594
2024-09-28,6,1,2,4-Seam Fastball,R,swinging_strike,,NA,NA,NA,NA,3,96.6,2395
2024-09-28,8,0,2,Slider,R,called_strike,,NA,NA,NA,NA,8,86.4,2568
2024-09-28,9,1,2,Slider,L,ball,,NA,NA,NA,NA,13,88.8,2325
2024-09-28,8,0,1,Cutter,R,foul,,81.4,63,168,NA,8,89,2618
2024-09-28,6,1,1,Curveball,R,ball,,NA,NA,NA,NA,13,75.6,2273
2024-09-28,9,1,1,4-Seam Fastball,L,ball,,NA,NA,NA,NA,12,99.7,2482
2024-09-26,4,0,6,Sweeper,R,blocked_ball,walk,NA,NA,NA,NA,14,86.8,3039
2024-09-26,4,0,5,Sinker,R,called_strike,,NA,NA,NA,NA,5,97.8,2609
2024-09-26,4,0,4,Cutter,R,ball,,NA,NA,NA,NA,14,94.9,2834
2024-09-26,4,0,3,Cutter,R,foul,,75.2,20,195,NA,5,93.1,2892
2024-09-26,4,0,2,Sinker,R,ball,,NA,NA,NA,NA,13,96.1,2528
2024-09-26,4,0,1,Sweeper,R,ball,,NA,NA,NA,NA,14,84.1,2993
2024-09-26,7,1,2,4-Seam Fastball,R,hit_into_play,home_run,110.9,42,394,6,5,96.2,2165
2024-09-26,7,1,1,Changeup,R,ball,,NA,NA,NA,NA,14,83.9,1927
2024-09-26,6,1,5,Sinker,R,ball,walk,NA,NA,NA,NA,13,95.4,2178
2024-09-26,6,1,4,Slider,R,ball,,NA,NA,NA,NA,14,88.5,2495
2024-09-26,1,2,6,Cutter,R,swinging_strike,strikeout,NA,NA,NA,NA,6,94.1,2936
2024-09-26,6,1,3,Slider,R,ball,,NA,NA,NA,NA,14,87.5,2504
2024-09-26,1,2,5,Sweeper,R,swinging_strike,,NA,NA,NA,NA,9,85.4,3141
2024-09-26,6,1,2,Changeup,R,swinging_strike,,NA,NA,NA,NA,7,91.1,1779
2024-09-26,1,2,4,Sinker,R,ball,,NA,NA,NA,NA,14,98.2,2616
2024-09-26,6,1,1,Sinker,R,ball,,NA,NA,NA,NA,14,96,2228
2024-09-26,1,2,3,Cutter,R,foul,,77.3,24,225,NA,5,94.1,2877
2024-09-26,1,2,2,Cutter,R,ball,,NA,NA,NA,NA,14,94.1,2899
2024-09-26,1,2,1,Cutter,R,ball,,NA,NA,NA,NA,14,94.7,2976
2024-09-25,5,2,7,Sinker,R,hit_into_play,single,113.3,7,165,5,6,92,1992
2024-09-25,5,2,6,Cutter,R,ball,,NA,NA,NA,NA,14,89.6,2047
2024-09-25,5,2,5,Cutter,R,foul,,78.9,60,194,NA,4,90.5,2124
2024-09-25,5,2,4,Changeup,R,ball,,NA,NA,NA,NA,14,88.5,1640
2024-09-25,5,2,3,Sweeper,R,ball,,NA,NA,NA,NA,14,82,2312
2024-09-25,5,2,2,Curveball,R,swinging_strike,,NA,NA,NA,NA,14,81.1,2490
2024-09-25,5,2,1,Curveball,R,foul,,110.7,28,370,NA,4,79.5,2289
2024-09-25,3,1,1,Sinker,R,hit_into_play,field_out,115.3,4,99,5,8,93.6,2072
2024-09-25,9,1,7,Sweeper,R,hit_into_play,home_run,112.7,33,412,6,7,84,2596
2024-09-25,9,1,6,Sweeper,R,foul,,80.1,63,204,NA,6,83.4,2518
2024-09-25,9,1,5,Sinker,R,ball,,NA,NA,NA,NA,14,92.8,2049
2024-09-25,9,1,4,Cutter,R,ball,,NA,NA,NA,NA,14,91,2110
2024-09-25,9,1,3,Sweeper,R,foul,,64.6,14,110,NA,6,82.9,2658
2024-09-25,9,1,2,Sweeper,R,swinging_strike,,NA,NA,NA,NA,8,83.4,2483
2024-09-25,9,1,1,Sweeper,R,ball,,NA,NA,NA,NA,14,84.4,2468
2024-09-25,1,1,5,Sweeper,R,ball,walk,NA,NA,NA,NA,14,79.8,2432
2024-09-25,1,1,4,Cutter,R,ball,,NA,NA,NA,NA,14,91.8,2234
2024-09-25,1,1,3,Sweeper,R,ball,,NA,NA,NA,NA,14,80.1,2414
2024-09-25,1,1,2,Sweeper,R,ball,,NA,NA,NA,NA,14,78.7,2492
2024-09-25,1,1,1,Cutter,R,foul,,87.4,47,268,NA,9,89.9,2112
