"League","Away_team","Home_team","Away_shots","Home_shots","Away_goals","Home_goals","goals_per_game","goals_per_48"
"NLL","Vancouver Warriors","San Diego Seals",38,53,8,7,15,12
"NLL","Saskatchewan Rush","Halifax Thunderbirds",50,54,11,12,23,18.4
"NLL","Panther City Lacrosse Club","Philadelphia Wings",40,47,11,12,23,18.4
"NLL","Albany FireWolves","Toronto Rock",43,53,9,10,19,15.2
"NLL","Colorado Mammoth","Georgia Swarm",52,59,16,11,27,21.6
"NLL","Rochester Knighthawks","New York Riptide",50,55,13,12,25,20
"NLL","Calgary Roughnecks","Buffalo Bandits",58,49,9,16,25,20
"NLL","Toronto Rock","Halifax Thunderbirds",52,42,7,11,18,14.4
"NLL","New York Riptide","Philadelphia Wings",48,53,12,14,26,20.8
"NLL","Vancouver Warriors","Panther City Lacrosse Club",42,55,14,8,22,17.6
"NLL","Buffalo Bandits","Rochester Knighthawks",54,56,12,8,20,16
"NLL","Calgary Roughnecks","Saskatchewan Rush",36,59,11,10,21,16.8
"NLL","San Diego Seals","Colorado Mammoth",49,37,13,4,17,13.6
"NLL","Georgia Swarm","New York Riptide",46,47,14,10,24,19.2
"NLL","Colorado Mammoth","Panther City Lacrosse Club",40,55,8,7,15,12
"NLL","San Diego Seals","Calgary Roughnecks",51,47,17,12,29,23.2
"NLL","Saskatchewan Rush","Vancouver Warriors",45,43,10,9,19,15.2
"NLL","Rochester Knighthawks","Albany FireWolves",52,49,16,7,23,18.4
"NLL","Philadelphia Wings","Toronto Rock",48,46,9,12,21,16.8
"NLL","Halifax Thunderbirds","Calgary Roughnecks",54,49,8,13,21,16.8
"NLL","San Diego Seals","Saskatchewan Rush",50,53,12,11,23,18.4
"NLL","New York Riptide","Colorado Mammoth",42,51,7,10,17,13.6
"NLL","Colorado Mammoth","Vancouver Warriors",52,54,18,15,33,26.4
"NLL","New York Riptide","Halifax Thunderbirds",48,61,10,13,23,18.4
"NLL","Saskatchewan Rush","Albany FireWolves",36,47,5,10,15,12
"NLL","Georgia Swarm","Philadelphia Wings",61,51,11,12,23,18.4
"NLL","Calgary Roughnecks","Rochester Knighthawks",50,47,7,15,22,17.6
"NLL","Toronto Rock","Buffalo Bandits",51,50,6,12,18,14.4
"NLL","Panther City Lacrosse Club","San Diego Seals",41,49,12,15,27,21.6
"NLL","Albany FireWolves","Philadelphia Wings",56,46,9,8,17,13.6
"NLL","Halifax Thunderbirds","Toronto Rock",48,65,14,13,27,21.6
