Team,draw_pctg,turnovers_per_game,sog_per_game,assists_per_game,caused_turnovers_per_game,clearing_pctg,draw_controls_per_game,fouls_per_game,free_position_pctg,ground_balls_per_game,points_per_game,save_pctg,goals_allowed_per_game,goals_per_game,shots_per_game,shot_pctg,win_pctg
Loyola Maryland (Patriot),0.69,12.77,23.09,7.86,6.27,0.87,17.36,17.45,0.445,11.32,22.73,0.512,7.09,14.86,30.82,0.482,0.864
Notre Dame (ACC),0.623,11.95,25.76,6.33,8.76,0.903,17.48,27.24,0.514,15.81,21.76,0.436,9.43,15.43,33.71,0.458,0.714
Richmond (Atlantic 10),0.617,13.86,25.1,7.48,8.52,0.897,18.71,12.38,0.484,16.67,24,0.363,10.43,16.52,35.81,0.461,0.81
Maryland (Big Ten),0.616,12.82,22.82,5.91,7.09,0.934,16.05,17.91,0.451,13.82,18.77,0.471,9.55,12.86,30.45,0.422,0.682
Denver (Big East),0.616,14.17,21.96,4.78,12.65,0.887,13.39,25.04,0.5,17.87,16.7,0.505,6.22,11.91,28.48,0.418,0.957
UMBC (America East),0.593,13.07,23.57,5.07,7.57,0.912,17.14,13.64,0.457,15.86,18.93,0.45,11.36,13.86,32.86,0.422,0.571
Duke (ACC),0.588,15.06,21.67,6.33,10.61,0.913,17,20.44,0.462,13.89,19.83,0.397,11.56,13.5,30.94,0.436,0.444
Mercer (Big South),0.586,13.55,26.75,5.8,12.3,0.898,16.9,12.4,0.518,16.95,22.2,0.422,9.4,16.4,33.35,0.492,0.85
Stony Brook (CAA),0.584,10.42,24.79,6.95,9,0.894,14.89,20.42,0.382,16.16,21.74,0.375,7.89,14.79,32.32,0.458,0.789
Jacksonville (ASUN),0.582,14.4,24.65,4.95,8.8,0.904,15.55,3.5,0.529,19.5,19,0.49,9.3,14.05,34.2,0.411,0.6
Delaware (CAA),0.576,19.19,19.12,4.94,9.5,0.877,15,16.31,0.486,16.44,15.62,0.432,11.75,10.69,27.38,0.39,0.5
Massachusetts (Atlantic 10),0.574,12.42,24.63,8.21,9.79,0.895,15.95,23,0.429,19.58,23.68,0.399,8.95,15.47,32.32,0.479,0.842
Northwestern (Big Ten),0.572,13.14,26,8.05,8.27,0.924,16.32,22.45,0.44,15.32,25,0.472,8.91,16.95,36.32,0.467,0.955
Fairfield (MAAC),0.57,17.05,23.26,7,11.47,0.856,14.16,20.21,0.462,19.89,20.42,0.46,8.53,13.42,31.74,0.423,0.737
Boston U. (Patriot),0.569,14.44,21.28,6.06,6.56,0.898,16,15.78,0.43,13.39,18.44,0.421,12.17,12.39,27.67,0.448,0.5
Marquette (Big East),0.567,15.63,26.26,8,8.53,0.845,17.79,22.11,0.462,17.42,23.95,0.399,11.95,15.95,35.63,0.448,0.789
Army West Point (Patriot),0.566,13,23.11,6.53,5.63,0.88,16,11.74,0.458,15.05,20.84,0.472,10.53,14.32,33.42,0.428,0.789
Yale (Ivy League),0.564,13.12,22.29,5.59,10.47,0.924,15.06,18.53,0.39,17.47,18.76,0.371,9.88,13.18,30.82,0.427,0.647
Clemson (ACC),0.563,13.17,23.39,7.67,8.33,0.91,15.44,22.5,0.529,14,23.22,0.48,8.72,15.56,30.61,0.508,0.667
