ADC,SUP,count
Other,Other,1952
Other,Blitzcrank,643
Other,Braum,441
Other,Leona,649
Other,Morgana,503
Other,Thresh,1035
Ashe,Other,407
Ashe,Blitzcrank,113
Ashe,Braum,75
Ashe,Leona,126
Ashe,Morgana,90
Ashe,Thresh,145
Caitlyn,Other,496
Caitlyn,Blitzcrank,139
Caitlyn,Braum,73
Caitlyn,Leona,154
Caitlyn,Morgana,98
Caitlyn,Thresh,199
Jinx,Other,974
Jinx,Blitzcrank,294
Jinx,Braum,178
Jinx,Leona,265
Jinx,Morgana,218
Jinx,Thresh,438
Tristana,Other,647
Tristana,Blitzcrank,177
Tristana,Braum,130
Tristana,Leona,194
Tristana,Morgana,138
Tristana,Thresh,238
Vayne,Other,1006
Vayne,Blitzcrank,256
Vayne,Braum,218
Vayne,Leona,251
Vayne,Morgana,206
Vayne,Thresh,394
