Rk,Tm,League,is_NL,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,?.500,<.500
1,Los Angeles Dodgers,NL,1,98,64,0.605,5.2,4.2,1,0,1,96-66,2,19-12,18-15,31-21,30-16,52-29,46-35,7-Sep,21-17,62-47,36-17,51-41,47-23
2,Philadelphia Phillies,NL,1,95,67,0.586,4.8,4.1,0.7,0,0.7,92-70,3,29-23,18-14,22-10,26-20,54-27,41-40,8-Aug,23-20,61-43,34-24,49-41,46-26
3,New York Yankees,AL,0,94,68,0.58,5,4.1,0.9,-0.1,0.8,96-66,-2,26-26,24-7,21-12,23-23,44-37,50-31,8-Aug,19-18,73-45,21-23,55-38,39-30
4,Milwaukee Brewers,NL,1,93,69,0.574,4.8,4,0.8,0,0.8,95-67,-2,15-15,32-20,15-19,31-15,47-34,46-35,9-Jun,28-25,69-45,24-24,52-41,41-28
5,San Diego Padres,NL,1,93,69,0.574,4.7,4.1,0.6,0,0.6,90-72,3,17-15,22-10,27-25,27-19,45-36,48-33,2-Oct,22-19,66-50,27-19,50-44,43-25
6,Cleveland Guardians,AL,0,92,69,0.571,4.4,3.9,0.5,-0.1,0.4,90-71,2,18-15,30-22,20-10,24-22,50-30,42-39,3-Oct,26-19,63-58,29-11,50-47,42-22
7,Baltimore Orioles,AL,0,91,71,0.562,4.9,4.3,0.5,-0.1,0.5,90-72,1,32-20,21-11,18-14,20-26,44-37,47-34,6-May,14-18,68-51,23-20,47-44,44-27
8,Atlanta Braves,NL,1,89,73,0.549,4.3,3.7,0.6,0,0.6,92-70,-3,28-24,13-17,17-17,31-15,46-35,43-38,5-Dec,18-25,60-56,29-17,52-41,37-32
9,Arizona Diamondbacks,NL,1,89,73,0.549,5.5,4.9,0.6,0,0.6,90-72,-1,18-15,19-12,28-24,24-22,44-37,45-36,8-May,26-20,61-44,28-29,45-48,44-25
10,New York Mets,NL,1,89,73,0.549,4.7,4.3,0.4,0,0.4,88-74,1,30-22,18-14,17-15,24-22,46-35,43-38,8-Aug,28-16,65-51,24-22,47-46,42-27
11,Houston Astros,AL,0,88,73,0.547,4.6,4,0.6,-0.1,0.4,90-71,-2,19-14,18-12,29-23,22-24,46-35,42-38,10-Jun,18-27,63-52,25-21,41-43,47-30
12,Kansas City Royals,AL,0,86,76,0.531,4.5,4,0.6,-0.1,0.5,91-71,-5,14-18,33-19,16-16,23-23,45-36,41-40,5-Mar,17-21,70-55,16-21,45-54,41-22
13,Detroit Tigers,AL,0,86,76,0.531,4.2,4,0.2,-0.1,0.2,85-77,1,20-12,28-24,16-16,22-24,43-38,43-38,9-Oct,31-24,65-64,21-12,47-50,39-26
14,Seattle Mariners,AL,0,85,77,0.525,4.2,3.7,0.4,-0.1,0.3,89-73,-4,13-19,14-18,32-20,26-20,49-32,36-45,8-Sep,27-28,61-55,24-22,40-46,45-31
15,St. Louis Cardinals,NL,1,83,79,0.512,4.1,4.4,-0.3,0.1,-0.2,76-86,7,15-16,26-26,18-15,24-22,44-37,39-42,9-Aug,29-22,59-59,24-20,44-48,39-31
16,Chicago Cubs,NL,1,83,79,0.512,4.5,4.1,0.4,0,0.4,88-74,-5,17-16,23-29,16-15,27-19,44-37,39-42,5-Jul,23-28,69-59,14-20,43-47,40-32
17,Minnesota Twins,AL,0,82,80,0.506,4.6,4.5,0,-0.1,0,82-80,0,21-Oct,29-23,25-8,18-28,43-38,39-42,9-May,22-20,61-55,21-25,39-59,43-21
18,Boston Red Sox,AL,0,81,81,0.5,4.6,4.6,0,0,0,81-81,0,25-27,16-17,19-12,21-25,38-43,43-38,10-Oct,18-13,64-55,17-26,37-56,44-25
19,Tampa Bay Rays,AL,0,80,82,0.494,3.7,4.1,-0.4,0,-0.4,74-88,6,26-26,14-18,14-18,26-20,42-39,38-43,5-Aug,30-22,61-64,19-18,47-57,33-25
20,San Francisco Giants,NL,1,80,82,0.494,4.3,4.3,0,0.1,0,80-82,0,16-17,15-16,26-26,23-23,42-39,38-43,9-Jul,24-24,61-57,19-25,46-59,34-23
21,Texas Rangers,AL,0,78,84,0.481,4.2,4.6,-0.3,-0.1,-0.4,75-87,3,14-17,20-13,25-27,19-27,44-37,34-47,2-Sep,26-20,60-62,18-22,39-60,39-24
22,Cincinnati Reds,NL,1,77,85,0.475,4.3,4.3,0,0.1,0.1,82-80,-5,17-15,24-28,15-17,21-25,39-42,38-43,5-May,15-28,61-59,16-26,46-59,31-26
23,Pittsburgh Pirates,NL,1,76,86,0.469,4.1,4.6,-0.5,0.1,-0.4,73-89,3,20-14,25-27,20-Oct,21-25,39-42,37-44,8-Jul,25-26,52-63,24-23,44-61,32-25
24,Toronto Blue Jays,AL,0,74,88,0.457,4.1,4.6,-0.4,0,-0.4,73-89,1,21-31,13-19,20-12,20-26,39-42,35-46,5-May,19-30,60-66,14-22,43-63,31-25
25,Washington Nationals,NL,1,71,91,0.438,4.1,4.7,-0.6,0.1,-0.6,70-92,1,25-27,15-18,21-Oct,21-25,38-43,33-48,12-May,14-23,51-63,20-28,38-67,33-24
26,Oakland Athletics,AL,0,69,93,0.426,4,4.7,-0.7,0,-0.8,68-94,1,20-Dec,22-Oct,23-29,24-22,38-43,31-50,10-May,28-26,49-74,20-19,33-65,36-28
27,Los Angeles Angels,AL,0,63,99,0.389,3.9,4.9,-1,0,-1,64-98,-1,22-Oct,22-Oct,21-31,22-24,32-49,31-50,8-Apr,22-26,49-79,14-20,40-58,23-41
28,Miami Marlins,NL,1,62,100,0.383,3.9,5.2,-1.3,0.1,-1.1,61-101,1,18-34,21-Dec,13-18,19-27,30-51,32-49,9-Oct,23-20,51-55,Nov-45,42-61,20-39
29,Colorado Rockies,NL,1,61,101,0.377,4.2,5.7,-1.5,0.2,-1.3,59-103,2,20-Nov,21-Dec,18-34,20-26,37-44,24-57,4-Aug,26-21,46-69,15-32,42-63,19-38
30,Chicago White Sox,AL,0,41,121,0.253,3.1,5,-1.9,0.1,-1.8,48-114,-7,22-Oct,Oct-42,22-Oct,Nov-35,23-58,18-63,10-Apr,13-29,30-92,29-Nov,23-90,18-31
