date,event,arena,city,fighter1,fighter2,result_type,judge1,judge1_score1,judge1_score2,judge2,judge2_score1,judge2_score2,judge3,judge3_score1,judge3_score2,winner,winner2,judge1_margin,judge2_margin,judge3_margin,judge1_perc,judge2_perc,judge3_perc,rounds,judge1_dev,judge2_dev,judge3_dev,judge1_out,judge2_out,judge3_out,agreement
2001-05-04,UFC 31: Locked & Loaded,Trump Taj Mahal Casino Resort,"Atlantic City, New Jersey, USA",DeSouza,Berger,Unanimous,Andujar,30,27,Crosby,29,28,Depasquale Jr.,29,28,DeSouza,fighter1,3,1,1,-11.11%,-3.57%,-3.57%,3,2,1,1,fighter1,fighter1,fighter1,Agree
2001-06-29,UFC 32: Showdown in the Meadowlands,Continental Airlines Arena,"East Rutherford, New Jersey, USA",Kondo,Matyushenko,Unanimous,Andujar,27,30,Crosby,26,30,Mullinax,27,30,Matyushenko,fighter2,-3,-4,-3,10.00%,13.33%,10.00%,3,0.5,1,0.5,fighter2,fighter2,fighter2,Agree
2001-09-28,UFC 33: Victory in Vegas,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Matyushenko,Ortiz,Unanimous,Crosby,43,50,Hamilton,44,50,Mullen,44,50,Ortiz,fighter2,-7,-6,-6,14.00%,12.00%,12.00%,5,1,0.5,0.5,fighter2,fighter2,fighter2,Agree
2001-09-28,UFC 33: Victory in Vegas,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Hallman,Pulver,Unanimous,Crosby,47,49,Mullen,47,48,Peoples,47,48,Pulver,fighter2,-2,-1,-1,4.08%,2.08%,2.08%,5,1,0.5,0.5,fighter2,fighter2,fighter2,Agree
2001-09-28,UFC 33: Victory in Vegas,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Bustamante,Liddell,Unanimous,Crosby,28,29,Schorle,27,29,Weeks,27,29,Liddell,fighter2,-1,-2,-2,3.45%,6.90%,6.90%,3,1,0.5,0.5,fighter2,fighter2,fighter2,Agree
2001-09-28,UFC 33: Victory in Vegas,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Iha,Thomas,Unanimous,Mullen,28,29,Schorle,27,29,Weeks,28,29,Thomas,fighter2,-1,-2,-1,3.45%,6.90%,3.45%,3,0.5,1,0.5,fighter2,fighter2,fighter2,Agree
2001-09-28,UFC 33: Victory in Vegas,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Serra,Edwards,Majority,Hamilton,30,26,Mullen,30,27,Weeks,29,29,Serra,fighter1,4,3,0,-15.38%,-11.11%,0.00%,3,2.5,1,3.5,fighter1,fighter1,draw,judge3
2001-09-28,UFC 33: Victory in Vegas,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Menne,Castillo,Unanimous,Crosby,49,43,Mullen,49,44,Weeks,49,45,Menne,fighter1,6,5,4,-13.95%,-11.36%,-8.89%,5,1.5,0,1.5,fighter1,fighter1,fighter1,Agree
2001-11-02,UFC 34: High Voltage,MGM Grand Arena,"Las Vegas, Nevada, USA",Baroni,Lindland,Majority,Hamilton,28,29,Peoples,27,29,Rosales,28,28,Lindland,fighter2,-1,-2,0,3.45%,6.90%,0.00%,3,0,1.5,1.5,fighter2,fighter2,draw,judge3
2002-01-11,UFC 35: Throwdown,Mohegan Sun Arena,"Uncasville, Connecticut, USA",Penn,Pulver,Majority,Crosby,45,48,Mullen,47,47,Mullinax,47,48,Pulver,fighter2,-3,0,-1,6.25%,0.00%,2.08%,5,2.5,2,0.5,fighter2,draw,fighter2,judge2
