player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg
Precious Achiuwa,C,22,TOR,73,28,1725,7.7,17.5,0.439,1.6,4.5,0.359,6.1,13,0.468,2.3,3.8,0.595,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,105,110
Steven Adams,C,28,MEM,76,75,1999,5,9.2,0.547,0,0,0,5,9.2,0.548,2.6,4.8,0.543,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,125,108
Bam Adebayo,C,24,MIA,56,56,1825,11.1,20,0.557,0,0.2,0,11.1,19.8,0.562,7,9.3,0.753,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,117,104
Santi Aldama,PF,21,MEM,32,0,360,7,17.5,0.402,0.8,6.4,0.125,6.2,11.2,0.56,2.7,4.3,0.625,4.4,7.2,11.6,2.8,0.8,1.3,2.1,4.8,17.5,101,111
LaMarcus Aldridge,C,36,BRK,47,12,1050,11.6,21.1,0.55,0.6,2.1,0.304,11,19,0.578,4.1,4.7,0.873,3.4,8.5,11.9,1.9,0.6,2.2,2,3.6,28,119,112
Nickeil Alexander-Walker,SG,23,TOT,65,21,1466,8.5,22.9,0.372,3.5,11.4,0.311,5,11.5,0.433,2.7,3.7,0.743,1.2,5.1,6.3,5.3,1.5,0.8,3.1,3.5,23.3,98,114
Nickeil Alexander-Walker,SG,23,NOP,50,19,1317,8.9,23.7,0.375,3.6,11.4,0.311,5.3,12.3,0.434,2.6,3.6,0.722,1.3,4.8,6.1,5.2,1.5,0.7,3.2,3.3,23.9,97,115
Nickeil Alexander-Walker,SG,23,UTA,15,2,149,5.3,15.9,0.333,3.3,10.9,0.303,2,5,0.4,3.6,4,0.917,0.3,7.3,7.6,5.6,1.7,1.3,2.7,5,17.6,105,110
Grayson Allen,SG,26,MIL,66,61,1805,6.8,15.1,0.448,4.2,10.4,0.409,2.6,4.8,0.533,1.7,2,0.865,0.9,5.1,5.9,2.7,1.2,0.5,1.1,2.6,19.5,122,114
Jarrett Allen,C,23,CLE,56,56,1809,10.2,15,0.677,0,0.3,0.1,10.2,14.8,0.688,4.6,6.4,0.708,5.3,11.3,16.6,2.5,1.2,2.1,2.6,2.7,25,132,106
Jose Alvarado,PG,23,NOP,54,1,834,7.8,17.4,0.446,1.9,6.5,0.291,5.9,10.9,0.538,2.1,3.1,0.679,1.5,4.4,5.9,9,4.2,0.4,2.4,4.3,19.5,114,109
Justin Anderson,SF,28,TOT,16,6,316,5.6,14.8,0.379,2.3,9.2,0.254,3.3,5.6,0.583,2.3,3,0.789,0.6,6.5,7.1,5.1,1.2,0.9,1.2,3.4,15.9,109,116
Justin Anderson,SF,28,CLE,3,0,47,4.3,8.5,0.5,2.1,6.4,0.333,2.1,2.1,1,3.2,4.3,0.75,0,6.4,6.4,6.4,1.1,0,2.1,4.3,13.8,126,112
Justin Anderson,SF,28,IND,13,6,269,5.8,15.8,0.368,2.4,9.6,0.245,3.5,6.2,0.559,2.2,2.7,0.8,0.7,6.6,7.3,4.9,1.3,1.1,1.1,3.3,16.2,107,117
Kyle Anderson,PF,28,MEM,69,11,1484,6.7,15.1,0.446,1.2,3.5,0.33,5.6,11.6,0.481,2.2,3.4,0.638,2.2,9.6,11.9,5.9,2.5,1.5,2.3,3.5,16.8,110,106
Giannis Antetokounmpo,PF,27,MIL,67,67,2204,15,27.1,0.553,1.5,5.3,0.293,13.5,21.9,0.616,12.1,16.7,0.722,2.9,14,17,8.5,1.6,2,4.8,4.6,43.6,124,106
Thanasis Antetokounmpo,SF,29,MIL,48,6,473,7.1,13,0.547,0.2,1.4,0.143,6.9,11.6,0.596,2.9,4.7,0.63,4.1,6.2,10.3,2.2,1.6,1.2,2.6,6.9,17.4,113,112
Carmelo Anthony,PF,37,LAL,69,3,1793,8.5,19.3,0.441,4,10.6,0.375,4.5,8.7,0.521,3.5,4.3,0.83,1.7,6,7.7,1.8,1.3,1.4,1.6,4.4,24.6,114,114
Cole Anthony,PG,21,ORL,65,65,2059,8.4,21.4,0.391,3.1,9.2,0.338,5.3,12.2,0.432,5.1,5.9,0.854,0.8,7.4,8.2,8.7,1.1,0.4,4,4,24.9,103,114
