pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round
1,BRK,Derrick Coleman,Syracuse,15,781,25903,12884,7232,1985,0.447,0.295,0.769,64.3,0.119,1990,33.2,16.5,9.3,2.5,1,1
2,OKC,Gary Payton,Oregon State,17,1335,47117,21813,5269,8966,0.466,0.317,0.729,145.5,0.148,1990,35.3,16.3,3.9,6.7,1,2
3,DEN,Mahmoud Abdul-Rauf,LSU,9,586,15628,8553,1087,2079,0.442,0.354,0.905,25.2,0.077,1990,26.7,14.6,1.9,3.5,1,3
4,ORL,Dennis Scott,Georgia Tech,10,629,17983,8094,1774,1296,0.417,0.397,0.793,33.4,0.089,1990,28.6,12.9,2.8,2.1,1,4
5,CHA,Kendall Gill,Illinois,15,966,29481,12914,4002,2945,0.434,0.3,0.754,47.8,0.078,1990,30.5,13.4,4.1,3,1,5
6,MIN,Felton Spencer,Louisville,12,640,12298,3354,3436,213,0.484,0,0.658,20.9,0.081,1990,19.2,5.2,5.4,0.3,1,6
7,SAC,Lionel Simmons,La Salle,7,454,13472,5833,2833,1498,0.433,0.305,0.771,16.9,0.06,1990,29.7,12.8,6.2,3.3,1,7
8,LAC,Bo Kimble,Loyola Marymount,3,105,1336,574,162,98,0.386,0.291,0.728,0.1,0.004,1990,12.7,5.5,1.5,0.9,1,8
9,MIA,Willie Burton,Minnesota,8,316,6666,3243,932,393,0.424,0.345,0.786,9.1,0.065,1990,21.1,10.3,2.9,1.2,1,9
10,ATL,Rumeal Robinson,Michigan,6,336,6098,2546,606,1179,0.432,0.344,0.611,5.2,0.041,1990,18.1,7.6,1.8,3.5,1,10
11,GSW,Tyrone Hill,Xavier,14,801,22388,7532,6854,647,0.502,0,0.643,56.2,0.12,1990,28,9.4,8.6,0.8,1,11
12,HOU,Alec Kessler,Georgia,4,210,2937,1084,751,81,0.426,0.417,0.744,2,0.033,1990,14,5.2,3.6,0.4,1,12
