player,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent
Mikal Bridges,82,3036,23.6,1.2,3.1,4.2,5,1.2,0.7,117,118,0.57,0.814
Josh Hart,77,2897,18,2.8,9.9,12.6,7.8,2,0.5,125,112,0.579,0.776
Anthony Edwards,79,2871,37.4,1,6.7,7.7,6.2,1.6,0.9,115,112,0.547,0.837
Devin Booker,75,2795,34,1.3,4.1,5.4,9.4,1.2,0.3,119,123,0.525,0.894
James Harden,79,2789,31.8,1,7.1,8.1,12.1,2.1,1,114,110,0.501,0.874
DeMar DeRozan,77,2768,30.2,0.9,4.4,5.3,6,1.1,0.6,120,119,0.509,0.857
Trae Young,76,2739,31.4,0.6,3.4,4,15,1.6,0.2,114,119,0.491,0.875
Tyler Herro,77,2725,33.7,0.6,6.7,7.3,7.8,1.3,0.3,117,115,0.563,0.878
OG Anunoby,74,2706,24.4,1.8,4.8,6.6,3,2,1.2,118,114,0.559,0.81
Jalen Green,82,2697,31.1,0.8,6,6.8,5.1,1.3,0.5,110,113,0.505,0.813
Christian Braun,79,2675,21.9,1.8,5.6,7.4,3.7,1.5,0.7,133,118,0.634,0.827
Bam Adebayo,78,2674,26.3,3.5,10.5,14,6.3,1.8,1,115,110,0.521,0.765
Ivica Zubac,80,2624,25.1,5.6,13.3,19,4,1,1.7,129,108,0.628,0.661
Jayson Tatum,72,2624,36.9,0.9,11,11.9,8.2,1.5,0.7,117,110,0.537,0.814
Jaden McDaniels,82,2614,18.9,2.4,6.4,8.9,3.1,2.1,1.4,115,110,0.537,0.813
Keegan Murray,76,2610,17.7,2.7,6.8,9.5,2,1.1,1.3,116,117,0.538,0.833
Zach LaVine,74,2602,31.6,0.4,5.4,5.8,5.7,1.1,0.2,116,119,0.609,0.825
Zach LaVine,42,1432,32.8,0.4,6.2,6.6,6.2,1.3,0.3,115,117,0.607,0.797
Zach LaVine,32,1170,30,0.4,4.3,4.7,5.1,0.8,0.1,117,121,0.611,0.874
Shai Gilgeous-Alexander,76,2598,45.9,1.2,5.8,7,9,2.4,1.4,129,107,0.569,0.898
Michael Porter Jr.,77,2593,25.9,2.6,7.5,10,3.1,0.9,0.7,122,118,0.596,0.768
