player,g,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Mikal Bridges,82,.500,14.7,.609,.391,.594,.354,.025
Josh Hart,77,.525,11.3,.673,.327,.618,.333,.030
Anthony Edwards,79,.447,16.9,.497,.503,.501,.395,.039
Devin Booker,75,.461,16.2,.612,.388,.542,.332,.013
James Harden,79,.410,17.3,.484,.516,.472,.352,.003
DeMar DeRozan,77,.477,15.3,.804,.196,.513,.328,.006
Trae Young,76,.411,17.3,.533,.467,.474,.340,.001
Tyler Herro,77,.472,16.7,.514,.486,.565,.375,.008
OG Anunoby,74,.476,13.5,.552,.448,.561,.372,.140
Jalen Green,82,.423,16.3,.540,.460,.482,.354,.046
Christian Braun,79,.580,9.9,.727,.273,.648,.397,.124
Bam Adebayo,78,.485,11.4,.801,.199,.517,.357,.123
Ivica Zubac,80,.628,4.4,1.000,.000,.628,,.203
Jayson Tatum,72,.452,17.1,.503,.497,.559,.343,.059
Jaden McDaniels,82,.477,12.8,.637,.363,.561,.330,.074
Keegan Murray,76,.444,17.2,.452,.548,.566,.343,.087
Zach LaVine,74,.511,15.9,.562,.438,.562,.446,.060
Zach LaVine,42,.511,15.5,.570,.430,.560,.446,.068
Zach LaVine,32,.511,16.3,.550,.450,.564,.446,.049
Shai Gilgeous-Alexander,76,.519,12.9,.737,.263,.571,.375,.028
Michael Porter Jr.,77,.504,15.9,.533,.467,.599,.395,.096
Derrick White,76,.442,20.7,.279,.721,.593,.384,.009
Dyson Daniels,76,.493,10.4,.745,.255,.545,.340,.054
Nikola Jokić,70,.576,11.5,.757,.243,.627,.417,.019
Austin Reaves,73,.460,17.1,.488,.512,.547,.377,.007
Toumani Camara,78,.458,14.0,.497,.503,.542,.375,.084
Pascal Siakam,78,.519,12.4,.726,.274,.568,.389,.041
Brook Lopez,80,.509,16.0,.518,.482,.636,.373,.071
Karl-Anthony Towns,72,.526,10.8,.722,.278,.567,.420,.071
Bub Carrington,82,.401,19.1,.456,.544,.475,.339,.027
Cade Cunningham,70,.469,12.6,.713,.287,.515,.356,.033
Tyrese Haliburton,73,.473,19.3,.441,.559,.581,.388,.024
Coby White,74,.453,16.6,.479,.521,.544,.370,.010
LeBron James,70,.513,13.4,.688,.312,.574,.376,.056
Domantas Sabonis,70,.590,8.1,.825,.175,.627,.417,.097
Jamal Murray,67,.474,15.6,.646,.354,.518,.393,.012
Alperen Şengün,76,.496,7.5,.921,.079,.519,.233,.067
Dillon Brooks,75,.429,17.3,.476,.524,.465,.397,.019
Rudy Gobert,72,.669,2.4,1.000,.000,.669,,.494
Tobias Harris,73,.477,13.1,.672,.328,.542,.345,.075
Darius Garland,75,.472,16.3,.549,.451,.530,.401,.002
Jalen Brunson,65,.488,14.2,.669,.331,.539,.383,.000
Jarrett Allen,82,.706,3.6,.992,.008,.712,.000,.272
Chris Paul,82,.427,21.2,.364,.636,.514,.377,.000
Anfernee Simons,70,.426,17.9,.473,.527,.496,.363,.014
Giannis Antetokounmpo,67,.601,7.0,.952,.048,.620,.222,.205
Malik Beasley,82,.430,20.8,.285,.715,.466,.416,.022
Kentavious Caldwell-Pope,77,.439,19.3,.393,.607,.589,.342,.029
Nikola Vučević,73,.530,12.5,.691,.309,.587,.402,.012
Payton Pritchard,80,.472,21.3,.277,.723,.642,.407,.000
Kevin Durant,62,.527,15.5,.669,.331,.574,.430,.041
Shaedon Sharpe,72,.452,15.7,.572,.428,.557,.311,.070
Stephen Curry,70,.448,20.0,.377,.623,.534,.397,.001
De'Aaron Fox,62,.463,14.4,.672,.328,.538,.310,.019
De'Aaron Fox,45,.469,14.3,.676,.324,.539,.322,.017
De'Aaron Fox,17,.446,14.5,.661,.339,.535,.274,.025
Jalen Williams,69,.484,13.3,.709,.291,.533,.365,.069
Donovan Mitchell,71,.443,17.0,.520,.480,.512,.368,.014
Harrison Barnes,82,.508,14.8,.473,.527,.591,.433,.042
Julius Randle,69,.485,12.4,.666,.334,.555,.344,.052
Amen Thompson,69,.557,7.8,.869,.131,.599,.275,.212
Jaren Jackson Jr.,74,.488,13.1,.679,.321,.541,.375,.029
Desmond Bane,69,.484,14.7,.589,.411,.548,.392,.005
Naz Reid,80,.462,15.4,.499,.501,.544,.379,.034
Tyus Jones,81,.448,18.3,.413,.587,.496,.414,.000
Myles Turner,72,.481,16.2,.514,.486,.561,.396,.090
Evan Mobley,71,.557,9.4,.746,.254,.621,.370,.220
Taurean Prince,80,.457,18.0,.348,.652,.492,.439,.018
Stephon Castle,81,.428,12.6,.663,.337,.501,.285,.078
Deni Avdija,72,.476,12.9,.595,.405,.552,.365,.027
Jaylen Brown,63,.463,13.4,.680,.320,.529,.324,.045
Tim Hardaway Jr.,77,.406,20.2,.328,.672,.484,.368,.016
Bennedict Mathurin,72,.458,13.2,.662,.338,.519,.340,.049
Spencer Dinwiddie,79,.416,15.9,.522,.478,.492,.334,.012
Scottie Barnes,65,.446,12.6,.737,.263,.508,.271,.066
Max Christie,78,.427,16.9,.468,.532,.496,.366,.053
Max Christie,46,.444,16.7,.434,.566,.544,.368,.087
Max Christie,32,.411,17.2,.500,.500,.457,.364,.020
Josh Giddey,70,.465,12.3,.652,.348,.512,.378,.013
Fred VanVleet,60,.378,20.2,.393,.607,.430,.345,.000
Keyonte George,67,.391,17.6,.448,.552,.449,.343,.015
Dennis Schröder,75,.406,16.7,.551,.449,.458,.342,.000
Dennis Schröder,23,.452,15.9,.538,.462,.509,.387,.000
Dennis Schröder,24,.375,18.2,.542,.458,.419,.322,.000
Dennis Schröder,28,.378,16.0,.578,.422,.434,.302,.000
Damian Lillard,58,.448,18.5,.472,.528,.528,.376,.005
Russell Westbrook,75,.449,12.3,.650,.350,.517,.323,.032
Kelly Oubre Jr.,60,.470,11.3,.673,.327,.555,.293,.097
Nickeil Alexander-Walker,82,.438,17.5,.399,.601,.524,.381,.019
Luguentz Dort,71,.435,19.5,.304,.696,.489,.412,.032
Onyeka Okongwu,74,.567,7.9,.784,.216,.634,.324,.145
Malik Monk,65,.439,16.0,.544,.456,.534,.325,.036
Jaylen Wells,79,.425,17.4,.420,.580,.525,.352,.036
Jalen Duren,78,.692,2.5,1.000,.000,.692,,.441
Jalen Wilson,79,.397,16.9,.416,.584,.481,.337,.002
Miles Bridges,64,.431,13.8,.587,.413,.513,.313,.058
