name,height,wingspan,wingspan_advantage
AJ Griffin | SF,"6'5.5""","6'11.5""",6
AJ JohnsonWAS | SG,"6'4.25""","6'8.5""",4.25
Aaron GordonDEN | PF,"6'7.5""","6'11.75""",4.25
Aaron HolidayHOU | PG,"5'11.75""","6'7.5""",7.75
Aaron NesmithIND | SF,"6'5""","6'10""",5
Aaron WigginsOKC | SG,"6'4.5""","6'9.75""",5.25
Adem BonaPHI | C,"6'8.25""","7'3.75""",7.5
Ajay MitchellOKC | SG,"6'3.25""","6'6.25""",3
Al HorfordBOS | C,"6'8""","7'0.75""",4.75
Alec BurksMIA | SG,"6'5""","6'10""",5
Aleksej Pokusevski | PF,"6'11.5""","7'3""",3.5
Alex CarusoOKC | PG,"6'4""","6'6""",2
Alex LenLAL | C,"6'11.5""","7'3.5""",4
Alex SarrWAS | PF,"6'11.75""","7'4.25""",4.5
Alperen SengunHOU | C,"6'10""","7'0.5""",2.5
Amen ThompsonHOU | SF,"6'5.75""","7'0""",6.25
Amir CoffeyLAC | SF,"6'6.75""","6'7.25""",0.5
Andre DrummondPHI | C,"6'9.75""","7'6.25""",8.5
Andre Jackson Jr.MIL | SF,"6'5.5""","6'9.75""",4.25
Andrew NembhardIND | PG,"6'3""","6'5.75""",2.75
Andrew WigginsMIA | SF,"6'7""","7'0""",5
Anfernee SimonsPOR | PG,"6'2.25""","6'9.25""",7
Anthony BlackORL | PG,"6'5.75""","6'7.5""",1.75
Anthony DavisDAL | C,"6'9.25""","7'5.5""",8.25
Anthony EdwardsMIN | SG,"6'3""","6'9""",6
Anthony GillWAS | PF,"6'7.5""","6'11""",3.5
Anton WatsonNYK | PF,"6'7""","7'0""",5
Ausar ThompsonDET | SF,"6'5.75""","7'0""",6.25
Austin ReavesLAL | SG,"6'4.5""","6'6.25""",1.75
Ayo DosunmuCHI | SG,"6'3.5""","6'10.25""",6.75
Bam AdebayoMIA | C,"6'8.75""","7'2.75""",6
Baylor ScheiermanBOS | SG,"6'6.25""","6'8.25""",2
Ben SheppardIND | SG,"6'5.25""","6'7.75""",2.5
Ben SimmonsLAC | PF,"6'9""","7'0.5""",3.5
Bennedict MathurinIND | SF,"6'4.5""","6'9""",4.5
Bilal CoulibalyWAS | SF,"6'6""","7'2.5""",9
Blake WesleySAS | PG,"6'3""","6'9.25""",6.25
Boban Marjanovic | C,"7'4""","7'10""",6
Bobby PortisMIL | PF,"6'9.5""","7'2""",4.5
Bobi KlintmanDET | SF,"6'8.75""","6'11""",2.25
Bogdan BogdanovićLAC | SG,"6'5.5""","6'11""",5.5
Bol BolPHX | C,"7'0.75""","7'7""",6.25
Bones HylandMIN | PG,"6'2""","6'9.5""",7.5
Bradley BealPHX | SG,"6'3.25""","6'8""",4.75
Brandin PodziemskiGSW | SG,"6'3.75""","6'5.5""",1.75
Brandon Boston Jr.NOP | SG,"6'5.75""","6'10.75""",5
Brandon ClarkeMEM | PF,"6'7.25""","6'8.25""",1
Brandon IngramTOR | SF,"6'7""","7'3""",8
Brandon MillerCHA | SF,"6'9""","6'11.5""",3
Brice SensabaughUTA | SF,"6'6""","6'11""",5
Bronny JamesLAL | PG,"6'1.5""","6'7.25""",5.75
Brook LopezMIL | C,"6'11.25""","7'5.5""",6.25
Bruce BrownNOP | SG,"6'3.25""","6'9""",5.75
Bruno Fernando | C,"6'8.75""","7'3.25""",6.5
Bryce McGowensPOR | SG,"6'5.25""","6'8.75""",3.5
Bub CarringtonWAS | SG,"6'3.75""","6'8""",4.25
Buddy HieldGSW | SG,"6'3.75""","6'9.25""",5.5
CJ McCollumNOP | SG,"6'2.25""","6'6.25""",4
Cade CunninghamDET | SG,"6'6""","7'0.25""",6.25
Caleb HoustanORL | SG,"6'7.5""","6'11""",3.5
Caleb MartinDAL | SF,"6'4""","6'10.25""",6.25
Cam ChristieLAC | SG,"6'4.5""","6'8""",3.5
Cam ReddishLAL | SF,"6'6.5""","7'0.5""",6
Cam SpencerMEM | SG,"6'3""","6'5""",2
Cam ThomasBKN | SG,"6'3""","6'6.5""",3.5
Cam WhitmoreHOU | SF,"6'5.75""","6'8.5""",2.75
Cameron JohnsonBKN | PF,"6'7""","6'10""",3
Cameron PayneNYK | PG,"6'0.75""","6'7.25""",6.5
Caris LeVertATL | SF,"6'5.75""","6'10""",4.25
Cason WallaceOKC | PG,"6'2.5""","6'8.5""",6
Cedi Osman | SF,"6'7""","6'11""",4
Charles BasseySAS | C,"6'9""","7'3.5""",7
Charles Bediako | C,"7'0""","7'3""",3
Chet HolmgrenOKC | C,"7'0""","7'6""",6
Chimezie Metu | C,"6'8""","7'0.5""",4.5
Chris BoucherTOR | C,"6'8""","7'4""",8
Chris Duarte | SG,"6'5""","6'7""",2
Chris PaulSAS | PG,"6'1""","6'4""",3
Christian BraunDEN | SF,"6'5.5""","6'6.5""",1
Christian KolokoLAL | C,"6'10.75""","7'5.25""",6.5
Christian Wood | PF,"6'9.25""","7'3.25""",6
Chuma Okeke | PF,"6'7""","7'0""",5
Clint CapelaATL | C,"6'10""","7'4.5""",6.5
Coby WhiteCHI | PG,"6'3.5""","6'5""",1.5
Cody MartinPHX | SF,"6'4.75""","6'10.25""",5.5
Cody WilliamsUTA | SF,"6'6.5""","7'1""",6.5
Colby JonesWAS | SG,"6'4.5""","6'8""",3.5
Cole AnthonyORL | PG,"6'2""","6'4.5""",2.5
Cole SwiderTOR | PF,"6'9""","6'11""",2
Colin Castleton | C,"6'11""","7'3.5""",5
Collin SextonUTA | PG,"6'0.5""","6'7.25""",6.75
Corey KispertWAS | SF,"6'6""","6'7""",1
Cory JosephORL | PG,"6'2""","6'5.5""",3.5
Craig Porter Jr.CLE | PG,"6'1""","6'4""",3
D'Angelo RussellBKN | PG,"6'3.25""","6'9.75""",6.5
Dalano BantonPOR | SG,"6'9""","6'10.25""",1.25
Dalen TerryCHI | SG,"6'6""","7'0.75""",6.75
Dalton KnechtLAL | SF,"6'5.25""","6'9""",3.75
Damian Jones | C,"6'10.25""","7'3.75""",5.5
Damian LillardMIL | PG,"6'1.75""","6'7.75""",6
Daniel GaffordDAL | C,"6'9.25""","7'2.5""",5.25
Danilo Gallinari | PF,"6'10""","7'1""",3
Danny Green | SG,"6'5.25""","6'10""",4.75
Dante' Exum | SG,"6'5""","6'9""",4
Dante ExumDAL | SG,"6'5""","6'9""",4
Danuel House Jr. | SF,"6'6""","6'8""",2
