Year,Rank,Team,Vault,Bar,Beam,Floor,Total
2008,1,Georgia,49.225,49.375,49.375,49.475,197.45
2008,2,Utah,49.4,49.35,49.1,49.275,197.125
2008,3,Stanford,49.125,49.225,49.175,49.225,196.75
2008,4,Florida,49.4,49.05,48.85,49.4,196.7
2009,1,Georgia,49.625,49.425,49.2,49.575,197.825
2009,2,Alabama,49.425,49.325,49.325,49.5,197.575
2009,3,Utah,49.525,49.275,49.175,49.45,197.425
2009,4,Florida,49,49.15,49.2,48.375,196.725
2010,1,UCLA,49.475,49.325,49.375,49.55,197.725
2010,2,Oklahoma,49.3,49.325,49.2,49.425,197.25
2010,3,Alabama,49.375,49.425,49.325,49.1,197.225
2010,4,Stanford,49.4,49.275,49.1,49.325,197.1
2011,1,Alabama,49.575,49.275,49.35,49.45,197.65
2011,2,UCLA,49.5,49.325,49.2,49.35,197.375
2011,3,Oklahoma,49.35,49.3,49.425,49.175,197.25
2011,4,Nebraska,49.35,49.3,48.875,49.2,196.725
2012,1,Alabama,49.625,49.275,49.5,49.45,197.85
2012,2,Florida,49.475,49.425,49.475,49.4,197.775
2012,3,UCLA,49.525,49.475,49.4,49.35,197.75
2012,4,Stanford,49.55,49.35,49.325,49.275,197.5
2013,1,Florida,49.5,49.475,48.875,49.725,197.575
2013,2,Oklahoma,49.125,49.375,49.475,49.4,197.375
2013,3,Alabama,49.25,49.375,49.225,49.575,197.35
2013,4,UCLA,49.1,49.375,49.175,49.45,197.1
2014,1,Oklahoma,49.325,49.25,49.35,49.575,197.5
2014,1,Florida,49.375,49.55,49.3,49.425,197.65
2014,3,Alabama,49.35,49.375,49.35,49.575,197.65
2014,4,LSU,49.35,49.225,49.175,49.35,197.1
2015,1,Florida,49.45,49.45,49.3,49.65,197.85
2015,2,Utah,49.55,49.575,49.25,49.425,197.8
2015,3,Oklahoma,49.475,49.3,49.575,49.175,197.525
2015,4,Alabama,49.425,49.275,49.2,49.375,197.275
2016,1,Oklahoma,49.225,49.45,49.425,49.575,197.675
2016,2,LSU,49.525,49.125,49.3375,49.4625,197.45
2016,3,Alabama,49.325,49.2875,49.45,49.375,197.4375
2016,4,Florida,49.325,49.45,49.2125,49.3625,197.35
2017,1,Oklahoma,49.4875,49.5875,49.7,49.6125,198.3875
2017,2,LSU,49.3,49.3875,49.725,49.325,197.7375
2017,3,Florida,49.3625,49.5375,49.3,49.5,197.7
2017,4,UCLA,49,49.4375,49.4875,49.3375,197.2625
2018,1,UCLA,49.225,49.6375,49.75,49.4625,198.075
2018,2,Oklahoma,49.4875,49.5375,49.425,49.5875,198.0375
2018,3,Florida,49.4125,49.5375,49.3375,49.5625,197.85
2018,4,LSU,49.4625,49.475,49.3875,49.5125,197.8375
2019,1,Oklahoma,49.625,49.45,49.6125,49.65,198.3375
2019,2,LSU,49.375,49.4625,49.4625,49.525,197.825
2019,3,UCLA,49.425,49.425,49.3875,49.3,197.5375
2019,4,Denver,49.2125,49.2375,49.35,49.2,197
2021,1,Michigan,49.65,49.4875,49.4875,49.625,198.25
2021,2,Oklahoma,49.475,49.5625,49.4875,49.5375,198.1625
2021,3,Utah,49.3875,49.425,49.7,49.475,197.9875
2021,4,Florida,49.3625,49.4625,48.7625,49.55,197.1375
2022,1,Oklahoma,49.6625,49.725,49.625,49.1875,198.2
2022,2,Florida,49.35,49.525,49.5,49.7125,198.0875
2022,3,Utah,49.225,49.55,49.5125,49.4625,197.75
2022,4,Auburn,49.3375,49.425,49.2,49.3875,197.35
2023,1,Oklahoma,49.5625,49.6375,49.5125,49.675,198.3875
2023,2,Florida,49.575,49.7125,49.525,49.425,198.2375
2023,3,Utah,49.15,49.55,49.7375,49.5,197.9375
2023,4,LSU,49.525,49.3125,49.2375,49.45,197.525
2024,1,LSU,49.4,49.45,49.7625,49.6125,198.225
2024,2,California,49.5,49.5,49.475,49.375,197.85
2024,3,Utah,49.3,49.4375,49.475,49.5875,197.8
2024,4,Florida,49.25,49.475,49.2375,49.475,197.4375
