Conference,Rank,Name,Team,Assists
Big West,1,Max Stryker,"University of California, Davis",53
Big West,2,Kaden Likins,"University of California, San Diego",49
Big West,3,Togan Ozbek,"California State University, Fullerton",41
Big West,4,Lucas Romaguera,"University of California, San Diego",38
Big West,5,Brock Zamanian,"University of California, Santa Barbara",34
Big West,6,Mason Chambliss,"University of California, Santa Barbara",33
Big West,7,Logan Anderson,"University of California, Davis",32
Big West,7,Aleix Aznar Beltran,"University of California, Davis",32
Big West,7,Miles Wilson,"University of California, San Diego",32
Big West,10,Jake Liechty,"University of California, Irvine",31
Mid Atlantic Waterpolo Conference,1,Laszlo Strasser,Wagner,42
Mid Atlantic Waterpolo Conference,2,Zsombor Gyemant,Wagner,33
Mid Atlantic Waterpolo Conference,3,Kyle Chambers,Wagner,30
Mid Atlantic Waterpolo Conference,4,Barnabas Vidovics,Wagner,29
Mid Atlantic Waterpolo Conference,5,Gavin Brooke,Johns Hopkins,28
Mid Atlantic Waterpolo Conference,6,Aaron Tarr,Mount St. Mary's,26
Mid Atlantic Waterpolo Conference,7,Andrew Cowie,Wagner,24
Mid Atlantic Waterpolo Conference,7,Mattia Bognolo,Wagner,24
Mid Atlantic Waterpolo Conference,9,Daniel Palfi,Johns Hopkins,22
Mid Atlantic Waterpolo Conference,9,Ethan Babel,Johns Hopkins,22
Mountain Pacific Sports Federation,1,Oskar Bannister,Augustana,40
Mountain Pacific Sports Federation,2,Tom McGuire,University of Southern California,33
Mountain Pacific Sports Federation,3,Carson Kranz,University of Southern California,32
Mountain Pacific Sports Federation,3,Roberto Valera,"University of California, Berkeley",32
Mountain Pacific Sports Federation,5,Zach Bettino,University of Southern California,31
Mountain Pacific Sports Federation,6,Makoto Kenney,"University of California, Los Angeles",28
Mountain Pacific Sports Federation,6,Albert Ponferrada,"University of California, Berkeley",28
Mountain Pacific Sports Federation,8,Massimo Di Martire,University of Southern California,25
Mountain Pacific Sports Federation,9,Jack Larsen,"University of California, Los Angeles",24
Mountain Pacific Sports Federation,9,Rhys Lomax,Augustana,24
Northeast Waterpolo Conference,1,Trippe Bauman,Iona,60
Northeast Waterpolo Conference,2,Karl Lovett,Long Island University,47
Northeast Waterpolo Conference,3,Ethan Zirh,Long Island University,34
Northeast Waterpolo Conference,4,Luksa Vlasic,Iona,30
Northeast Waterpolo Conference,5,Andrew Miller,Iona,27
Northeast Waterpolo Conference,5,Coby Scanlon,Iona,27
Northeast Waterpolo Conference,7,Luka Nastic,Iona,23
Northeast Waterpolo Conference,7,Logan Morgan,Long Island University,23
Northeast Waterpolo Conference,7,Josep Jodra Munoz,Long Island University,23
Northeast Waterpolo Conference,10,Riyad Shehadeh,Long Island University,22
Southern California Intercollegiate Athletic Conference,1,Jordan Baker,La Verne,47
Southern California Intercollegiate Athletic Conference,2,Nick Kennedy,Claremont-Mudd-Scripts,46
Southern California Intercollegiate Athletic Conference,3,Hudson Pak,Chapman,40
Southern California Intercollegiate Athletic Conference,4,Daniel Franks,Chapman,36
Southern California Intercollegiate Athletic Conference,5,Travis Hughes,Occidental,34
Southern California Intercollegiate Athletic Conference,6,Everett Prussak,Chapman,32
Southern California Intercollegiate Athletic Conference,6,Dylan Gallegos,Chapman,32
Southern California Intercollegiate Athletic Conference,8,Cristian Pang,Claremont-Mudd-Scripts,31
Southern California Intercollegiate Athletic Conference,8,Peter Trinh,La Verne,31
Southern California Intercollegiate Athletic Conference,8,Tate Miller,Occidental,31
West Coast Conference,1,Ian Christie,Air Force,59
West Coast Conference,1,Gojko Kapovic,Santa Clara,59
West Coast Conference,3,Caleb Teraoka,California Baptist,57
West Coast Conference,4,Ryan Brosnan,Pepperdine,47
West Coast Conference,5,Cameron Cullen,California Baptist,46
West Coast Conference,6,Marcus Lodewyk,California Baptist,45
West Coast Conference,7,Curtis Jarvis,Pepperdine,44
West Coast Conference,8,Ian Escoto,California Baptist,43
West Coast Conference,9,Logan Puhl,California Baptist,41
West Coast Conference,10,Thomas de Wit,California Baptist,40
Western Waterpolo Association,1,Nikola Krstonosic,Salem University,85
Western Waterpolo Association,2,Marko Zivojinovic,Salem University,65
Western Waterpolo Association,3,Nolan Rapp,Biola University,62
Western Waterpolo Association,4,Caleb Hernandez,Biola University,50
Western Waterpolo Association,5,William Green,Fresno Pacific University,44
Western Waterpolo Association,6,Marty Kaverman,Gannon University,39
Western Waterpolo Association,6,Stan De Mey,Concordia University,39
Western Waterpolo Association,8,Eugenio Maldonado,Fresno Pacific University,36
Western Waterpolo Association,8,Matthew Harkrader,Gannon University,36
Western Waterpolo Association,8,Roman Saroyan,Biola University,36
