"position","Round","forty","vertical","bench_reps","broad_jump","three_cone","shuttle"
"QB",NA,4.79,30.5,NA,110,7.66,4.41
"RB",NA,4.5,34,21,121,7.09,4.3
"QB",NA,4.6,NA,NA,NA,NA,NA
"QB",NA,4.95,30,NA,119,7.44,4.34
"WR",NA,4.78,38,NA,118,NA,4.45
"OT",NA,5.41,28,20,104,8.24,4.61
"WR",NA,4.76,31.5,NA,116,7.41,NA
"WR",NA,4.73,38,NA,128,7.1,4.09
"WR",NA,4.59,28.5,NA,111,7.24,4.27
"RB",NA,4.71,31.5,16,108,NA,NA
"QB",NA,4.87,26.5,NA,110,7.69,4.22
"WR",NA,4.61,32.5,NA,118,7.16,4.16
"WR",NA,4.5,NA,NA,NA,NA,NA
"C",NA,4.98,30.5,28,105,7.84,4.52
"OG",NA,5.67,23,18,94,8.25,5.12
"OG",NA,5.54,26.5,27,101,8.12,4.55
"QB",NA,4.83,30.5,NA,113,7.28,4.18
"RB",NA,4.68,34.5,25,120,7.44,4.25
"OG",NA,5.5,26.5,21,98,8.01,4.82
"RB",NA,4.54,33.5,13,112,7.27,4.07
"WR",NA,4.6,31,NA,117,6.72,3.94
"RB",NA,4.83,30.5,14,108,NA,NA
"OG",NA,6.05,NA,NA,NA,8.03,4.86
"WR",NA,4.69,35,NA,112,NA,NA
"QB",NA,4.95,NA,NA,NA,NA,NA
"OG",NA,5.1,NA,32,NA,NA,NA
"C",NA,5.25,NA,19,85,8.31,4.98
"WR",NA,4.56,33,NA,117,7.38,4.21
"TE",NA,4.89,NA,12,102,NA,NA
"WR",NA,4.46,31,NA,113,NA,NA
"C",NA,5.84,24,NA,93,8.09,4.63
"OG",NA,5.82,25.5,21,93,8.38,4.91
"FB",NA,4.97,32.5,22,114,7.5,4.41
"TE",NA,4.84,30,19,106,7.51,4.35
"WR",NA,4.62,37,NA,121,7.06,4.13
"TE",NA,5.03,NA,21,114,7.33,4.44
"RB",NA,4.7,30.5,21,115,7.25,4.09
"WR",NA,4.65,34,NA,122,7.12,4.31
"RB",NA,4.64,32,NA,114,7.41,4.43
"TE",7,4.89,30,17,106,7.86,4.45
"OT",1,5.49,25,27,98,8.25,4.85
"OT",4,5.07,30.5,34,106,8.09,4.78
"OG",5,5.22,NA,26,NA,NA,NA
"RB",2,4.37,38.5,25,117,NA,NA
"WR",3,4.58,38,NA,128,7.34,4.18
"OT",6,5.11,30.5,NA,105,7.96,4.92
"OG",1,5.33,NA,30,NA,NA,NA
"WR",5,4.36,NA,NA,NA,NA,NA
"RB",NA,4.51,34.5,22,112,NA,4.12
"OT",6,5.44,27,22,101,7.56,4.4
"OG",NA,5.51,30,24,100,8.09,4.88
"OG",7,5.52,26,NA,102,7.9,4.74
"WR",1,4.67,32.5,NA,116,6.77,4.09
"RB",4,4.75,40,NA,123,NA,NA
"WR",2,4.6,30,NA,NA,NA,NA
"TE",3,4.87,33,22,115,7.21,4.19
"WR",NA,4.53,35.5,NA,116,7.34,4.31
"WR",4,4.54,36,NA,121,6.93,3.91
"OG",4,5.23,28.5,22,110,7.85,4.61
"WR",3,4.52,37,NA,129,NA,NA
"C",6,5.06,30,30,99,7.53,4.24
"OT",4,5.46,28.5,26,102,8.3,4.84
"TE",7,5,28,21,109,7.4,4.32
"RB",7,4.58,NA,15,NA,NA,NA
"TE",4,4.93,34.5,25,115,6.99,4.13
"WR",1,4.39,34.5,NA,120,NA,NA
"WR",1,4.48,NA,NA,NA,NA,NA
"FB",6,4.62,32,NA,120,6.94,3.91
"TE",NA,5,30.5,24,111,7.49,4.35
"WR",4,4.33,38.5,NA,114,6.97,4.06
"TE",7,5.06,33,18,109,7.44,4.18
"OT",1,4.98,30,24,105,7.42,4.38
"TE",NA,5.02,27.5,11,103,7.47,4.5
"C",2,5.16,NA,31,NA,NA,NA
"WR",5,4.53,41,NA,131,6.79,4.08
"C",6,5.5,24.5,27,91,7.94,4.66
"WR",3,4.54,NA,NA,NA,NA,NA
"C",3,5.2,34,27,108,7.72,4.55
"TE",3,4.8,35,23,117,7.1,3.98
"WR",2,4.41,NA,NA,NA,NA,NA
"OG",NA,5.2,NA,NA,NA,NA,NA
"QB",7,4.9,NA,NA,NA,NA,NA
"RB",1,4.55,NA,NA,NA,NA,NA
"OT",5,5.32,24.5,25,97,7.66,4.76
"WR",NA,4.6,35,NA,123,7.47,4.16
"WR",1,4.4,NA,NA,NA,NA,NA
"OT",4,4.97,31,27,114,7.81,4.58
"RB",2,4.55,NA,NA,NA,NA,NA
"RB",2,4.47,37.5,NA,121,6.97,4.12
"RB",1,4.38,38,NA,120,NA,NA
"WR",6,4.46,29,NA,112,6.98,4.08
"FB",5,5.02,30,25,103,NA,NA
"WR",NA,4.56,34,NA,109,7.18,4.24
"WR",6,4.6,33.5,18,119,6.78,4.16
"QB",5,4.84,28,NA,112,7.22,4.08
"C",6,5.26,27,18,97,7.71,4.47
"OT",NA,5.36,27.5,23,102,7.94,4.71
"OG",3,5.16,29,27,100,7.85,4.56
"QB",NA,5.28,NA,NA,NA,NA,NA
"QB",1,4.73,33,NA,116,NA,NA
"WR",6,4.51,38,NA,124,7.06,4.17
"QB",1,4.9,NA,NA,NA,NA,NA
"WR",5,4.57,34,NA,118,NA,NA
"QB",7,4.79,NA,NA,NA,NA,NA
