season,game_id,game_type,week,home_team,away_team,home_score,away_score,game_outcome,score_diff
2018,2018_01_ATL_PHI,REG,1,PHI,ATL,18,12,1,6
2018,2018_01_BUF_BAL,REG,1,BAL,BUF,47,3,1,44
2018,2018_01_PIT_CLE,REG,1,CLE,PIT,21,21,0.5,0
2018,2018_01_CIN_IND,REG,1,IND,CIN,23,34,0,-11
2018,2018_01_TEN_MIA,REG,1,MIA,TEN,27,20,1,7
2018,2018_01_SF_MIN,REG,1,MIN,SF,24,16,1,8
2018,2018_01_HOU_NE,REG,1,NE,HOU,27,20,1,7
2018,2018_01_TB_NO,REG,1,NO,TB,40,48,0,-8
2018,2018_01_JAX_NYG,REG,1,NYG,JAX,15,20,0,-5
2018,2018_01_KC_LAC,REG,1,LAC,KC,28,38,0,-10
2018,2018_01_WAS_ARI,REG,1,ARI,WAS,6,24,0,-18
2018,2018_01_DAL_CAR,REG,1,CAR,DAL,16,8,1,8
2018,2018_01_SEA_DEN,REG,1,DEN,SEA,27,24,1,3
2018,2018_01_CHI_GB,REG,1,GB,CHI,24,23,1,1
2018,2018_01_NYJ_DET,REG,1,DET,NYJ,17,48,0,-31
2018,2018_01_LA_OAK,REG,1,OAK,LA,13,33,0,-20
2018,2018_02_BAL_CIN,REG,2,CIN,BAL,34,23,1,11
2018,2018_02_CAR_ATL,REG,2,ATL,CAR,31,24,1,7
2018,2018_02_LAC_BUF,REG,2,BUF,LAC,20,31,0,-11
2018,2018_02_MIN_GB,REG,2,GB,MIN,29,29,0.5,0
2018,2018_02_CLE_NO,REG,2,NO,CLE,21,18,1,3
2018,2018_02_MIA_NYJ,REG,2,NYJ,MIA,12,20,0,-8
2018,2018_02_KC_PIT,REG,2,PIT,KC,37,42,0,-5
2018,2018_02_PHI_TB,REG,2,TB,PHI,27,21,1,6
2018,2018_02_HOU_TEN,REG,2,TEN,HOU,20,17,1,3
2018,2018_02_IND_WAS,REG,2,WAS,IND,9,21,0,-12
2018,2018_02_ARI_LA,REG,2,LA,ARI,34,0,1,34
2018,2018_02_DET_SF,REG,2,SF,DET,30,27,1,3
2018,2018_02_OAK_DEN,REG,2,DEN,OAK,20,19,1,1
2018,2018_02_NE_JAX,REG,2,JAX,NE,31,20,1,11
2018,2018_02_NYG_DAL,REG,2,DAL,NYG,20,13,1,7
2018,2018_02_SEA_CHI,REG,2,CHI,SEA,24,17,1,7
2018,2018_03_NYJ_CLE,REG,3,CLE,NYJ,21,17,1,4
2018,2018_03_NO_ATL,REG,3,ATL,NO,37,43,0,-6
2018,2018_03_DEN_BAL,REG,3,BAL,DEN,27,14,1,13
2018,2018_03_CIN_CAR,REG,3,CAR,CIN,31,21,1,10
2018,2018_03_NYG_HOU,REG,3,HOU,NYG,22,27,0,-5
2018,2018_03_TEN_JAX,REG,3,JAX,TEN,6,9,0,-3
2018,2018_03_SF_KC,REG,3,KC,SF,38,27,1,11
2018,2018_03_OAK_MIA,REG,3,MIA,OAK,28,20,1,8
2018,2018_03_BUF_MIN,REG,3,MIN,BUF,6,27,0,-21
2018,2018_03_IND_PHI,REG,3,PHI,IND,20,16,1,4
2018,2018_03_GB_WAS,REG,3,WAS,GB,31,17,1,14
2018,2018_03_LAC_LA,REG,3,LA,LAC,35,23,1,12
2018,2018_03_CHI_ARI,REG,3,ARI,CHI,14,16,0,-2
2018,2018_03_DAL_SEA,REG,3,SEA,DAL,24,13,1,11
2018,2018_03_NE_DET,REG,3,DET,NE,26,10,1,16
2018,2018_03_PIT_TB,REG,3,TB,PIT,27,30,0,-3
2018,2018_04_MIN_LA,REG,4,LA,MIN,38,31,1,7
2018,2018_04_CIN_ATL,REG,4,ATL,CIN,36,37,0,-1
2018,2018_04_TB_CHI,REG,4,CHI,TB,48,10,1,38
2018,2018_04_DET_DAL,REG,4,DAL,DET,26,24,1,2
2018,2018_04_BUF_GB,REG,4,GB,BUF,22,0,1,22
2018,2018_04_HOU_IND,REG,4,IND,HOU,34,37,0,-3
2018,2018_04_NYJ_JAX,REG,4,JAX,NYJ,31,12,1,19
2018,2018_04_MIA_NE,REG,4,NE,MIA,38,7,1,31
2018,2018_04_PHI_TEN,REG,4,TEN,PHI,26,23,1,3
2018,2018_04_SEA_ARI,REG,4,ARI,SEA,17,20,0,-3
2018,2018_04_CLE_OAK,REG,4,OAK,CLE,45,42,1,3
2018,2018_04_SF_LAC,REG,4,LAC,SF,29,27,1,2
2018,2018_04_NO_NYG,REG,4,NYG,NO,18,33,0,-15
2018,2018_04_BAL_PIT,REG,4,PIT,BAL,14,26,0,-12
2018,2018_04_KC_DEN,REG,4,DEN,KC,23,27,0,-4
2018,2018_05_IND_NE,REG,5,NE,IND,38,24,1,14
2018,2018_05_TEN_BUF,REG,5,BUF,TEN,13,12,1,1
2018,2018_05_NYG_CAR,REG,5,CAR,NYG,33,31,1,2
2018,2018_05_MIA_CIN,REG,5,CIN,MIA,27,17,1,10
2018,2018_05_BAL_CLE,REG,5,CLE,BAL,12,9,1,3
2018,2018_05_GB_DET,REG,5,DET,GB,31,23,1,8
2018,2018_05_JAX_KC,REG,5,KC,JAX,30,14,1,16
2018,2018_05_DEN_NYJ,REG,5,NYJ,DEN,34,16,1,18
2018,2018_05_ATL_PIT,REG,5,PIT,ATL,41,17,1,24
2018,2018_05_OAK_LAC,REG,5,LAC,OAK,26,10,1,16
2018,2018_05_MIN_PHI,REG,5,PHI,MIN,21,23,0,-2
2018,2018_05_LA_SEA,REG,5,SEA,LA,31,33,0,-2
2018,2018_05_ARI_SF,REG,5,SF,ARI,18,28,0,-10
2018,2018_05_DAL_HOU,REG,5,HOU,DAL,19,16,1,3
2018,2018_05_WAS_NO,REG,5,NO,WAS,43,19,1,24
2018,2018_06_PHI_NYG,REG,6,NYG,PHI,13,34,0,-21
2018,2018_06_TB_ATL,REG,6,ATL,TB,34,29,1,5
2018,2018_06_PIT_CIN,REG,6,CIN,PIT,21,28,0,-7
