Team,GP,SOG,W,L,OTL,PTS,Reg_PTS,PPG,SO_PTS,Pct_SO,RW,ROW,SOW,SOL,GF,GA,DIFF
BOS,82,7,65,12,5,135,131,1.7466666666666666,4,0.5714285714285714,54,61,4,3,305,177,128
CAR,82,7,52,21,9,113,109,1.4533333333333334,4,0.5714285714285714,39,48,4,3,266,213,53
NJ,82,6,52,22,8,112,110,1.4473684210526316,2,0.3333333333333333,39,50,2,4,291,226,65
TOR,82,3,50,21,11,111,110,1.3924050632911393,1,0.3333333333333333,42,49,1,2,279,222,57
VGK,82,9,51,22,9,111,106,1.452054794520548,5,0.5555555555555556,38,46,5,4,272,229,43
EDM,82,4,50,23,9,109,109,1.3974358974358974,0,0,45,50,0,4,325,260,65
COL,82,9,51,24,7,109,103,1.4109589041095891,6,0.6666666666666666,36,45,6,3,280,226,54
DAL,82,7,47,21,14,108,104,1.3866666666666667,4,0.5714285714285714,39,43,4,3,285,218,67
NYR,82,7,47,22,13,107,103,1.3733333333333333,4,0.5714285714285714,37,43,4,3,277,219,58
LA,82,9,47,25,10,104,98,1.3424657534246576,6,0.6666666666666666,37,41,6,3,280,257,23
MIN,82,13,46,25,11,103,96,1.391304347826087,7,0.5384615384615384,34,39,7,6,246,225,21
SEA,82,4,46,28,8,100,100,1.2820512820512822,0,0,37,46,0,4,289,256,33
TB,82,5,46,30,6,98,95,1.2337662337662338,3,0.6,38,43,3,2,283,254,29
WPG,82,2,46,33,3,95,94,1.175,1,0.5,36,45,1,1,247,225,22
NYI,82,6,42,31,9,93,92,1.2105263157894737,1,0.16666666666666666,36,41,1,5,243,222,21
CGY,82,7,38,27,17,93,91,1.2133333333333334,2,0.2857142857142857,31,36,2,5,260,252,8
FLA,82,3,42,32,8,92,90,1.139240506329114,2,0.6666666666666666,36,40,2,1,290,273,17
NSH,82,8,42,32,8,92,86,1.162162162162162,6,0.75,29,36,6,2,229,238,-9
PIT,82,2,40,31,11,91,90,1.125,1,0.5,31,39,1,1,262,264,-2
BUF,82,6,42,33,7,91,88,1.1578947368421053,3,0.5,30,39,3,3,296,300,-4
OTT,82,3,39,35,8,86,84,1.0632911392405062,2,0.6666666666666666,31,37,2,1,261,271,-10
VAN,82,8,38,37,7,83,77,1.0405405405405406,6,0.75,24,32,6,2,276,298,-22
STL,82,6,37,38,7,81,78,1.0263157894736843,3,0.5,27,34,3,3,263,301,-38
WSH,82,6,35,37,10,80,78,1.0263157894736843,2,0.3333333333333333,27,33,2,4,255,265,-10
DET,82,7,35,37,10,80,77,1.0266666666666666,3,0.42857142857142855,28,32,3,4,240,279,-39
PHI,82,3,31,38,13,75,73,0.9240506329113924,2,0.6666666666666666,26,29,2,1,222,277,-55
ARI,82,7,28,40,14,70,67,0.8933333333333333,3,0.42857142857142855,20,25,3,4,228,299,-71
MTL,82,7,31,45,6,68,63,0.84,5,0.7142857142857143,21,26,5,2,232,307,-75
SJ,82,7,22,44,16,60,59,0.7866666666666666,1,0.14285714285714285,16,21,1,6,234,321,-87
CHI,82,4,26,49,7,59,57,0.7307692307692307,2,0.5,18,24,2,2,204,301,-97
CBJ,82,2,25,48,9,59,58,0.725,1,0.5,15,24,1,1,214,330,-116
ANA,82,6,23,47,12,58,55,0.7236842105263158,3,0.5,13,20,3,3,209,338,-129
