game_date,inning,outs_when_up,pitch_number,pitch_name,p_throws,description,events,launch_speed,launch_angle,hit_distance_sc,launch_speed_angle,zone,release_speed,release_spin_rate
2024-09-29,6,2,2,4-Seam Fastball,R,hit_into_play,field_out,98.5,-5,17,2,14,94.3,2396
2024-09-29,6,2,1,Changeup,R,swinging_strike,,NA,NA,NA,NA,7,84.8,1591
2024-09-29,4,0,5,4-Seam Fastball,R,hit_into_play,field_out,106.5,-2,43,4,4,95.4,2247
2024-09-29,4,0,4,Slider,R,ball,,NA,NA,NA,NA,13,89.4,2483
2024-09-29,4,0,3,4-Seam Fastball,R,ball,,NA,NA,NA,NA,12,94.8,2328
2024-09-29,4,0,2,Sinker,R,called_strike,,NA,NA,NA,NA,1,93.1,2236
2024-09-29,4,0,1,4-Seam Fastball,R,ball,,NA,NA,NA,NA,11,94.1,2370
2024-09-29,8,1,3,4-Seam Fastball,R,hit_into_play,single,110.8,14,247,6,8,99.3,2331
2024-09-29,8,1,2,4-Seam Fastball,R,ball,,NA,NA,NA,NA,14,100.1,2388
2024-09-29,8,1,1,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,7,100.4,2390
2024-09-29,1,0,5,Changeup,R,hit_into_play,field_out,77.3,11,134,4,13,85.4,1522
2024-09-29,1,0,4,Changeup,R,swinging_strike,,NA,NA,NA,NA,8,85,1559
2024-09-29,1,0,3,Slider,R,ball,,NA,NA,NA,NA,13,89.2,2414
2024-09-29,1,0,2,4-Seam Fastball,R,swinging_strike,,NA,NA,NA,NA,9,93.8,2357
2024-09-29,1,0,1,4-Seam Fastball,R,ball,,NA,NA,NA,NA,13,94.6,2185
2024-09-28,5,0,6,4-Seam Fastball,R,ball,walk,NA,NA,NA,NA,11,95.9,2169
2024-09-28,5,0,5,4-Seam Fastball,R,ball,,NA,NA,NA,NA,11,95.4,2157
2024-09-28,5,0,4,4-Seam Fastball,R,foul,,68.3,-42,2,NA,8,95,2237
2024-09-28,5,0,3,Changeup,R,ball,,NA,NA,NA,NA,13,85,2135
2024-09-28,5,0,2,Changeup,R,ball,,NA,NA,NA,NA,13,87.2,2181
2024-09-28,5,0,1,4-Seam Fastball,R,swinging_strike,,NA,NA,NA,NA,3,95,2145
2024-09-28,7,2,4,Slider,R,hit_into_play,field_out,100.2,19,308,5,3,89.8,2229
2024-09-28,7,2,3,Changeup,R,ball,,NA,NA,NA,NA,13,90.2,1704
2024-09-28,7,2,2,Changeup,R,swinging_strike,,NA,NA,NA,NA,8,89.9,1639
2024-09-28,2,2,1,Slider,R,hit_into_play,field_out,80.5,0,36,2,7,87.4,2229
2024-09-28,9,0,3,Sinker,R,hit_into_play,field_out,96.9,-23,4,2,14,95.2,2409
2024-09-28,7,2,1,Slider,R,swinging_strike,,NA,NA,NA,NA,14,89,2010
2024-09-28,9,0,2,Sinker,R,called_strike,,NA,NA,NA,NA,4,95.2,2254
2024-09-28,9,0,1,Sinker,R,ball,,NA,NA,NA,NA,14,96.2,2235
2024-09-28,6,0,6,4-Seam Fastball,R,hit_into_play,single,108.2,3,76,4,8,95.6,2332
2024-09-28,6,0,5,4-Seam Fastball,R,foul,,79.7,17,128,NA,11,95.5,2269
2024-09-28,6,0,4,Changeup,R,ball,,NA,NA,NA,NA,13,88.7,2070
2024-09-28,6,0,3,Slider,R,ball,,NA,NA,NA,NA,13,86.3,2439
2024-09-28,6,0,2,4-Seam Fastball,R,called_strike,,NA,NA,NA,NA,8,95,2335
2024-09-28,6,0,1,Changeup,R,ball,,NA,NA,NA,NA,13,85.8,2068
