year,event,medal,country,medalist,is_china,medal_value,event_type,gender,era
1988,Men's singles,Gold,South Korea,Yoo Nam-kyu,0,3,Singles,Men,Pre-reform (1988-2004)
1988,Men's singles,Silver,South Korea,Kim Ki-taik,0,2,Singles,Men,Pre-reform (1988-2004)
1988,Men's singles,Bronze,Sweden,Erik Lindh,0,1,Singles,Men,Pre-reform (1988-2004)
1992,Men's singles,Gold,Sweden,Jan-Ove Waldner,0,3,Singles,Men,Pre-reform (1988-2004)
1992,Men's singles,Silver,France,Jean-Philippe Gatien,0,2,Singles,Men,Pre-reform (1988-2004)
1992,Men's singles,Bronze,China,Kim Taek-soo South Korea and Ma Wenge,1,1,Singles,Men,Pre-reform (1988-2004)
1996,Men's singles,Gold,China,Liu Guoliang,1,3,Singles,Men,Pre-reform (1988-2004)
1996,Men's singles,Silver,China,Wang Tao,1,2,Singles,Men,Pre-reform (1988-2004)
1996,Men's singles,Bronze,Germany,Jörg Roßkopf,0,1,Singles,Men,Pre-reform (1988-2004)
2000,Men's singles,Gold,China,Kong Linghui,1,3,Singles,Men,Pre-reform (1988-2004)
2000,Men's singles,Silver,Sweden,Jan-Ove Waldner,0,2,Singles,Men,Pre-reform (1988-2004)
2000,Men's singles,Bronze,China,Liu Guoliang,1,1,Singles,Men,Pre-reform (1988-2004)
2004,Men's singles,Gold,South Korea,Ryu Seung-min,0,3,Singles,Men,Pre-reform (1988-2004)
2004,Men's singles,Silver,China,Wang Hao,1,2,Singles,Men,Pre-reform (1988-2004)
2004,Men's singles,Bronze,China,Wang Liqin,1,1,Singles,Men,Pre-reform (1988-2004)
2008,Men's singles,Gold,China,Ma Lin,1,3,Singles,Men,Post-reform (2008-2016)
2008,Men's singles,Silver,China,Wang Hao,1,2,Singles,Men,Post-reform (2008-2016)
2008,Men's singles,Bronze,China,Wang Liqin,1,1,Singles,Men,Post-reform (2008-2016)
2012,Men's singles,Gold,China,Zhang Jike,1,3,Singles,Men,Post-reform (2008-2016)
2012,Men's singles,Silver,China,Wang Hao,1,2,Singles,Men,Post-reform (2008-2016)
2012,Men's singles,Bronze,Germany,Dimitrij Ovtcharov,0,1,Singles,Men,Post-reform (2008-2016)
2016,Men's singles,Gold,China,Ma Long,1,3,Singles,Men,Post-reform (2008-2016)
