Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date
Nikol Lakhtina,13.5,13-15,59.95,102.5,45,115,262.5,2,291.15,292.85,258.75,48.78,2008-12-12
Anastasiya Volegova,14.5,13-15,81.45,135,70,115,320,1,298.86,289.94,254.01,61.19,2022-11-12
Kali Diedrich,15,13-15,46.2,75,40,80,195,2,258.84,265.5,237,43.29,2024-03-01
Anastasiya Galliulina,14,13-15,48,105,57.5,115,277.5,4,358.1,367.53,327.13,59.85,2005-06-03
Giada Spadaro,14.5,13-15,56.58,130,83,160,373,2,429.42,435.34,385,87.98,2025-02-15
Viktoriya Tsygankova,13.5,13-15,44.3,45,25,52.5,122.5,6,167.85,171.7,153.89,28.11,2015-10-22
Veoleta Bareysha,13.5,13-15,48.7,75,42.5,82.5,200,4,255.39,262.06,233.04,53.57,2018-05-12
Billy Jo Brown,14.5,13-15,67.5,77.56,29.94,84.82,192.32,1,198.55,196.29,173.15,33.44,2004-05-15
Angelina Suvorova,14.5,13-15,45.5,57.5,32.5,70,160,5,214.83,220.19,196.83,45.84,2019-04-25
Anastasiya Simakova,13.5,13-15,74.9,72.5,37.5,90,200,2,194.93,190.29,167.39,39.71,2021-04-16
Lola Phillips Baskett,13,13-15,64.1,57.5,37.5,85,180,1,191.58,190.81,168.45,38.95,2025-04-13
Natalya Davydova,14.5,13-15,53,85,35,100,220,5,264.65,270.24,239.38,44.22,2002-04-05
Alyona Ivanova,14.5,13-15,56,60,42.5,90,192.5,5,223.13,226.5,200.35,45.77,2016-11-18
Bryleigh Sanchez,13.5,13-15,87.6,97.5,52.5,115,265,1,239.13,231.66,201.86,49.26,2023-05-27
Cara Stridde,14.5,13-15,58.6,45,27.5,70,142.5,4,160.36,161.81,143.02,32.75,2019-01-26
Aria Friend,13,13-15,44.6,62.5,33.5,85,181,1,246.73,252.55,226.19,52.95,2023-02-18
Dhanashri Manadik,15,13-15,55.5,85,40,100,225,3,262.36,266.6,235.87,53.86,2018-09-26
Goar Mkrtchan,14.5,13-15,87,70,35,77.5,182.5,1,165.2,160.04,139.53,28.32,2015-03-27
Avni Pusp,13,13-15,69,122.5,57.5,115,295,5,300.75,296.43,261.38,61.12,2025-05-20
Treanna Hackney,15,13-15,68,70,40,110,220,1,226.16,223.36,197,45.95,2013-12-07
Elena Shubina,14.5,13-15,51.7,95,50,110,255,6,312.07,319.31,283.11,52.14,2000-12-23
Sierra Gallegos,14,13-15,53.25,67.5,48,107.5,223,1,267.4,272.92,241.72,55.19,2024-05-04
Giuliana Humphrey,13,13-15,49.5,75,40.5,100.5,216,1,272.6,279.6,248.4,56.98,2024-10-25
Yuliya Bulyga,12.5,13-15,47.45,80,35,85,200,1,260.28,267.13,237.96,43.51,2003-04-04
Chiung-Yi Kao Huang,14.5,13-15,54.35,140,75,120,335,5,396.15,403.51,357.17,66.22,2018-09-03
Laura Vosters,15,13-15,55,92.5,60,107.5,260,1,305.01,310.27,274.55,50.99,2007-03-30
