Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date
Kyle Donovan,15,13-15,60.78,95,60,115,270,3,225.5,227.6,222.09,43.97,2005-07-30
Kozhakhmet Khamzeev,13.5,13-15,47.6,100,55,100,255,6,266.57,275.52,272.61,47.36,2019-10-01
M. Byers,15,13-15,77.56,83.91,68.04,124.74,276.69,1,194.38,192.72,185.94,39.65,1997-04-12
Nikita Skokov,13.5,13-15,73.2,57.5,42.5,57.5,157.5,4,114.79,114.18,110.44,19.66,2016-02-21
Tyler Daffinson,15,13-15,67.2,140,97.5,180,417.5,5,322.83,323.05,313.65,55.21,2008-04-04
Viktor Ovchinnikov,14.5,13-15,56.3,87.5,65,127.5,280,2,249.44,253.57,248.53,47.51,2014-02-20
Maddox Taylo,14,13-15,86.6,160,100,195,455,1,300.12,296.44,284.6,61.66,2023-10-28
Parker Lanier,15,13-15,64.2,125,80,165,370,3,296,297.31,289.29,58.53,2025-05-03
Camden Sigafoose,14,13-15,59.8,97.5,72.5,122.5,292.5,1,247.56,250.23,244.4,48.05,2023-06-17
Todd McCauley,15,13-15,58.2,127.5,75,152.5,355,7,307.34,311.44,304.66,52.24,2007-03-30
Carter Moeller,14.5,13-15,80.9,135,100,157.5,392.5,1,268.88,266.09,256.26,55.04,2025-02-08
Carlos Martinez #12,14.5,13-15,110,182.34,79.83,192.32,454.5,1,269.19,267.47,255.63,45.51,2007-06-09
Isaac Barnes,15,13-15,79,180,92.5,150,422.5,5,293.52,290.76,280.31,59.97,2024-09-21
Darryl Thomas #3,15,13-15,114,155,110,190,455,1,265.97,265,253.59,44.88,2006-11-19
Sammy Sobie,14,13-15,60.35,145,92.5,160,397.5,1,333.91,337.23,329.2,64.98,2025-04-10
Sergey Khrebtov,14.5,13-15,72.6,200,125,205,530,5,388.38,386.51,373.98,66.51,2011-12-09
Mikey Newby,15,13-15,84.3,145,70,190,405,1,271.06,267.89,257.51,55.63,2019-12-01
Tomas Quindos,15,13-15,77.8,182.5,112.5,205,500,1,350.59,347.54,335.28,71.53,2024-07-21
Semen Mayorov,14.5,13-15,83.7,120,75,140,335,3,225.1,222.51,213.96,46.18,2020-11-06
Maksim Barbotkin,14.5,13-15,66,120,80,120,320,7,250.73,251.26,244.15,42.86,2003-07-05
Manish Dixit,15,13-15,51.1,100,62.5,120,282.5,16,275.13,282.37,278.36,46.26,2018-03-16
Darren Yang,15,13-15,67.5,117.5,65,150,332.5,1,256.27,256.36,248.85,51.22,2017-05-20
Hunter Haskamp,14.5,13-15,55.52,152.5,72.5,160,385,1,347.23,353.46,346.73,65.82,2023-09-14
Ethan Weeks,15,13-15,71.85,165,95,190,450,2,332.05,330.68,320.1,67.09,2024-04-06
Aleksey Mashtakov,12.5,13-15,68.1,65,40,90,195,9,149.34,149.29,144.86,25.55,2008-10-24
Volodimir Gladish,13.5,13-15,59,97.5,65,110,272.5,5,233.22,236.03,230.71,39.67,2013-12-07
Aalin Rivers,15,13-15,55.9,167.5,87.5,180,435,3,389.96,396.69,388.98,66.1,2007-03-30
Zhiyang Sun,14.5,13-15,50,60,45,90,195,1,193.98,199.52,196.92,35.27,2022-07-24
Allen Syphom,15,13-15,63.91,145,85,165,395,2,317.1,318.62,310.1,62.63,2025-04-10
Oleksiy Sheptukha,14.5,13-15,87,145,125,200,470,1,309.26,305.45,293.18,63.54,2015-12-05
Maksim Shulgin,14.5,13-15,110.6,150,95,170,415,2,245.29,243.82,233.07,50.03,2013-04-04
Charlie Allen,14,13-15,98,95,80,125,300,1,186.3,184.09,175.9,38.27,2024-03-24
Artem Lipatov,14.5,13-15,56,160,92.5,140,392.5,10,351.31,357.31,350.32,59.55,2007-01-25
Bogdan Gergeridin,12.5,13-15,66,95,60,102.5,257.5,10,201.76,202.19,196.47,40.14,2019-04-08
Dmitriy Zavyalov,13.5,13-15,52.65,130,75,120,325,2,307.66,314.82,309.81,51.88,2019-06-06
Marcus Lust,14.5,13-15,71.75,135,75,155,365,1,269.58,268.49,259.92,54.45,2025-05-24
Andrew Pletsch,14.5,13-15,59,110,52.5,127.5,290,1,248.2,251.19,245.52,47.99,2019-11-17
Roman Mills,15,13-15,78.85,155,115,200,470,3,326.89,323.85,312.24,66.78,2023-11-18
Evgeni Ganchev,15,13-15,71.2,180,122.5,225,527.5,2,391.64,390.25,377.92,67.05,2025-04-11
Joe Chouinard,14,13-15,74.8,175,87.5,210,472.5,2,339.56,337.31,325.96,58.15,2005-04-01
Jacob Tipper,15,13-15,79.2,150,82.5,195,427.5,1,296.54,293.72,283.14,60.6,2020-02-08
Nick Seybold,14,13-15,71.55,127.5,95,165,387.5,2,286.74,285.63,276.55,57.89,2022-03-19
Dmitriy Gorokhovik,13.5,13-15,55.75,102.5,75,117.5,295,5,265.09,269.73,264.53,50.32,2015-11-17
Tomáš Buček,13.5,13-15,65.6,95,62.5,135,292.5,3,230.22,230.82,224.36,39.35,2009-11-09
Conner Priebe,14.5,13-15,101,142.5,97.5,182.5,422.5,1,258.95,256.12,244.59,53.12,2019-04-13
Stanislav Borkin,12.5,13-15,41.4,50,30,55,135,5,164.66,172.46,171.14,26.87,2010-05-08
Aleksey Polischuk,14.5,13-15,59.1,135,70,135,340,9,290.58,294.04,287.38,49.44,2005-11-12
Krystian Antczak,14.5,13-15,58.3,110,50,150,310,1,267.99,271.52,265.58,51.63,2024-06-14
Rolland Hartman,15,13-15,94.4,185,92.5,205,482.5,1,304.82,301,287.93,62.66,2023-04-15
Peter Herren,14.5,13-15,76.35,162.5,97.5,180,440,1,312.13,309.71,299.02,63.56,2024-01-20
Chris McCorker,15,13-15,69.9,205,137.5,192.5,535,1,402.27,401.36,388.99,68.86,2010-03-26
Nicholas Lesser,15,13-15,81.1,145,82.5,150,377.5,1,258.23,255.53,246.06,52.87,2024-06-23
Thane Stringham,15,13-15,71.6,127.5,97.5,152.5,377.5,1,279.21,278.12,269.26,56.38,2021-05-22
Keagan Hurst,13,13-15,73.3,136.08,74.84,147.42,358.34,1,260.93,259.51,251,52.87,2025-04-05
Ilya Konogorov,14.5,13-15,58.1,127.5,77.5,135,340,4,294.79,298.77,292.29,56.73,2019-04-12
Roy Billiot III,13.5,13-15,54.7,95,52.5,107.5,255,1,233.07,237.59,233.28,39.44,2017-08-05
Anton Yurchenko,14.5,13-15,52.4,72.5,32.5,75,180,11,171.16,175.22,172.48,28.85,2018-12-04
Caleb Wardell,14.5,13-15,80.2,136.1,70.3,158.8,365.2,3,251.45,248.93,239.83,43.04,2018-05-05
Max Sherry,15,13-15,84.6,117.5,95,160,372.5,4,248.82,245.89,236.32,51.07,2019-10-05
Adrián Dominik Fekete,13.5,13-15,55.7,95,50,95,240,1,215.83,219.64,215.41,40.96,2016-10-15
Samuel Koch,14,13-15,63.05,67.5,77.5,120,265,1,214.98,216.26,210.62,42.32,2008-07-26
Cole Scheck,13.5,13-15,42,60,32.5,85,177.5,8,212.87,222.67,220.98,35.26,2021-11-20
Artem Sanin,13.5,13-15,65.75,95,60,120,275,1,216.08,216.6,210.52,42.95,2020-11-06
