"","First Name","Last Name","Overall","Overall Reliability","Singles","Singles Reliability","Doubles","Doubles Reliability","Mixed","Mixed Reliability","Sex"
"1","Abigail","Nolan",4.577,0.38,4.282,0.34,3.966,0.38,4.577,0.42,"F"
"2","Addi","Morris",5.464,0.32,4.277,0.15,4.107,0.38,5.464,0.42,"F"
"3","Addison","Joyce",4.39,0.37,4.592,0.28,4.123,0.29,4.455,0.53,"F"
"4","Alexa","Tueller",4.664,0.26,4.853,0.26,4.763,0.27,4.376,0.24,"F"
"5","Alexa","Medellin",4.444,0.25,4.5,0,4.34,0.32,4.548,0.44,"F"
"6","Alexandra","Mcdonald",5.271,0.45,5.696,0.36,5.25,0.48,5.291,0.5,"F"
"7","Alivia","Lubenow",4.238,0.41,4.237,0.42,4.722,0.34,3.754,0.48,"F"
"8","Ally","Duke",4.633,0.41,4.5,0,4.644,0.62,4.621,0.6,"F"
"9","Aly","Evanson",4.918,0.39,4.429,0.15,4.895,0.5,4.94,0.53,"F"
"10","Alyssa","Perkins",4.542,0.19,4.5,0,4.534,0.24,4.542,0.33,"F"
"11","amanda","seigle",4.782,0.42,4.5,0,4.773,0.64,4.791,0.62,"F"
"12","Amy","Fei",4.489,0.53,4.311,0.52,4.513,0.53,4.643,0.53,"F"
"13","Anna","Nichols",4.954,0.19,4.5,0,4.25,0.27,4.954,0.29,"F"
"14","Ariel","Tobiasson",4.593,0.21,4.5,0,4.779,0.32,4.407,0.31,"F"
"15","Armelle","Worrel",4.951,0.47,4.637,0.3,5.173,0.55,5.043,0.55,"F"
"16","Ashley","Poshard",4.403,0.46,4.5,0,4.551,0.73,4.255,0.65,"F"
"17","Aubrey","Wagner",4.127,0.44,4.166,0.28,3.943,0.52,4.271,0.52,"F"
"18","Averee","Beck",5.514,0.66,5.542,0.69,5.597,0.59,5.403,0.69,"F"
"19","Belani","Soto",4.28,0.21,4.5,0,4.201,0.31,4.36,0.31,"F"
"20","Brenna","Murray",5.471,0.63,5.561,0.68,5.577,0.61,5.273,0.6,"F"
