player_name,pitch_type,result,release_speed,description,count,outs_when_up
"Kershaw, Clayton",SL,X,90.4,hit_into_play,2-0,2
"Kershaw, Clayton",FF,B,95.6,ball,1-0,2
"Kershaw, Clayton",FF,B,95.2,ball,0-0,2
"Kershaw, Clayton",SL,X,90.5,hit_into_play,0-0,1
"Kershaw, Clayton",FF,X,95.6,hit_into_play,0-1,0
"Kershaw, Clayton",SL,S,90.7,foul,0-0,0
"Kershaw, Clayton",CU,X,74.5,hit_into_play,0-1,0
"Kershaw, Clayton",FF,S,94.3,foul,0-0,0
"Kershaw, Clayton",SL,X,91.6,hit_into_play,2-1,2
"Kershaw, Clayton",SL,B,91.1,ball,1-1,2
"Kershaw, Clayton",FF,S,95.9,called_strike,1-0,2
"Kershaw, Clayton",FF,B,95.3,ball,0-0,2
"Kershaw, Clayton",CU,S,75.1,called_strike,2-2,1
"Kershaw, Clayton",SL,S,90.3,foul,2-2,1
"Kershaw, Clayton",SL,S,90.8,called_strike,2-1,1
"Kershaw, Clayton",FF,B,94.7,ball,1-1,1
"Kershaw, Clayton",FF,S,96.4,foul,1-0,1
"Kershaw, Clayton",FF,B,95.6,ball,0-0,1
"Kershaw, Clayton",CU,S,75.6,swinging_strike,2-2,0
"Kershaw, Clayton",CU,B,72.3,ball,1-2,0
"Kershaw, Clayton",FF,S,94.8,foul,1-1,0
"Kershaw, Clayton",CU,B,72.8,ball,0-1,0
"Kershaw, Clayton",FF,S,94.8,foul,0-0,0
"Kershaw, Clayton",CU,S,75.5,foul_tip,0-2,2
"Kershaw, Clayton",SL,S,90.3,foul,0-2,2
"Kershaw, Clayton",FF,S,94.8,foul,0-1,2
"Kershaw, Clayton",FF,S,94.3,foul,0-0,2
"Kershaw, Clayton",FF,X,95.1,hit_into_play,2-1,2
"Kershaw, Clayton",CU,B,75.1,ball,1-1,2
"Kershaw, Clayton",SI,B,94.6,ball,0-1,2
"Kershaw, Clayton",FF,S,95.3,foul,0-0,2
"Kershaw, Clayton",SL,S,91.6,swinging_strike,1-2,1
"Kershaw, Clayton",FF,S,94.4,foul,1-1,1
"Kershaw, Clayton",FF,B,94.2,ball,0-1,1
"Kershaw, Clayton",FF,S,95.3,called_strike,0-0,1
"Kershaw, Clayton",CU,S,75.7,swinging_strike_blocked,1-2,0
"Kershaw, Clayton",SL,B,90.5,ball,0-2,0
"Kershaw, Clayton",SL,S,90.5,swinging_strike,0-1,0
"Kershaw, Clayton",FF,S,94.7,foul,0-0,0
"Kershaw, Clayton",SL,S,90.8,swinging_strike,1-2,2
"Kershaw, Clayton",FF,S,95.9,foul,1-2,2
"Kershaw, Clayton",CU,B,75.9,ball,0-2,2
"Kershaw, Clayton",SL,S,91.1,swinging_strike,0-1,2
"Kershaw, Clayton",FF,S,95.6,foul,0-0,2
"Kershaw, Clayton",CU,X,73.4,hit_into_play,1-2,1
"Kershaw, Clayton",FF,B,96.2,ball,0-2,1
"Kershaw, Clayton",CU,S,75.4,called_strike,0-1,1
"Kershaw, Clayton",FF,S,95.9,called_strike,0-0,1
"Kershaw, Clayton",FF,X,93.7,hit_into_play,0-1,1
"Kershaw, Clayton",SL,S,91.4,foul,0-0,1
"Kershaw, Clayton",FF,X,95.7,hit_into_play,1-1,0
"Kershaw, Clayton",CU,B,72.1,ball,0-1,0
"Kershaw, Clayton",SL,S,90.6,called_strike,0-0,0
"Kershaw, Clayton",SL,X,90.9,hit_into_play,2-1,2
"Kershaw, Clayton",CU,B,74.5,ball,1-1,2
"Kershaw, Clayton",SL,S,92.1,called_strike,1-0,2
"Kershaw, Clayton",FF,B,93.6,ball,0-0,2
"Kershaw, Clayton",FF,X,94.9,hit_into_play,0-1,1
"Kershaw, Clayton",FF,S,95.2,swinging_strike,0-0,1
"Kershaw, Clayton",FF,X,95.4,hit_into_play,2-1,0
"Kershaw, Clayton",CU,B,74.1,ball,1-1,0
"Kershaw, Clayton",FF,B,94.3,ball,0-1,0
"Kershaw, Clayton",FF,S,94.7,called_strike,0-0,0
"Kershaw, Clayton",FF,S,96.3,called_strike,1-2,2
"Kershaw, Clayton",CU,S,75,foul,1-1,2
"Kershaw, Clayton",FF,S,95.5,called_strike,1-0,2
"Kershaw, Clayton",FF,B,95.8,ball,0-0,2
"Kershaw, Clayton",SL,S,91.8,swinging_strike,1-2,1
"Kershaw, Clayton",FF,S,95.3,foul,1-2,1
"Kershaw, Clayton",SL,B,92.6,ball,0-2,1
"Kershaw, Clayton",CU,S,75.6,foul,0-2,1
"Kershaw, Clayton",FF,S,96,foul,0-2,1
"Kershaw, Clayton",FF,S,94.2,called_strike,0-1,1
"Kershaw, Clayton",SI,S,95.5,called_strike,0-0,1
"Kershaw, Clayton",FF,X,94.8,hit_into_play,1-0,0
"Kershaw, Clayton",FF,B,95,ball,0-0,0
"Kershaw, Clayton",FF,X,95.9,hit_into_play,0-0,2
"Kershaw, Clayton",FF,X,96.5,hit_into_play,3-1,1
"Kershaw, Clayton",SL,B,91.5,blocked_ball,2-1,1
"Kershaw, Clayton",SL,B,91.9,ball,1-1,1
"Kershaw, Clayton",FF,B,95.6,ball,0-1,1
"Kershaw, Clayton",FF,S,95.4,called_strike,0-0,1
"Kershaw, Clayton",FF,B,95,ball,3-2,1
"Kershaw, Clayton",SL,B,92,ball,2-2,1
"Kershaw, Clayton",SL,B,91.9,ball,1-2,1
"Kershaw, Clayton",CU,B,74.9,ball,0-2,1
"Kershaw, Clayton",FF,S,95.9,foul,0-1,1
"Kershaw, Clayton",FF,S,95.9,foul,0-0,1
"Kershaw, Clayton",SI,X,95.9,hit_into_play,3-2,0
"Kershaw, Clayton",CU,B,73,ball,2-2,0
