"Rk","Name","Age","Pos","GP","G","A","P","PIM","Plus_Minus","PPG","SHG","GWG","G_Per_GP","A_Per_GP","P_Per_GP"
1,"Natalie Spooner",33,"F",24,20,7,27,4,11,7,1,5,0.833,0.292,1.125
2,"Sarah Nurse",28,"F",24,11,12,23,14,6,1,0,2,0.458,0.5,0.958
3,"Marie-Philip Poulin",32,"F",21,10,13,23,14,8,1,0,2,0.476,0.619,1.095
4,"Alex Carpenter",29,"F",24,8,15,23,0,-8,3,1,2,0.333,0.625,0.958
5,"Ella Shelton",25,"D",24,7,14,21,12,-6,2,0,1,0.292,0.583,0.875
6,"Brianne Jenner",32,"F",24,9,11,20,4,1,2,0,2,0.375,0.458,0.833
7,"Grace Zumwinkle",24,"F",24,11,8,19,4,6,2,2,4,0.458,0.333,0.792
8,"Emma Maltais",24,"F",24,4,15,19,16,7,0,2,1,0.167,0.625,0.792
9,"Laura Stacey",29,"F",23,10,8,18,2,4,3,0,2,0.435,0.348,0.783
10,"Katerina Mrazova",31,"F",23,6,12,18,16,-2,3,0,0,0.261,0.522,0.783
11,"Erin Ambrose",29,"D",24,4,14,18,4,5,1,0,0,0.167,0.583,0.75
12,"Daryl Watts",24,"F",24,10,7,17,8,-2,1,0,2,0.417,0.292,0.708
13,"Kendall Coyne",31,"F",24,6,10,16,6,12,0,0,1,0.25,0.417,0.667
14,"Alina Müller",25,"F",24,5,11,16,6,7,2,0,0,0.208,0.458,0.667
15,"Maureen Murphy",24,"F",24,5,11,16,4,3,0,0,1,0.208,0.458,0.667
16,"Kelly Pannek",28,"F",24,4,12,16,2,11,0,0,1,0.167,0.5,0.667
17,"Emily Clark",28,"F",24,4,11,15,10,2,1,0,0,0.167,0.458,0.625
18,"Megan Keller",27,"D",24,4,11,15,12,9,1,0,0,0.167,0.458,0.625
19,"Hannah Miller",27,"F",23,7,7,14,8,6,1,0,2,0.304,0.304,0.609
20,"Jessie Eldridge",26,"F",24,7,7,14,10,-9,3,0,1,0.292,0.292,0.583
21,"Jade Downie-Landry",28,"F",24,8,5,13,18,-9,3,0,1,0.333,0.208,0.542
22,"Abby Roque",26,"F",24,6,7,13,31,-15,3,0,0,0.25,0.292,0.542
23,"Jaime Bourbonnais",25,"D",24,5,8,13,12,-12,3,0,1,0.208,0.333,0.542
24,"Taylor Heise",23,"F",19,4,9,13,8,5,0,0,1,0.211,0.474,0.684
25,"Susanna Tapani",30,"F",26,4,9,13,8,15,1,0,3,0.154,0.346,0.5
26,"Renata Fast",29,"D",24,3,10,13,12,0,1,0,1,0.125,0.417,0.542
27,"Gabrielle Hughes",24,"F",24,9,3,12,20,1,2,1,3,0.375,0.125,0.5
28,"Savannah Harmon",28,"D",24,3,9,12,8,-2,1,0,0,0.125,0.375,0.5
29,"Tereza Vanisova",27,"F",23,2,10,12,37,-2,1,0,1,0.087,0.435,0.522
30,"Hilary Knight",34,"F",24,6,5,11,6,8,0,0,1,0.25,0.208,0.458
31,"Lexie Adzija",23,"F",24,6,5,11,6,-1,2,1,1,0.25,0.208,0.458
32,"Jamie Lee Rattray",31,"F",24,3,8,11,8,0,0,0,0,0.125,0.333,0.458
33,"Hannah Brandt",30,"F",24,5,5,10,4,-4,0,1,2,0.208,0.208,0.417
34,"Hayley Scamurra",29,"F",24,5,5,10,2,2,3,0,0,0.208,0.208,0.417
35,"Sophie Jaques",23,"D",22,2,8,10,4,-1,0,0,0,0.091,0.364,0.455
36,"Jocelyne Larocque",35,"D",23,1,9,10,6,8,0,0,0,0.043,0.391,0.435
37,"Claire Dalton",23,"F",20,5,4,9,0,3,1,1,1,0.25,0.2,0.45
38,"Kristin O'Neill",25,"F",23,4,5,9,8,-1,3,0,1,0.174,0.217,0.391
39,"Blayre Turnbull",30,"F",24,3,6,9,16,4,0,0,0,0.125,0.25,0.375
40,"Rebecca Leslie",27,"F",24,2,7,9,12,2,0,0,0,0.083,0.292,0.375
41,"Amanda Boulier",30,"D",23,1,8,9,2,1,0,0,0,0.043,0.348,0.391
42,"Michela Cava",29,"F",24,5,3,8,4,3,0,0,0,0.208,0.125,0.333
43,"Aneta Tejralova",27,"D",23,2,6,8,8,-5,1,0,1,0.087,0.261,0.348
44,"Brittany Howard",28,"F",23,2,6,8,10,0,0,0,0,0.087,0.261,0.348
45,"Lee Stecklein",29,"D",24,2,6,8,16,0,0,0,0,0.083,0.25,0.333
46,"Chloe Aurard",24,"F",21,1,7,8,2,-7,0,0,0,0.048,0.333,0.381
47,"Loren Gabel",26,"F",17,4,3,7,2,-1,0,0,1,0.235,0.176,0.412
48,"Ashton Bell",24,"D",24,2,5,7,2,3,0,0,0,0.083,0.208,0.292
49,"Taylor Girard",25,"F",23,4,2,6,4,-7,0,1,0,0.174,0.087,0.261
50,"Theresa Schafzahl",23,"F",20,3,3,6,0,5,0,0,2,0.15,0.15,0.3
51,"Kali Flanagan",28,"D",24,3,3,6,2,7,1,0,2,0.125,0.125,0.25
52,"Denisa Krizova",29,"F",24,3,3,6,8,0,0,0,0,0.125,0.125,0.25
53,"Maggie Connors",23,"F",24,3,3,6,6,2,0,0,0,0.125,0.125,0.25
54,"Catherine Dubois",28,"F",21,2,4,6,12,-4,1,0,1,0.095,0.19,0.286
55,"Gabrielle David",24,"F",23,2,4,6,4,4,0,0,0,0.087,0.174,0.261
56,"Natalie Buchbinder",24,"D",24,2,4,6,0,6,0,0,0,0.083,0.167,0.25
57,"Natalie Snodgrass",25,"F",23,1,5,6,10,-3,0,0,0,0.043,0.217,0.261
