POS,COUNTRY,ATHLETE,RECORD,DISTANCE,GENDER,TIME,SPEED,REC,PODIUM
1,AUS,Isaac BEACROFT,AU20R,10000,Man,39.93333333333333,250.41736227045078,TRUE,TRUE
2,CHN,Shengji SHI,NONE,10000,Man,39.95,250.31289111389233,FALSE,TRUE
3,CHN,Jiawei LUO,NONE,10000,Man,40.05,249.68789013732837,FALSE,TRUE
4,JPN,Sotaro OSAKA,PB,10000,Man,40.5,246.91358024691357,TRUE,FALSE
5,ITA,Giuseppe DISABATO,PB,10000,Man,40.53333333333333,246.71052631578948,TRUE,FALSE
6,JPN,Taisei YOSHIZAKO,PB,10000,Man,40.65,246.00246002460025,TRUE,FALSE
7,TUR,Şeyhmus ÇAPAT,NU20R,10000,Man,40.7,245.7002457002457,TRUE,FALSE
8,ESP,Daniel MONFORT,PB,10000,Man,40.71666666666667,245.59967253376993,TRUE,FALSE
9,GER,Frederick WEIGEL,PB,10000,Man,40.88333333333333,244.59845087647778,TRUE,FALSE
10,COL,Jesus Leonardo RAMIREZ,PB,10000,Man,40.88333333333333,244.59845087647778,TRUE,FALSE
11,CHN,Chenjie LI,NONE,10000,Man,40.9,244.49877750611248,FALSE,FALSE
12,ESP,Miguel ESPINOSA OLIVARES,PB,10000,Man,40.916666666666664,244.3991853360489,TRUE,FALSE
13,AUS,Riley COUGHLAN,PB,10000,Man,41.05,243.605359317905,TRUE,FALSE
14,ESP,Daniel MORILLA GARCIA,PB,10000,Man,41.11666666666667,243.21037697608432,TRUE,FALSE
15,AUS,Marcus WAKIM,PB,10000,Man,41.25,242.42424242424244,TRUE,FALSE
16,JPN,Yuki SHIMODA,PB,10000,Man,41.25,242.42424242424244,TRUE,FALSE
17,COL,Julian Andres ALFONSO,PB,10000,Man,41.666666666666664,240,TRUE,FALSE
18,GER,Nick Joel RICHARDT,PB,10000,Man,41.833333333333336,239.0438247011952,TRUE,FALSE
19,MEX,Emiliano BARBA,PB,10000,Man,41.86666666666667,238.85350318471336,TRUE,FALSE
20,TUR,Mehmet GÜNGÖR,PB,10000,Man,41.9,238.66348448687353,TRUE,FALSE
21,FRA,Quentin CHENUET,PB,10000,Man,41.95,238.37902264600714,TRUE,FALSE
22,FRA,Bastien PICART,PB,10000,Man,42.05,237.81212841854935,TRUE,FALSE
23,ECU,Alex Mateo SANCHEZ GUAMAN,PB,10000,Man,42.1,237.52969121140143,TRUE,FALSE
24,MEX,Oscar BOCANEGRA,PB,10000,Man,42.266666666666666,236.59305993690853,TRUE,FALSE
25,COL,Juan Pablo ROJAS,PB,10000,Man,42.38333333333333,235.94180102241447,TRUE,FALSE
26,UKR,Oleksii POLISHCHUK,PB,10000,Man,42.583333333333336,234.8336594911937,TRUE,FALSE
27,SVK,Filip KRESTIANKO,PB,10000,Man,42.666666666666664,234.375,TRUE,FALSE
28,ITA,Alessio COPPOLA,PB,10000,Man,42.75,233.91812865497076,TRUE,FALSE
29,FRA,Hugo ELLUL,PB,10000,Man,42.95,232.8288707799767,TRUE,FALSE
30,ITA,Andrea DI CARLO,PB,10000,Man,42.96666666666667,232.73855702094647,TRUE,FALSE
31,CZE,Albert KUKLA,NONE,10000,Man,43.483333333333334,229.97316979685704,FALSE,FALSE
32,SVK,Jakub BÁTOVSKÝ,PB,10000,Man,43.483333333333334,229.97316979685704,TRUE,FALSE
