NOC,total_medals,total_points,total_gold,total_silver,total_bronze
ARG,4,7,1,1,2
AUS,40,77,11,15,14
AUT,5,8,0,3,2
BEL,9,16,0,7,2
BLR,7,12,2,1,4
BUL,14,24,3,4,7
CAN,41,76,9,17,15
CHN,9,15,1,4,4
CRO,5,10,1,3,1
CZE,5,10,1,3,1
DEN,24,43,7,5,12
ESP,1,2,0,1,0
EST,3,5,0,2,1
EUN,1,1,0,0,1
FIN,7,14,3,1,3
FRA,40,72,8,16,16
FRG,14,26,4,4,6
GBR,68,154,31,24,13
GDR,48,121,33,7,8
GER,59,131,27,18,14
GRE,8,14,1,4,3
HUN,3,4,0,1,2
IRL,1,2,0,1,0
ITA,44,87,14,15,15
LTU,3,4,0,1,2
NED,31,57,7,12,12
NOR,17,29,3,6,8
NZL,24,49,11,3,10
POL,18,29,4,3,11
ROU,38,86,19,10,9
RSA,3,6,1,1,1
RUS,4,6,1,0,3
SLO,5,8,1,1,3
SUI,24,46,7,8,9
SWE,2,4,0,2,0
TCH,11,17,2,2,7
UKR,3,6,1,1,1
URS,42,86,12,20,10
URU,4,5,0,1,3
USA,89,187,33,32,24
YUG,5,8,1,1,3
