minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,points
37,14,26,5,9,9,11,1,5,6,6,0,1,1,5,42
30,12,23,2,5,0,0,0,3,3,9,1,1,1,1,26
35,10,22,1,6,1,2,1,3,4,8,3,0,3,2,22
35,10,26,2,7,11,12,2,4,6,3,3,2,1,1,33
27,9,14,2,2,7,7,0,0,0,12,0,2,2,0,27
31,10,23,3,6,10,12,3,4,7,8,1,0,0,2,33
34,15,25,0,2,7,9,0,3,3,6,3,0,0,0,37
33,10,23,3,6,9,10,0,8,8,5,0,0,5,2,32
37,7,29,1,7,11,11,0,3,3,8,2,2,1,2,26
30,13,18,2,2,2,2,0,6,6,9,1,0,1,2,30
34,11,27,0,5,9,11,1,1,2,8,0,1,1,1,31
38,17,26,4,6,10,10,0,4,4,6,3,1,2,1,48
39,11,20,2,7,10,11,1,4,5,7,1,0,5,3,34
36,8,14,3,7,6,6,1,2,3,7,1,2,3,2,25
35,15,32,2,11,8,8,2,6,8,5,0,3,1,3,40
35,14,25,3,5,10,10,0,2,2,8,2,0,4,5,41
36,18,30,5,9,10,10,2,3,5,7,1,1,2,1,51
32,10,19,3,5,8,9,2,2,4,8,1,2,0,1,31
34,12,23,3,7,4,4,0,3,3,5,2,0,1,0,31
34,7,11,1,2,12,13,2,4,6,5,2,0,3,2,27
42,11,20,3,5,14,17,1,9,10,8,0,0,4,5,39
38,13,24,3,6,8,11,0,8,8,8,3,3,5,3,37
32,7,16,1,4,6,6,0,2,2,8,1,3,3,1,21
34,6,21,1,2,11,11,2,6,8,9,0,0,1,2,24
38,11,22,4,9,6,9,1,4,5,9,2,0,1,4,32
31,10,20,4,9,7,8,0,1,1,2,3,1,1,1,31
34,8,26,3,5,13,16,0,0,0,8,0,2,0,5,32
29,5,12,1,6,14,14,1,3,4,6,1,0,2,1,25
34,18,29,3,7,11,12,2,6,8,5,2,1,1,3,50
22,15,19,2,3,2,3,0,3,3,6,0,0,3,1,34
30,10,20,1,6,8,10,3,3,6,9,0,2,4,2,29
39,16,29,2,6,18,21,0,3,3,4,1,0,3,4,52
37,12,25,2,4,9,9,1,4,5,1,3,0,2,1,35
40,12,25,1,3,6,6,1,0,1,7,0,0,3,4,31
37,17,35,3,10,17,18,3,5,8,5,3,2,3,3,54
29,8,14,1,4,10,10,1,2,3,10,4,1,2,1,27
29,17,26,1,5,5,5,0,3,3,8,2,0,2,1,40
33,12,15,1,3,7,8,1,2,3,9,2,1,4,4,32
30,5,17,1,4,16,17,1,6,7,4,2,0,3,3,27
29,15,21,1,1,8,8,0,3,3,2,2,1,2,2,39
38,13,27,1,6,4,4,1,4,5,4,3,2,5,5,31
39,11,23,3,6,8,8,2,9,11,6,3,2,3,2,33
37,12,26,2,3,7,7,1,3,4,7,1,1,2,1,33
30,9,17,2,5,9,9,0,3,3,8,2,0,1,1,29
34,15,23,3,5,7,9,1,2,3,2,4,0,3,1,40
28,14,19,1,5,6,6,0,6,6,7,1,4,1,1,35
33,8,15,1,6,5,6,1,3,4,6,2,1,6,4,22
38,15,22,4,5,11,11,0,7,7,8,1,2,1,2,45
35,14,25,3,6,10,10,3,6,9,3,3,3,3,3,41
38,10,25,3,9,2,2,2,5,7,4,2,0,3,1,25
36,15,26,1,5,4,4,0,4,4,6,4,2,4,1,35
36,8,24,2,9,3,4,0,4,4,2,2,0,3,3,21
38,8,21,2,6,14,15,0,8,8,6,5,1,1,3,32
38,15,23,5,9,4,4,0,8,8,5,3,1,2,3,39
34,10,18,1,3,10,12,0,2,2,4,0,0,4,5,31
30,11,22,1,10,7,8,0,4,4,5,2,2,2,2,30
30,11,19,2,6,2,2,1,5,6,7,3,0,0,4,26
36,10,19,3,7,9,11,2,6,8,5,2,0,2,2,32
37,13,28,3,10,7,8,3,3,6,9,2,1,3,3,36
39,13,28,3,12,6,10,0,9,9,5,1,2,3,3,35
35,13,20,4,7,7,11,0,4,4,11,0,0,6,2,37
39,7,19,0,2,14,14,2,3,5,4,3,1,2,2,28
37,11,20,5,8,5,6,0,3,3,8,3,0,4,3,32
38,13,19,1,1,9,11,0,2,2,8,2,2,1,1,36
33,11,25,2,7,4,4,3,3,6,4,0,1,2,2,28
33,12,25,3,7,2,3,0,5,5,5,2,2,2,0,29
39,13,21,4,8,15,16,0,3,3,9,5,2,1,3,45
34,6,17,0,2,12,14,1,4,5,4,0,1,4,0,24
29,11,16,1,2,6,7,1,4,5,4,1,1,3,2,29
39,10,19,0,3,8,10,0,2,2,6,1,1,8,1,28
35,8,16,1,3,4,4,0,6,6,9,1,0,4,4,21
31,7,14,2,4,9,9,0,3,3,9,0,1,3,2,25
28,12,18,1,6,5,6,1,6,7,6,1,0,3,1,30
28,7,20,2,10,2,2,0,4,4,5,1,0,1,1,18
36,11,24,3,8,10,11,2,9,11,9,3,3,1,3,35
30,9,21,2,9,3,3,2,6,8,2,4,0,1,1,23
36,11,24,2,6,4,5,2,5,7,8,2,3,2,2,28
