"","Player","Pos","GP","GS","MIN","G","A","YC","RC","Career Caps","Career Goals","Sex"
"1","Albert, Korbin","M",21,11,1162,1,1,1,NA,22,1,"Female"
"2","Bethune, Croix","M",3,0,25,0,0,0,NA,3,0,"Female"
"3","Campbell, Jane","GK",1,1,90,0,0,0,NA,8,NA,"Female"
"4","Coffey, Sam","M",21,19,1589,0,2,4,NA,28,1,"Female"
"5","Dahlkemper, Abby","D",4,3,253,0,0,0,NA,84,0,"Female"
"6","Davidson, Tierna","D",14,14,1151,2,0,0,NA,65,3,"Female"
"7","Dunn, Crystal","D",15,12,1095,1,1,0,NA,155,25,"Female"
"8","Fox, Emily","D",23,18,1703,0,1,0,NA,62,1,"Female"
"9","Gaetino, Eva","D",1,1,69,0,0,0,NA,1,0,"Female"
"10","Girma, Naomi","D",18,18,1637,2,0,0,NA,44,2,"Female"
"11","Haught, Mandy","GK",1,1,90,0,0,0,NA,1,NA,"Female"
"12","Hershfelt, Hal","M",3,1,134,0,0,0,NA,3,0,"Female"
"13","Horan, Lindsey","M",22,21,1804,5,3,2,NA,161,36,"Female"
"14","Krueger, Casey","D",18,4,559,0,2,0,NA,60,0,"Female"
"15","Lavelle, Rose","M",18,14,1130,0,3,0,NA,110,24,"Female"
"16","Macario, Catarina","F",2,1,73,0,1,0,NA,19,8,"Female"
"17","Mace, Hailie","D",1,1,60,0,0,0,NA,9,0,"Female"
"18","Malonson, Alyssa","D",1,1,69,0,0,0,NA,1,0,"Female"
"19","Morgan, Alex","F",9,7,515,2,1,2,NA,224,123,"Female"
"20","Moultrie, Olivia","M",3,2,129,2,0,0,NA,5,2,"Female"
"21","Murphy, Casey","GK",3,3,270,0,0,0,NA,20,NA,"Female"
"22","Naeher, Alyssa","GK",18,18,1710,0,0,1,NA,115,NA,"Female"
"23","Nighswonger, Jenna","D",16,10,857,2,1,0,NA,18,2,"Female"
"24","Purce, Margaret","F",4,1,150,0,2,0,NA,30,4,"Female"
"25","Rodman, Trinity","F",18,15,1289,3,4,2,NA,46,10,"Female"
"26","Ryan, Yazmeen","F",4,2,209,0,1,1,NA,4,0,"Female"
"27","Sams, Emily","D",2,1,111,0,0,0,NA,2,0,"Female"
"28","Sanchez, Ashley","M",1,1,90,0,0,0,NA,28,3,"Female"
"29","Sauerbrunn, Becky","D",2,2,180,0,0,0,NA,219,0,"Female"
"30","Sears, Emma","F",3,2,170,1,1,0,NA,3,1,"Female"
"31","Sentnor, Ally","F",2,0,10,0,0,0,NA,2,0,"Female"
"32","Shaw, Jaedyn","F",17,9,764,6,1,1,NA,21,8,"Female"
"33","Smith, Sophia","F",20,12,1194,9,4,0,NA,58,24,"Female"
"34","Sonnett, Emily","D",20,8,1126,0,0,2,NA,103,2,"Female"
"35","Staab, Sam","D",2,1,120,0,0,0,NA,2,0,"Female"
"36","Swanson, Mallory","F",15,12,1113,6,4,0,NA,103,38,"Female"
"37","Thompson, Alyssa","F",4,2,232,1,0,0,NA,13,1,"Female"
"38","Williams, Lynn","F",16,4,695,4,1,0,NA,75,21,"Female"
"39","Yohannes, Lily","M",2,0,43,1,0,0,NA,2,1,"Female"
"40","Aaronson, Brenden","F",9,4,396,0,0,0,0,47,8,"Male"
"41","Adams, Tyler","M",6,4,276,1,0,1,0,42,2,"Male"
"42","Atencio, Josh","M",1,1,61,0,0,0,0,1,0,"Male"
"43","Bajraktarevic, Esmir","M",1,0,29,0,0,0,0,1,0,"Male"
"44","Balogun, Folarin","F",9,7,536,2,2,1,0,17,5,"Male"
"45","Busio, Gianluca","M",4,2,169,0,0,0,0,17,1,"Male"
"46","Cardoso, Johnny","M",9,3,329,0,0,0,0,18,0,"Male"
"47","Carter-Vickers, Cameron","D",2,0,73,0,0,0,0,18,0,"Male"
"48","Cowell, Cade","F",3,0,33,0,0,0,0,11,1,"Male"
"49","de la Torre, Luca","M",4,0,92,1,0,1,0,24,1,"Male"
"50","Dest, Sergiño","D",1,1,90,0,0,0,0,33,2,"Male"
"51","Fossey, Marlon","D",1,1,90,0,0,0,0,1,0,"Male"
"52","Horvath, Ethan","GK",1,0,45,0,0,0,0,10,0,"Male"
"53","Jackson, Aziel","F",1,0,1,0,0,0,0,1,0,"Male"
"54","Jones, DeJuan","D",1,1,90,0,0,0,0,8,0,"Male"
"55","Kamungo, Bernard","F",1,1,61,0,0,0,0,1,0,"Male"
"56","Luna, Diego","F",1,1,77,0,0,0,0,1,0,"Male"
"57","Lund, Kristoffer","D",4,2,224,0,0,0,0,7,0,"Male"
"58","McGlynn, Jack","M",1,0,29,0,0,0,0,1,0,"Male"
"59","McGuire, Duncan","F",1,0,28,0,0,0,0,1,0,"Male"
"60","McKennie, Weston","M",9,9,770,0,2,3,0,58,11,"Male"
"61","McKenzie, Mark","D",4,4,360,0,0,0,0,17,0,"Male"
"62","Moore, Shaq","D",2,1,66,0,0,0,0,19,1,"Male"
"63","Morris, Aidan","M",5,4,377,0,1,1,0,9,0,"Male"
"64","Musah, Yunus","M",12,9,707,1,1,0,0,45,1,"Male"
"65","Pepi, Ricardo","F",11,4,497,3,0,0,0,33,13,"Male"
"66","Pulisic, Christian","F",12,11,963,4,3,0,0,76,32,"Male"
"67","Ream, Tim","D",11,11,955,0,0,0,1,66,1,"Male"
"68","Reyna, Gio","M",7,6,482,1,2,0,0,31,8,"Male"
"69","Richards, Chris","D",9,9,840,0,0,2,0,23,1,"Male"
"70","Robinson, Antonee","D",11,11,952,0,2,2,0,50,4,"Male"
"71","Robinson, Miles","D",3,3,300,0,0,0,0,30,3,"Male"
"72","Sargent, Josh","F",4,2,154,0,0,0,0,27,5,"Male"
"73","Scally, Joe","D",11,11,929,0,0,1,0,19,0,"Male"
"74","Schulte, Patrick","GK",2,2,180,0,0,0,0,2,0,"Male"
"75","Tessmann, Tanner","M",4,2,227,0,0,0,0,6,0,"Male"
"76","Tillman, Malik","M/F",9,3,335,0,0,0,0,17,0,"Male"
"77","Tillman, Timmy","M",1,1,89,0,0,0,0,1,0,"Male"
"78","Tolkin, John","D",1,0,29,0,0,0,0,4,0,"Male"
"79","Trusty, Auston","D",2,0,10,0,0,0,0,4,0,"Male"
"80","Turner, Matt","GK",12,12,1065,0,0,1,0,49,0,"Male"
"81","Vazquez, brandon","F",3,0,58,0,0,0,0,11,4,"Male"
"82","Weah, Tim","F",7,7,495,2,1,0,1,42,7,"Male"
"83","White, Brian","F",1,1,62,0,0,1,0,1,0,"Male"
"84","Wiley, Caleb","D",2,0,37,0,0,0,0,3,0,"Male"
"85","Wright, Haji","F",8,2,305,2,1,0,0,15,4,"Male"
"86","Zawadzki, Sean","D",1,1,90,0,0,0,0,1,0,"Male"
"87","Zendejas, Alex","F",4,0,55,0,0,1,0,11,1,"Male"
