"Season","Series","City","Country","Year","Month","Day","Distance","Round","Group","Num_Skater","Name","Nationality","Rank_In_Group","Start_Position","Time","Qualification","rank_lap1","time_lap1","rank_lap2","time_lap2","rank_lap3","time_lap3","rank_lap4","time_lap4","rank_lap5","time_lap5","Time_Event"
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",1,35,"Yuri CONFORTOLA","ITA",1,4,43.459,"Q",3,7.52,1,9.22,1,8.76,1,8.87,1,9.09,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",1,61,"Serhiy LIFYRENKO","UKR",2,2,43.79,"Q",1,7.44,2,9.31,2,8.89,2,8.88,2,9.27,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",1,11,"Vojtech LOUDIN","CZE",3,1,44.676,"",4,7.64,3,9.74,3,9.04,3,9.05,3,9.21,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",1,12,"Lasse WILMS","DEN",4,3,46.462,"",2,7.46,4,9.93,4,9.5,4,9.67,4,9.91,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",2,55,"Vladimir GRIGOREV","RUS",1,4,42.776,"Q",2,7.08,2,9.18,2,8.76,2,8.86,1,8.9,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",2,15,"FAUCONNET Thibaut","FRA",2,1,42.822,"Q",1,6.95,1,9.24,1,8.77,1,8.86,2,9.01,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",2,59,"Selim TANRIKULU","TUR",3,3,43.962,"q",4,7.49,3,9.37,3,8.94,3,9.05,3,9.12,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",2,13,"Alvaro PENA","ESP",4,2,46.191,"",3,7.41,4,9.86,4,9.47,4,9.62,4,9.84,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",3,43,"Freek van der WART","NED",1,2,42.346,"Q",1,7.06,1,9.09,1,8.59,1,8.69,1,8.92,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",3,40,"Roberto PUKITIS","LAT",2,1,43.64,"Q",3,7.31,3,9.32,3,8.85,2,8.92,2,9.24,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",3,60,"Ievgen GUTENOV","UKR",3,3,44.039,"",2,7.3,2,9.29,2,8.83,3,9.19,3,9.43,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",3,56,"Miodrag POPOVIC","SRB",4,4,47.99,"",4,7.63,4,10.12,4,9.86,4,10.07,4,10.31,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",4,25,"Paul HERRMANN","GER",1,4,42.654,"Q",4,7.4,3,9.08,2,8.59,1,8.66,1,8.93,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",4,31,"LIU Shaolin Sandor","HUN",2,2,42.83,"Q",1,7,1,9.19,1,8.73,2,8.93,2,8.98,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",4,7,"Kiril PANDOV","BUL",3,3,43.283,"q",2,7.1,2,9.26,3,8.83,3,8.91,3,9.19,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",4,58,"Myukerrem TOP","TUR",4,1,43.718,"",3,7.22,4,9.46,4,8.89,4,8.96,4,9.19,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",5,53,"ELISTRATOV Semen","RUS",1,3,42.193,"Q",2,7.03,2,9.17,2,8.66,2,8.62,1,8.72,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",5,29,"KNOCH Viktor","HUN",2,1,42.197,"Q",1,6.91,1,9.06,1,8.63,1,8.69,2,8.91,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",5,4,"Maksim SIARHEYU","BLR",3,2,43.01,"q",3,7.2,3,9.14,3,8.76,3,8.87,3,9.04,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",5,1,"Nihad BASIC","BIH",4,4,45.608,"",4,7.33,4,9.69,4,9.23,4,9.55,4,9.81,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",6,52,"AN Victor","RUS",1,1,42.457,"Q",1,7.14,1,9.21,1,8.57,1,8.71,1,8.83,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",6,49,"Bartosz KONOPKO","POL",2,4,42.574,"Q",2,7.24,2,9.21,2,8.58,2,8.68,2,8.87,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",6,27,"Torsten KROEGER","GER",3,2,42.958,"q",3,7.4,3,9.18,3,8.57,3,8.75,3,9.06,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",6,8,"TSANKOV Tsvetan","BUL",4,3,44.333,"",4,7.52,4,9.32,4,8.91,4,9.13,4,9.46,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",7,45,"Niels KERSTHOLT","NED",1,2,41.648,"Q",1,6.92,1,9.03,1,8.53,1,8.48,1,8.69,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",7,20,"Paul STANLEY","GBR",2,3,42.183,"Q",2,7.01,2,9.02,2,8.51,2,8.67,2,8.98,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",7,24,"Jonas KAUFMANN-LUDWIG","GER",3,1,42.325,"q",3,7.21,3,8.96,3,8.51,3,8.66,3,8.99,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",7,2,"Yauheni RYZHOU","BLR",4,4,43.592,"",4,7.32,4,9.17,4,8.87,4,9.01,4,9.23,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",8,23,"Jon ELEY","GBR",1,4,42.594,"Q",2,6.98,1,9.05,1,8.72,1,8.84,1,9.01,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",8,50,"Adam FILIPOWICZ","POL",2,2,42.822,"Q",1,6.88,2,9.22,2,8.75,2,8.91,2,9.07,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",8,36,"DOTTI Tommaso","ITA",3,3,43.572,"q",4,7.28,4,9.17,4,8.71,4,8.79,3,9.63,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",8,34,"BYKANOV Vladislav","ISR",,1,,"PEN",3,7.15,3,9.1,3,8.68,3,8.89,,,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",9,41,"KNEGT Sjinkie","NED",1,1,42.358,"Q",1,7,1,9.2,1,8.65,1,8.71,1,8.8,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",9,16,"Maxime CHATAIGNIER","FRA",2,3,42.529,"Q",2,7.07,2,9.26,2,8.63,2,8.72,2,8.85,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",9,22,"WHELBOURNE Jack","GBR",3,2,45.255,"",3,8.4,3,9.49,3,8.76,3,8.98,3,9.63,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",1,55,"Vladimir GRIGOREV","RUS",1,2,41.461,"Q",1,6.9,1,8.84,1,8.48,1,8.53,1,8.72,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",1,43,"Freek van der WART","NED",2,1,41.589,"Q",2,7.09,2,8.81,2,8.42,2,8.55,2,8.72,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",1,4,"Maksim SIARHEYU","BLR",3,3,43.248,"",4,7.34,4,9.07,3,8.78,3,8.93,3,9.13,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",1,40,"Roberto PUKITIS","LAT",4,4,62.432,"",3,7.21,3,8.84,4,10.86,4,15.92,4,19.61,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",2,45,"Niels KERSTHOLT","NED",1,1,41.59,"Q",1,6.82,1,9.1,1,8.41,1,8.49,1,8.77,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",2,15,"FAUCONNET Thibaut","FRA",2,3,41.89,"Q",3,7.12,2,8.94,2,8.56,2,8.54,2,8.73,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",2,49,"Bartosz KONOPKO","POL",3,2,42.013,"q",2,6.96,3,9.11,3,8.6,3,8.56,3,8.79,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",2,7,"Kiril PANDOV","BUL",4,4,42.632,"",4,7.24,4,9.05,4,8.61,4,8.72,4,9.02,2013.04657534247
