Rank,Rikishi,Heya,Shusshin,Birth Date,height_cm,weight_kg,wins,losses,ties
Y1eYO,Terunofuji,Isegahama,Mongolia,29.11.1991,191,173,0,0,15
O1w,Takakeisho,Tokiwayama,Hyogo,05.08.1996,175,183,12,3,0
S1e,Wakatakakage,Arashio,Fukushima,06.12.1994,180,129,9,6,0
S1w,Hoshoryu,Tatsunami,Mongolia,22.05.1999,186,131,8,7,0
S2e,Takayasu,Tagonoura,Ibaraki,28.02.1990,187,175,1,5,9
S2w,Shodai,Tokitsukaze,Kumamoto,05.11.1991,184,170,6,9,0
K1e,Kiribayama,Michinoku,Mongolia,24.04.1996,187,138,11,4,0
K1w,Kotonowaka,Sadogatake,Chiba,19.11.1997,188,166,8,7,0
K2e,Meisei,Tatsunami,Kagoshima,24.07.1995,180,151,5,10,0
K2w,Wakamotoharu,Arashio,Fukushima,05.10.1993,187,143,9,6,0
M1e,Tobizaru,Oitekaze,Tokyo,24.04.1992,175,131,8,7,0
M1w,Daieisho,Oitekaze,Saitama,10.11.1993,182,161,10,5,0
M2e,Mitakeumi,Dewanoumi,Nagano,25.12.1992,179,172,7,8,0
M2w,Tamawashi,Kataonami,Mongolia,16.11.1984,189,168,9,6,0
M3e,Abi,Shikoroyama,Saitama,04.05.1994,188,149,8,7,0
M3w,Midorifuji,Isegahama,Shizuoka,30.08.1996,171,114,6,9,0
M4e,Nishikifuji,Isegahama,Aomori,22.07.1996,183,143,4,11,0
M4w,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,182,139,6,9,0
M5e,Ryuden,Takadagawa,Yamanashi,10.11.1990,190,148,9,6,0
M5w,Nishikigi,Isenoumi,Iwate,25.08.1990,184,169,9,6,0
M6e,Hokutofuji,Hakkaku,Saitama,15.07.1992,185,162,7,8,0
M6w,Myogiryu,Sakaigawa,Hyogo,22.10.1986,187,155,6,9,0
M7e,Ichinojo,Minato,Mongolia,07.04.1993,192,198,0,0,15
M7w,Ura,Kise,Osaka,22.06.1992,175,136,7,8,0
M8e,Onosho,Onomatsu,Aomori,04.07.1996,177,157,10,5,0
M8w,Oho,Otake,Tokyo,14.02.2000,191,170,4,11,0
M9e,Takanosho,Tokiwayama,Chiba,14.11.1994,184,163,6,9,0
M9w,Endo,Oitekaze,Ishikawa,19.10.1990,184,148,9,6,0
M10e,Aoiyama,Kasugano,Bulgaria,19.06.1986,191,188,8,7,0
M10w,Hiradoumi,Sakaigawa,Nagasaki,20.04.2000,177,129,8,7,0
M11e,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,184,137,5,10,0
M11w,Tochinoshin,Kasugano,Georgia,13.10.1987,192,176,2,3,10
M12e,Kagayaki,Takadagawa,Ishikawa,01.06.1994,193,160,7,8,0
M12w,Okinoumi,Hakkaku,Shimane,29.07.1985,191,160,0,6,0
M13e,Kotoshoho,Sadogatake,Chiba,26.08.1999,191,156,11,4,0
M13w,Kotoeko,Sadogatake,Miyazaki,20.11.1991,177,131,7,8,0
M14e,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,187,133,10,5,0
M14w,Azumaryu,Tamanoi,Mongolia,12.05.1987,191,156,9,6,0
M15e,Tsurugisho,Oitekaze,Tokyo,27.07.1991,182,191,7,8,0
M15w,Mitoryu,Nishikido,Mongolia,25.04.1994,187,183,7,8,0
M16e,Takarafuji,Isegahama,Aomori,18.02.1987,185,166,8,7,0
M16w,Chiyomaru,Kokonoe,Kagoshima,17.04.1991,178,189,4,11,0
Y1e,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174,162,3,5,7
Y1w,Yoshibayama,Takashima,Hokkaido,03.04.1920,179,143,10,5,0
Y2eHD,Tochinishiki,Kasugano,Tokyo,20.02.1925,177,132,11,4,0
Y2wHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190,122,15,0,0
O1e,Wakanohana,Hanakago,Aomori,16.03.1928,179,105,11,4,0
O1w,Matsunobori,Oyama,Chiba,20.07.1924,172,154,9,6,0
O2eHD,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202,152,2,3,10
S1e,Asashio,Takasago,Hyogo,13.11.1929,189,145,8,7,0
S1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181,120,11,4,0
K1e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177,114,5,10,0
K1w,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176,150,6,9,0
K2wHD,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177,117,1,8,6
M1e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182,137,5,8,2
M1w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177,109,9,6,0
M2e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176,150,7,8,0
M2w,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185,108,6,9,0
M3e,Daitenryu,Nishonoseki,Saga,13.10.1928,181,102,6,9,0
M3w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180,120,3,12,0
M4e,Otachi,Dewanoumi,Fukuoka,06.10.1923,194,180,4,11,0
