X,Date,Time,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner
1,6/10/2022,1:05:00,Marchuk M.,Polysynskyi M.,3,1,11,8,11,6,6,11,11,8,NA,NA,1
2,6/10/2022,1:25:00,Sokolov S.,Sachuk S.,0,3,12,14,8,11,5,11,NA,NA,NA,NA,0
3,6/10/2022,1:35:00,Samofal Y.,Bambutsa R.,3,1,4,11,11,5,11,6,11,9,NA,NA,1
4,6/10/2022,1:55:00,Kyilo V.,Chernyshov D.,3,1,6,11,11,1,15,13,11,7,NA,NA,1
5,6/10/2022,2:05:00,Polysynskyi M.,Kostiuk B.,3,0,12,10,11,9,11,6,NA,NA,NA,NA,1
6,6/10/2022,2:30:00,Sachuk S.,Diachenko M.,2,3,11,9,11,9,5,11,10,12,0,11,0
7,6/10/2022,2:35:00,Balakiriev M.,Marchuk M.,3,1,11,8,11,7,3,11,11,9,NA,NA,1
8,6/10/2022,2:55:00,Hryshchenko O.,Sokolov S.,3,2,11,8,7,11,11,3,9,11,11,9,1
9,6/10/2022,3:05:00,Samofal Y.,Polysynskyi M.,0,3,9,11,9,11,8,11,NA,NA,NA,NA,0
10,6/10/2022,3:25:00,Kyilo V.,Sachuk S.,2,3,9,11,5,11,11,7,11,6,9,11,0
11,6/10/2022,3:35:00,Marchuk M.,Bambutsa R.,3,0,11,6,13,11,11,3,NA,NA,NA,NA,1
12,6/10/2022,3:55:00,Sokolov S.,Chernyshov D.,3,2,11,7,12,10,5,11,6,11,11,9,1
13,6/10/2022,4:05:00,Balakiriev M.,Kostiuk B.,3,2,11,5,13,11,7,11,8,11,11,8,1
14,6/10/2022,4:25:00,Hryshchenko O.,Diachenko M.,3,2,11,7,11,5,9,11,8,11,12,10,1
15,6/10/2022,4:50:00,Samofal Y.,Marchuk M.,0,3,3,11,3,11,9,11,NA,NA,NA,NA,0
16,6/10/2022,4:55:00,Kyilo V.,Sokolov S.,2,3,10,12,8,11,11,7,11,5,8,11,0
