pitch_type,count,release_speed,description
SL,3-2,89.6,hit_into_play
CU,3-2,82.8,foul
CU,2-2,81.7,ball
CH,2-2,86.1,foul
CU,2-2,82.4,foul
FF,2-2,97.7,foul
SL,2-1,89.7,foul
SL,2-0,89.9,swinging_strike
FF,1-0,97,ball
SL,0-0,88.6,ball
FF,2-2,97.1,hit_into_play
FF,1-2,97,ball
FF,1-1,95.5,foul
FF,0-1,95.5,ball
FF,0-0,96.4,foul
FF,2-2,96.2,swinging_strike
FF,1-2,97.4,ball
SL,1-2,89.3,foul
SL,0-2,88.5,ball
SL,0-1,89.3,swinging_strike
SL,0-0,88.8,called_strike
SL,2-2,89.6,called_strike
SL,1-2,89.3,ball
FF,1-2,96.1,foul
FF,1-1,95.3,swinging_strike
SL,0-1,90.5,ball
SL,0-0,87.3,swinging_strike
CU,2-2,79.9,called_strike
CU,1-2,80.6,ball
SL,1-1,87.1,called_strike
SL,1-0,87.9,foul
CU,0-0,80.4,ball
FF,1-2,96.9,called_strike
FF,1-1,94.7,swinging_strike
FF,0-1,95.5,ball
CU,0-0,78.5,called_strike
FF,1-1,94.8,hit_into_play
SL,0-1,87.3,ball
SL,0-0,86.7,foul
FF,0-0,97.4,hit_into_play
FF,1-1,95.4,hit_into_play
SL,1-0,89.4,swinging_strike
FF,0-0,95.8,ball
FF,0-1,95.7,hit_into_play
FF,0-0,94.4,called_strike
FF,3-2,96.8,ball
FF,2-2,95.8,ball
FF,2-1,95.2,foul
FF,1-1,95.3,ball
FF,0-1,95.4,ball
FF,0-0,95.6,foul
SL,2-2,88.2,swinging_strike
SL,1-2,89.4,ball
FF,1-1,95.4,foul
FF,0-1,95.4,ball
SL,0-0,88.4,called_strike
SL,2-2,89.8,swinging_strike
FF,1-2,97.8,ball
SL,0-2,89.8,blocked_ball
SL,0-1,88.7,foul
SL,0-0,87.4,swinging_strike
CU,3-1,79.6,ball
CU,2-1,78.8,ball
FF,1-1,96.7,ball
CU,0-1,81.2,ball
CU,0-0,80.6,called_strike
FF,3-1,94.9,ball
FF,2-1,95.7,ball
FF,2-0,94.3,foul
FF,1-0,95.2,ball
CU,0-0,78.7,ball
FF,0-0,94,hit_into_play
FF,0-1,95.2,hit_into_play
CU,0-0,78.2,called_strike
FF,0-0,95,hit_into_play
FF,0-2,96,hit_into_play
FF,0-1,95.2,foul
FF,0-0,95.9,swinging_strike
FF,3-2,96.1,ball
FF,3-1,95.6,called_strike
FF,2-1,95.7,ball
FF,1-1,94.8,ball
FF,0-1,95.2,ball
FF,0-0,95.3,foul
SL,1-2,87.7,hit_into_play
SL,0-2,88.3,ball
FF,0-1,94.8,foul
FF,0-0,94.9,foul
FF,1-2,95.1,hit_into_play
FF,0-2,96.3,ball
FF,0-1,94.2,foul
SL,0-0,85.8,called_strike
FF,0-1,93.5,hit_into_play
FF,0-0,93.2,called_strike
CU,1-2,80.5,swinging_strike
FF,1-2,97.9,foul
FF,0-2,97.1,ball
FF,0-1,96.6,foul
FF,0-0,95.7,foul
FF,1-2,96.3,hit_into_play
FF,0-2,95.7,ball
FF,0-1,96,foul
FF,0-0,97.1,swinging_strike
CU,0-1,81,hit_into_play
FF,0-0,95.5,foul
FF,0-1,95.4,hit_into_play
SL,0-0,87.7,foul
FF,3-2,96,ball
FF,3-2,96,foul
FF,2-2,96.5,ball
CU,2-1,79.3,called_strike
CU,2-0,79.1,foul
FF,1-0,95.5,ball
CU,0-0,79.8,ball
FF,1-1,95.8,hit_into_play
FF,1-0,92.5,foul
FF,0-0,93.5,ball
FF,1-1,96.4,hit_into_play
FF,1-0,96.2,called_strike
FF,0-0,96.5,ball
CU,3-2,81.3,ball
CU,2-2,81.7,blocked_ball
CU,2-2,81.8,foul
FF,2-2,97,foul
FF,2-2,95.9,foul
FF,2-2,96.7,foul
FF,1-2,97,ball
FF,1-1,96.8,called_strike
FF,1-0,97,swinging_strike
FF,0-0,96.2,ball
CU,0-0,82,hit_into_play
SL,1-2,88.7,hit_into_play
SL,0-2,88.9,ball
FF,0-1,97.4,foul
FF,0-0,97.2,foul
SL,0-1,87,hit_into_play
FF,0-0,95.7,foul
SL,0-2,86.8,hit_into_play
CU,0-1,79.9,called_strike
CU,0-0,79.4,called_strike
FF,0-1,94.8,hit_into_play
FF,0-0,94.4,called_strike
FF,2-2,94.9,hit_into_play
SL,1-2,87.2,ball
SL,1-2,86.1,foul
CU,1-1,77.2,called_strike
FF,1-0,94.4,swinging_strike
FF,0-0,92.4,ball
CU,0-2,79.8,called_strike
FF,0-1,94.6,foul
FF,0-0,95.5,foul
CU,0-2,79.4,hit_into_play
FF,0-1,94.4,foul
FF,0-0,94.1,swinging_strike
FF,2-2,96,swinging_strike
FF,1-2,94.7,ball
FF,1-2,94.9,foul
FF,1-1,94.1,foul
FF,1-0,93.3,called_strike
FF,0-0,93.7,ball
SL,0-2,87.2,hit_into_play
SL,0-2,85.9,foul
CU,0-1,78.4,foul
FF,0-0,94,foul
FF,1-0,94.7,hit_into_play
CU,0-0,79.5,ball
FF,0-2,95.2,swinging_strike
FF,0-1,94.3,swinging_strike
FF,0-0,93.1,swinging_strike
FF,3-2,95.4,hit_into_play
FF,3-1,95,called_strike
FF,3-0,94.1,called_strike
FF,2-0,94.8,ball
CU,1-0,78.3,ball
FF,0-0,94.7,ball
FF,1-0,95.1,hit_into_play
CU,0-0,78.5,ball
SL,2-2,86.5,called_strike
CU,2-2,79.4,foul
FF,1-2,95.6,ball
FF,0-2,95.5,ball
SL,0-2,89.1,foul
SL,0-1,87.5,called_strike
FF,0-0,94.8,called_strike
SL,3-2,88.3,swinging_strike
SL,2-2,87.2,ball
CU,2-1,78.1,foul
CU,1-1,78,ball
FF,0-1,94.4,ball
FF,0-0,93.3,called_strike
SL,0-2,88.2,called_strike
SL,0-1,86.7,called_strike
CU,0-0,77.6,called_strike
FF,1-0,93.9,hit_into_play
FF,0-0,93.4,ball
CU,0-2,79.9,swinging_strike
FF,0-2,96.1,foul
FF,0-1,94.8,called_strike
SL,0-0,86.9,called_strike
CU,3-1,80.2,hit_into_play
SL,2-1,88.9,ball
CU,2-0,80,swinging_strike
FF,1-0,95.6,ball
SL,0-0,87.8,ball
SL,1-2,88.8,swinging_strike
CU,1-1,78.7,called_strike
FF,1-0,94.1,foul
CU,0-0,77.1,ball
SL,1-2,87.9,swinging_strike
CU,1-1,80,foul
FF,1-0,95.8,called_strike
SL,0-0,87.2,ball
SL,1-2,88.4,swinging_strike
CU,0-2,81.9,ball
SL,0-1,89.2,foul
FF,0-0,95.6,called_strike
CU,0-2,80.8,swinging_strike
FF,0-2,96.3,foul
FF,0-2,95.5,foul
FF,0-1,95.9,foul
CU,0-0,78.1,called_strike
FF,3-2,98.5,called_strike
SL,2-2,89.9,ball
CU,2-1,81,swinging_strike_blocked
FF,2-0,97,called_strike
SL,1-0,89,ball
FF,0-0,96.8,ball
FF,0-2,97.9,swinging_strike
FF,0-1,97.4,foul
SL,0-0,89.3,swinging_strike
SL,1-2,88.9,hit_into_play
SL,1-1,88.7,swinging_strike
FF,1-0,95.6,foul
FF,0-0,96.2,ball
FF,3-0,95.3,ball
FF,2-0,93.7,ball
FF,1-0,94.1,ball
FF,0-0,94.2,ball
FF,1-2,95.6,hit_into_play
SL,0-2,86.6,ball
FF,0-1,95.3,foul
FF,0-0,94,swinging_strike
FF,2-2,96,hit_into_play
FF,2-1,96.4,foul
FF,2-0,96.3,foul
SL,1-0,87.5,ball
SL,0-0,87.4,blocked_ball
SL,2-2,87.4,hit_into_play
CU,2-2,79.9,foul
FF,2-2,96.4,foul
FF,2-1,95.8,swinging_strike
FF,2-0,94.2,called_strike
SL,1-0,87,ball
