Team,Conference,region,aces_per_set,assists_per_set,team_attacks_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,opp_hitting_pctg,W,L,win_loss_pctg
Lafayette,Patriot,East,2.33,11.01,34.54,1.31,13.6,0.18,11.93,0.227,8,15,0.348
Delaware St.,MEAC,Southeast,2.2,11.45,29.98,2.17,12.58,0.25,12.12,0.137,24,7,0.774
Yale,Ivy League,East,2.15,12.6,35.39,1.82,15.29,0.242,13.9,0.155,23,3,0.885
Coppin St.,MEAC,Southeast,2.15,10.56,32.52,1.81,14.22,0.194,11.54,0.17,23,11,0.676
Saint Louis,Atlantic 10,East,2.03,11.61,34.1,1.83,14.27,0.201,12.4,0.188,18,13,0.581
UTEP,C-USA,South,1.98,11.46,31.53,2.39,12.59,0.226,12.24,0.175,17,13,0.567
Samford,SoCon,Southeast,1.93,12.26,37.03,1.73,15.39,0.227,13.7,0.202,19,13,0.594
Lipscomb,ASUN,Southeast,1.91,12.91,35.55,1.85,13.21,0.238,13.63,0.23,16,13,0.552
Southern Ill.,MVC,Midwest,1.91,13.18,36.45,1.36,15.17,0.248,14.11,0.237,18,13,0.581
Howard,MEAC,Southeast,1.91,11.91,31.61,1.73,13.2,0.255,13.01,0.179,20,10,0.667
Western Ky.,C-USA,South,1.9,12.59,31.05,2.56,12.48,0.318,13.6,0.185,29,4,0.879
Middle Tenn.,C-USA,South,1.9,11.19,30.54,2,12.62,0.253,12.22,0.228,15,14,0.517
Alabama,SEC,Southeast,1.88,11.28,36.34,2.19,13.72,0.169,12.32,0.222,10,20,0.333
Siena,MAAC,East,1.87,11.22,36.37,1.7,15.3,0.183,12.13,0.184,13,17,0.433
Dayton,Atlantic 10,East,1.86,11.59,34.44,2.37,13.62,0.223,12.74,0.191,20,14,0.588
Alabama St.,SWAC,South,1.85,10.69,30.6,2.02,12.87,0.212,11.59,0.186,20,15,0.571
FGCU,ASUN,Southeast,1.85,12.69,32.97,2.06,13.96,0.263,13.47,0.172,26,7,0.788
Ga. Southern,Sun Belt,South,1.84,11.28,34.55,2.03,15.3,0.21,12.13,0.176,16,12,0.571
North Carolina,ACC,East,1.84,11.51,34.63,2.31,13.86,0.208,12.82,0.209,17,12,0.586
Canisius,MAAC,East,1.83,11.3,36.83,1.7,15.93,0.184,12.18,0.191,13,15,0.464
Fla. Atlantic,C-USA,South,1.82,12.58,34.91,1.95,13.6,0.226,13.27,0.213,13,13,0.5
Pacific,WCC,West,1.82,11.85,34.43,1.14,13.85,0.18,12.93,0.211,18,14,0.562
Quinnipiac,MAAC,East,1.82,11.41,34.86,1.61,14.73,0.192,12.44,0.202,14,15,0.483
Dartmouth,Ivy League,East,1.8,11.93,36.35,2.2,15.44,0.221,13.11,0.192,16,9,0.64
Cornell,Ivy League,East,1.8,10.87,33.77,1.78,12.89,0.21,12.06,0.255,6,17,0.261
Northeastern,CAA,East,1.79,11.4,32.76,2.03,13.1,0.21,12.16,0.192,14,13,0.519
Lamar University,Southland,South,1.79,11.12,36.11,2.06,14.43,0.184,12.14,0.217,9,20,0.31
Saint Francis,NEC,East,1.79,11.95,35.5,1.35,14.49,0.18,12.66,0.204,12,16,0.429
San Jose St.,Mountain West,West,1.79,12.95,33.79,2.28,13.15,0.237,13.89,0.21,21,9,0.7
James Madison,Sun Belt,East,1.79,12.08,33.23,2.66,13.39,0.27,13.13,0.207,24,5,0.828
Mercer,SoCon,Southeast,1.78,10.71,32.46,1.64,12.26,0.206,11.95,0.238,10,19,0.345
Marquette,Big East,Midwest,1.78,13.34,34.78,1.98,15.7,0.287,14.41,0.185,29,4,0.879
Indiana,Big Ten,Midwest,1.77,11.01,33.37,2.03,12.85,0.192,12.19,0.195,16,16,0.5
Georgia,SEC,Southeast,1.77,11.98,32.54,2.64,12.32,0.236,12.88,0.187,23,8,0.742
UMBC,America East,East,1.76,11.85,34.15,2.42,13.48,0.216,12.68,0.192,17,9,0.654
Towson,CAA,East,1.76,12.89,32.73,2.89,13.15,0.274,13.79,0.142,29,2,0.935
New Hampshire,America East,East,1.76,10.45,33.14,2.12,14.43,0.217,11.62,0.167,19,10,0.655
Portland,WCC,West,1.76,10.51,32.45,1.94,12.79,0.195,11.47,0.24,10,19,0.345
Iona,MAAC,East,1.76,11.59,38.05,2.07,17.72,0.181,12.34,0.168,17,12,0.586
Illinois,Big Ten,Midwest,1.75,12.01,33.07,2.32,12.08,0.224,12.81,0.212,15,15,0.5
Texas,Big 12,South,1.75,13.54,31.34,2.5,13.43,0.336,14.43,0.163,28,1,0.966
Binghamton,America East,East,1.74,11.41,32.83,2.6,14.01,0.246,12.36,0.167,17,9,0.654
Kennesaw St.,ASUN,Southeast,1.74,12.22,35.05,2.04,14.52,0.246,13.42,0.217,18,10,0.643
Lehigh,Patriot,East,1.73,10.09,31.64,2.68,13.33,0.216,11.21,0.165,13,15,0.464
Loyola Chicago,Atlantic 10,Midwest,1.72,12.62,34.02,2.15,14.74,0.248,13.73,0.185,25,9,0.735
Stony Brook,CAA,East,1.72,11.57,35.8,1.74,14.08,0.212,12.62,0.241,10,16,0.385
Utah St.,Mountain West,West,1.72,12.52,33.88,2.26,13.45,0.23,13.35,0.203,22,11,0.667
Utah Valley,WAC,West,1.72,11.98,32.77,2.62,12.05,0.225,12.93,0.202,18,11,0.621
Florida A&M,SWAC,Southeast,1.72,11.86,33.68,1.74,14.79,0.222,12.85,0.175,21,13,0.618
App State,Sun Belt,South,1.71,11.24,34.03,2.03,14.32,0.226,12.09,0.187,18,10,0.643
N.C. Central,MEAC,Southeast,1.71,8.73,30.93,1.34,12.33,0.147,9.52,0.243,7,19,0.269
Norfolk St.,MEAC,Southeast,1.7,9.37,31.36,1.8,12.42,0.158,10.17,0.207,7,18,0.28
Southern Miss.,Sun Belt,South,1.69,12.13,36.43,1.68,15.18,0.23,13.43,0.223,21,12,0.636
Jacksonville St.,ASUN,South,1.69,12.65,32.4,1.85,14.13,0.287,13.58,0.187,24,6,0.8
Presbyterian,Big South,Southeast,1.69,10.59,35.39,1.47,14.6,0.164,11.51,0.229,9,19,0.321
Central Ark.,ASUN,South,1.68,11.53,34.78,1.63,14.85,0.202,12.5,0.216,19,11,0.633
Washington,Pac-12,West,1.68,12.83,32.79,1.79,12.59,0.284,13.73,0.245,20,11,0.645
Louisville,ACC,East,1.68,12.02,30.75,2.97,12.78,0.285,13,0.154,31,3,0.912
IUPUI,Horizon,Midwest,1.68,10.8,35.68,1.75,14.64,0.162,11.73,0.224,9,21,0.3
Grambling,SWAC,South,1.67,10.93,36.72,1.83,16.3,0.166,11.98,0.144,15,12,0.556
Gonzaga,WCC,West,1.67,8.93,33.36,1.79,13.26,0.161,9.85,0.261,6,23,0.207
Wisconsin,Big Ten,Midwest,1.67,12.32,33.48,3.08,13.66,0.267,13.25,0.146,28,4,0.875
Kentucky,SEC,Southeast,1.67,13.67,35.29,2.6,13.78,0.285,14.75,0.21,22,8,0.733
SFA,WAC,South,1.66,12.71,37.47,2.15,16.61,0.247,14.02,0.177,26,5,0.839
Kansas St.,Big 12,South,1.66,11.44,35.27,2.59,14.28,0.208,12.39,0.195,15,14,0.517
Holy Cross,Patriot,East,1.66,8.87,33.88,1.53,14.4,0.111,9.76,0.244,3,24,0.111
Rider,MAAC,East,1.66,10.98,34.48,1.5,14.76,0.168,11.75,0.217,11,20,0.355
Southern California,Pac-12,West,1.66,13.03,32.59,1.98,12.95,0.288,13.9,0.23,22,11,0.667
Sacramento St.,Big Sky,West,1.66,10.82,33.59,2.66,13.72,0.205,11.88,0.177,15,15,0.5
