Name,Nation,SP,FS,Year,TP,Sex
Shizuka Arakawa,Japan,66.02,125.32,2006,191.34,Female
Sasha Cohen,United States,66.73,116.63,2006,183.36,Female
Irina Slutskaya,Russia,66.7,114.74,2006,181.44,Female
Fumie Suguri,Japan,61.75,113.48,2006,175.23,Female
Joannie Rochette,Canada,55.85,111.42,2006,167.27,Female
Kimmie Meissner,United States,59.4,106.31,2006,165.71,Female
Emily Hughes,United States,57.08,103.79,2006,160.87,Female
Sarah Meier,Switzerland,55.57,100.56,2006,156.13,Female
Carolina Kostner,Italy,53.77,99.73,2006,153.50,Female
Elene Gedevanishvili,Georgia,57.9,93.56,2006,151.46,Female
Liu Yan,China,49.84,95.46,2006,145.30,Female
Mira Leung,Canada,50.61,94.55,2006,145.16,Female
Susanna Pöykiö,Finland,53.74,89.48,2006,143.22,Female
Elena Sokolova,Russia,46.69,95.66,2006,142.35,Female
Miki Ando,Japan,56,84.2,2006,140.20,Female
Kiira Korpi,Finland,44.84,92.36,2006,137.20,Female
Elena Liashenko,Ukraine,52.35,81.73,2006,134.08,Female
Júlia Sebestyén,Hungary,49.58,79.68,2006,129.26,Female
Idora Hegel,Croatia,47.06,80.01,2006,127.07,Female
Galina Efremenko,Ukraine,41.25,84.12,2006,125.37,Female
Tuğba Karademir,Turkey,44.2,79.44,2006,123.64,Female
Silvia Fontana,Italy,42.47,77.9,2006,120.37,Female
Viktória Pavuk,Hungary,46.4,73.45,2006,119.85,Female
Fleur Maxwell,Luxembourg,44.53,65.04,2006,109.57,Female
Yuna Kim,South Korea,78.5,150.06,2010,228.56 WR,Female
Mao Asada,Japan,73.78,131.72,2010,205.50,Female
Joannie Rochette,Canada,71.36,131.28,2010,202.64,Female
Mirai Nagasu,United States,63.76,126.39,2010,190.15,Female
Miki Ando,Japan,64.76,124.1,2010,188.86,Female
Laura Lepistö,Finland,61.36,126.61,2010,187.97,Female
Rachael Flatt,United States,64.64,117.85,2010,182.49,Female
Akiko Suzuki,Japan,61.02,120.42,2010,181.44,Female
Alena Leonova,Russia,62.14,110.32,2010,172.46,Female
Ksenia Makarova,Russia,59.22,112.69,2010,171.91,Female
Kiira Korpi,Finland,52.96,108.61,2010,161.57,Female
Cynthia Phaneuf,Canada,57.16,99.46,2010,156.62,Female
Kwak Min-jeong,South Korea,53.16,102.37,2010,155.53,Female
Elene Gedevanishvili,Georgia,61.92,93.32,2010,155.24,Female
Sarah Meier,Switzerland,56.7,96.11,2010,152.81,Female
Carolina Kostner,Italy,63.02,88.88,2010,151.90,Female
Júlia Sebestyén,Hungary,57.46,93.8,2010,151.26,Female
Sarah Hecken,Germany,49.04,94.9,2010,143.94,Female
Liu Yan,China,51.74,91.73,2010,143.47,Female
Cheltzie Lee,Australia,52.16,86,2010,138.16,Female
Jelena Glebova,Estonia,50.8,83.39,2010,134.19,Female
Sonia Lafuente,Spain,49.74,83.77,2010,133.51,Female
Anastasia Gimazetdinova,Uzbekistan,49.02,82.63,2010,131.65,Female
Tuğba Karademir,Turkey,50.74,78.8,2010,129.54,Female
Adelina Sotnikova,Russia,74.64,149.95,2014,224.59,Female
Yuna Kim,South Korea,74.92,144.19,2014,219.11,Female
Carolina Kostner,Italy,74.12,142.61,2014,216.73,Female
Gracie Gold,United States,68.63,136.9,2014,205.53,Female
Yulia Lipnitskaya,Russia,65.23,135.34,2014,200.57,Female
Mao Asada,Japan,55.51,142.71,2014,198.22,Female
Ashley Wagner,United States,65.21,127.99,2014,193.20,Female
Akiko Suzuki,Japan,60.97,125.35,2014,186.32,Female
Polina Edmunds,United States,61.04,122.21,2014,183.25,Female
Maé-Bérénice Méité,France,58.63,115.9,2014,174.53,Female
Valentina Marchei,Italy,57.02,116.31,2014,173.33,Female
Kanako Murakami,Japan,55.6,115.38,2014,170.98,Female
Kaetlyn Osmond,Canada,56.18,112.8,2014,168.98,Female
Li Zijun,China,57.55,110.75,2014,168.30,Female
Zhang Kexin,China,55.8,98.41,2014,154.21,Female
Kim Hae-jin,South Korea,54.37,95.11,2014,149.48,Female
Gabrielle Daleman,Canada,52.61,95.83,2014,148.44,Female
Nathalie Weinzierl,Germany,57.63,89.73,2014,147.36,Female
Elene Gedevanishvili,Georgia,54.7,92.45,2014,147.15,Female
Brooklee Han,Australia,49.32,94.52,2014,143.84,Female
Park So-youn,South Korea,49.14,93.83,2014,142.97,Female
Elizaveta Ukolova,Czech Republic,51.87,84.55,2014,136.42,Female
Anne Line Gjersem,Norway,48.56,85.98,2014,134.54,Female
Nicole Rajičová,Slovakia,49.8,75.2,2014,125.00,Female
Alina Zagitova,Olympic Athletes from Russia,82.92,156.65,2018,239.57,Female
Evgenia Medvedeva,Olympic Athletes from Russia,81.61,156.65,2018,238.26,Female
Kaetlyn Osmond,Canada,78.87,152.15,2018,231.02,Female
Satoko Miyahara,Japan,75.94,146.44,2018,222.38,Female
Carolina Kostner,Italy,73.15,139.29,2018,212.44,Female
Kaori Sakamoto,Japan,73.18,136.53,2018,209.71,Female
Choi Da-bin,South Korea,67.77,131.49,2018,199.26,Female
Maria Sotskova,Olympic Athletes from Russia,63.86,134.24,2018,198.10,Female
Bradie Tennell,United States,64.01,128.34,2018,192.35,Female
Mirai Nagasu,United States,66.93,119.61,2018,186.54,Female
Karen Chen,United States,65.9,119.75,2018,185.65,Female
Elizabet Tursynbayeva,Kazakhstan,58.82,118.3,2018,177.12,Female
Kim Ha-nul,South Korea,54.33,121.38,2018,175.71,Female
Nicole Rajičová,Slovakia,60.59,114.6,2018,175.19,Female
Gabrielle Daleman,Canada,68.9,103.56,2018,172.46,Female
Loena Hendrickx,Belgium,55.16,116.72,2018,171.88,Female
Kailani Craine,Australia,56.77,111.84,2018,168.61,Female
