tourney_name,surface,tourney_date,winner_seed,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_seed,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
ROLAND GARROS,Clay,20180528,1,Simona Halep,R,168,ROU,26.6,NA,Alison Riske Amritraj,R,173,USA,27.9,2-6 6-1 6-1,R128,94,0,1,71,38,26,15,11,3,7,1,3,66,40,18,9,11,4,11,1,83
ROLAND GARROS,Clay,20180528,NA,Taylor Townsend,L,170,USA,22.1,NA,Myrtille Georges,R,174,FRA,27.4,6-4 6-2,R128,84,2,4,67,40,27,17,9,7,7,0,4,55,29,18,12,9,2,5,72,222
ROLAND GARROS,Clay,20180528,NA,Bethanie Mattek Sands,R,168,USA,33.1,NA,Johanna Larsson,R,174,SWE,29.7,6-4 6-3,R128,95,3,1,66,40,28,19,10,5,5,0,4,62,40,30,9,9,3,5,202,59
ROLAND GARROS,Clay,20180528,NA,Andrea Petkovic,R,180,GER,30.7,29,Kristina Mladenovic,R,184,FRA,25,7-6(10) 6-2,R128,102,1,2,74,52,37,11,10,3,4,4,7,70,34,23,19,10,4,7,107,31
ROLAND GARROS,Clay,20180528,24,Daria Saville,R,166,AUS,24.2,NA,Sorana Cirstea,R,176,ROU,28.1,4-6 7-6(4) 6-3,R128,162,1,17,121,77,49,14,16,7,14,2,6,123,75,42,20,15,7,14,25,49
ROLAND GARROS,Clay,20180528,NA,Bernarda Pera,L,175,USA,23.4,NA,Elena Vesnina,R,176,RUS,31.8,6-3 6-2,R128,64,5,2,55,38,27,13,9,5,5,3,3,47,26,18,8,8,3,6,73,44
ROLAND GARROS,Clay,20180528,NA,Heather Watson,R,170,GBR,26,NA,Oceane Dodin,R,NA,FRA,21.5,6-3 6-0,R128,62,9,4,59,32,27,13,8,7,8,2,7,42,19,12,5,7,1,6,80,139
ROLAND GARROS,Clay,20180528,16,Elise Mertens,R,179,BEL,22.5,NA,Varvara Lepchenko,L,180,USA,32,6-7(9) 7-6(4) 6-0,R128,181,2,6,109,70,45,19,15,6,10,5,7,120,79,50,10,15,8,15,16,92
ROLAND GARROS,Clay,20180528,12,Angelique Kerber,L,173,GER,30.3,NA,Mona Barthel,R,185,GER,27.8,6-2 6-3,R128,60,0,3,44,25,14,10,9,0,3,0,9,59,29,14,9,8,1,8,12,117
ROLAND GARROS,Clay,20180528,NA,Ana Bogdan,R,171,ROU,25.5,NA,Marketa Vondrousova,L,173,CZE,18.9,6-3 1-6 6-4,R128,113,2,6,98,61,41,17,13,9,12,1,6,74,38,28,17,13,0,3,66,94
ROLAND GARROS,Clay,20180528,NA,Aliaksandra Sasnovich,R,174,BLR,24.1,NA,Denisa Allertova,R,180,CZE,25.2,6-4 6-3,R128,78,2,4,69,37,23,15,10,13,16,1,8,74,42,30,7,9,7,13,55,103
